Group,DISTRICT,DistName,cntyname,RegnName,REGION,Math,Reading,Writing,Total,Above_Crit_Rate,Exnees_Mskd,Crit_Mskd,Part_Rate,Grads_Mskd
All Students,34901,Atlanta ISD,Cass County,Mt Pleasant,8,638,588,563,1225,,<5,<5,,107
All Students,34905,Linden-Kildare CISD,Cass County,Mt Pleasant,8,,,,,,<5,<5,,56
All Students,34906,McLeod ISD,Cass County,Mt Pleasant,8,457,487,397,943,,<5,<5,,28
All Students,34907,Queen City ISD,Cass County,Mt Pleasant,8,580,618,540,1198,,<5,<5,,69
All Students,34909,Bloomburg ISD,Cass County,Mt Pleasant,8,,,,,,<5,<5,,20
All Students,35903,Nazareth ISD,Castro County,Amarillo,16,,,,,,<5,<5,,18
All Students,36901,Anahuac ISD,Chambers County,Houston,4,479,450,408,929,17.5,63,11,69.2,91
All Students,36902,Barbers Hill ISD,Chambers County,Houston,4,531,498,479,1029,32.1,162,52,60.4,268
All Students,36903,East Chambers ISD,Chambers County,Houston,4,487,467,440,954,16.3,43,7,53.1,81
All Students,37901,Alto ISD,Cherokee County,Kilgore,7,493,417,397,910,,<5,<5,,32
All Students,37904,Jacksonville ISD,Cherokee County,Kilgore,7,497,496,472,993,,15,<5,7.4,203
All Students,37907,Rusk ISD,Cherokee County,Kilgore,7,506,473,480,979,,25,<10,26.9,93
All Students,37908,New Summerfield ISD,Cherokee County,Kilgore,7,,,,,,<5,<5,,23
All Students,37909,Wells ISD,Cherokee County,Kilgore,7,505,471,443,976,,10,<5,55.6,18
All Students,38901,Childress ISD,Childress County,Amarillo,16,,,,,,<5,<5,,59
All Students,39901,Byers ISD,Clay County,Wichita Falls,9,,,,,,<5,<5,,<5
All Students,39902,Henrietta ISD,Clay County,Wichita Falls,9,506,504,480,1011,,19,<10,38.8,49
All Students,39904,Bellevue ISD,Clay County,Wichita Falls,9,463,463,423,925,,<5,<5,,17
All Students,39905,Midway ISD,Clay County,Wichita Falls,9,550,500,492,1050,,<10,<5,,9
