Group,District,DistName,County,CntyName,Region,RegnName,ERW,Math,Total,Grads_Mskd,Exnees_Mskd,Part_Rate,Crit_Mskd,Above_Crit_Rate
All Students,018908,Cranfills Gap ISD,018,Bosque County,12,Waco,505,475,980,<25,<25,25.0,<25,
All Students,019901,Dekalb ISD,019,Bowie County,08,Mt Pleasant,540,537,1077,<75,<25,5.5,<25,
All Students,019903,Maud ISD,019,Bowie County,08,Mt Pleasant,553,537,1087,<50,<25,8.1,<25,
All Students,019905,New Boston ISD,019,Bowie County,08,Mt Pleasant,525,516,1041,<100,<25,8.3,<25,12.5
All Students,019906,Redwater ISD,019,Bowie County,08,Mt Pleasant,593,557,1147,<100,<25,3.7,<25,33.3
All Students,019907,Texarkana ISD,019,Bowie County,08,Mt Pleasant,548,516,1064,<450,<100,18.0,<25,30.8
All Students,019908,Liberty-Eylau ISD,019,Bowie County,08,Mt Pleasant,491,466,950,<175,<25,4.5,<25,14.3
All Students,019909,Simms ISD,019,Bowie County,08,Mt Pleasant,,,,<50,<25,2.6,<25,
All Students,019912,Pleasant Grove ISD,019,Bowie County,08,Mt Pleasant,559,537,1096,<175,<25,4.2,<25,28.6
All Students,020901,Alvin ISD,020,Brazoria County,04,Houston,494,485,978,1330,1016,76.4,153,15.1
All Students,020902,Angleton ISD,020,Brazoria County,04,Houston,528,521,1048,420,158,37.6,38,24.1
All Students,020904,Danbury ISD,020,Brazoria County,04,Houston,532,532,1062,<75,<50,49.2,<25,24.1
All Students,020905,Brazosport ISD,020,Brazoria County,04,Houston,546,531,1078,807,187,23.2,58,31.0
All Students,020906,Sweeny ISD,020,Brazoria County,04,Houston,539,522,1061,143,63,44.1,14,22.2
All Students,020907,Columbia-Brazoria ISD,020,Brazoria County,04,Houston,521,506,1028,179,61,34.1,7,11.5
All Students,020908,Pearland ISD,020,Brazoria County,04,Houston,565,554,1119,1556,973,62.5,371,38.1
All Students,020910,Damon ISD,020,Brazoria County,04,Houston,,,,<25,<25,100,<25,
All Students,021901,College Station ISD,021,Brazos County,06,Huntsville,578,580,1158,842,532,63.2,249,46.8
All Students,021902,Bryan ISD,021,Brazos County,06,Huntsville,507,506,1013,913,484,53.0,84,17.4
All Students,022004,Terlingua CSD,022,Brewster County,18,Midland,547,517,1063,<25,<25,64.3,<25,33.3
All Students,022901,Alpine ISD,022,Brewster County,18,Midland,517,518,1036,60,49,81.7,7,14.3
All Students,023902,Silverton ISD,023,Briscoe County,16,Amarillo,572,522,1097,<25,<25,56.3,<25,11.1
All Students,024901,Brooks County ISD,024,Brooks County,02,Corpus Christi,557,537,1093,<100,<25,3.1,<25,33.3
All Students,025901,Bangs ISD,025,Brown County,15,San Angelo,540,529,1069,<75,<25,21.9,<25,18.8
All Students,025902,Brownwood ISD,025,Brown County,15,San Angelo,510,508,1017,<200,<75,28.3,<25,10.7
All Students,025904,Blanket ISD,025,Brown County,15,San Angelo,,,,<25,<25,6.3,<25,
All Students,025905,May ISD,025,Brown County,15,San Angelo,510,480,990,<25,<25,17.6,<25,
All Students,025906,Zephyr ISD,025,Brown County,15,San Angelo,570,513,1083,<25,<25,15.8,<25,33.3
All Students,025908,Brookesmith ISD,025,Brown County,15,San Angelo,536,517,1053,<25,<25,43.8,<25,14.3
All Students,025909,Early ISD,025,Brown County,15,San Angelo,541,539,1080,74,51,68.9,13,25.5
All Students,026901,Caldwell ISD,026,Burleson County,06,Huntsville,510,523,1033,122,54,44.3,11,20.4
All Students,026902,Somerville ISD,026,Burleson County,06,Huntsville,450,475,925,<25,<25,27.3,<25,
All Students,026903,Snook ISD,026,Burleson County,06,Huntsville,503,469,973,<50,<25,47.4,<25,5.6
All Students,027903,Burnet CISD,027,Burnet County,13,Austin,515,508,1023,236,142,60.2,21,14.8
All Students,027904,Marble Falls ISD,027,Burnet County,13,Austin,548,542,1090,263,114,43.3,29,25.4
All Students,028902,Lockhart ISD,028,Caldwell County,13,Austin,460,452,912,350,293,83.7,19,6.5
All Students,028903,Luling ISD,028,Caldwell County,13,Austin,477,484,961,<125,<50,36.2,<25,15.8
