Group,District,DistName,County,CntyName,Region,RegnName,Students_Mskd,Exnees_Mskd,Part_Rate,Exnees_Crit_Mskd,Exnees_Above_Crit_Rate,Exams_Mskd,Exams_Crit_Mskd,Exams_Above_Crit_Rate
All Students,027904,Marble Falls ISD,027,Burnet County,13,Austin,590,107,18.1,63,58.9,250,109,43.6
All Students,028902,Lockhart ISD,028,Caldwell County,13,Austin,721,206,28.6,72,35.0,423,106,25.1
All Students,028903,Luling ISD,028,Caldwell County,13,Austin,<200,<25,3.9,<25,28.6,<25,<25,22.2
All Students,029901,Calhoun County ISD,029,Calhoun County,03,Victoria,574,53,9.2,26,49.1,153,60,39.2
All Students,030901,Cross Plains ISD,030,Callahan County,14,Abilene,<50,<25,2.1,<25,100,<25,<25,20.0
All Students,030902,Clyde CISD,030,Callahan County,14,Abilene,<200,<25,11.1,<25,19.0,<50,<25,14.8
All Students,031505,University Of Texas Rio Grande Val,031,Cameron County,01,Edinburg,<25,<25,,<25,,<25,<25,
All Students,031901,Brownsville ISD,031,Cameron County,01,Edinburg,6496,1927,29.7,537,27.9,4485,677,15.1
All Students,031903,Harlingen CISD,031,Cameron County,01,Edinburg,2672,514,19.2,180,35.0,1007,254,25.2
All Students,031905,La Feria ISD,031,Cameron County,01,Edinburg,477,120,25.2,35,29.2,298,48,16.1
All Students,031906,Los Fresnos CISD,031,Cameron County,01,Edinburg,1505,193,12.8,112,58.0,362,208,57.5
All Students,031909,Point Isabel ISD,031,Cameron County,01,Edinburg,302,125,41.4,39,31.2,269,46,17.1
All Students,031911,Rio Hondo ISD,031,Cameron County,01,Edinburg,289,74,25.6,5,6.8,137,5,3.6
All Students,031912,San Benito CISD,031,Cameron County,01,Edinburg,1335,299,22.4,109,36.5,604,143,23.7
All Students,031913,Santa Maria ISD,031,Cameron County,01,Edinburg,<100,<50,42.9,<25,9.5,<75,<25,5.4
All Students,031914,Santa Rosa ISD,031,Cameron County,01,Edinburg,173,51,29.5,7,13.7,87,7,8.0
All Students,031916,South Texas ISD,031,Cameron County,01,Edinburg,<1175,<925,76.8,<450,48.2,<3100,<925,29.2
All Students,032902,Pittsburg ISD,032,Camp County,08,Mt Pleasant,357,37,10.4,5,13.5,47,5,10.6
All Students,034901,Atlanta ISD,034,Cass County,08,Mt Pleasant,<300,<25,2.5,<25,57.1,<25,<25,50.0
All Students,034905,Linden-Kildare CISD,034,Cass County,08,Mt Pleasant,<100,<25,2.0,<25,,<25,<25,
All Students,034907,Queen City ISD,034,Cass County,08,Mt Pleasant,<175,<25,0.7,<25,100,<25,<25,100
All Students,035901,Dimmitt ISD,035,Castro County,16,Amarillo,<150,<25,6.8,<25,,<25,<25,
All Students,035902,Hart ISD,035,Castro County,16,Amarillo,<50,<25,2.4,<25,,<25,<25,
All Students,036901,Anahuac ISD,036,Chambers County,04,Houston,174,36,20.7,7,19.4,50,9,18.0
All Students,036902,Barbers Hill ISD,036,Chambers County,04,Houston,690,191,27.7,133,69.6,382,238,62.3
All Students,036903,East Chambers ISD,036,Chambers County,05,Beaumont,<200,<25,2.6,<25,20.0,<25,<25,20.0
All Students,037904,Jacksonville ISD,037,Cherokee County,07,Kilgore,550,58,10.5,34,58.6,79,37,46.8
All Students,039902,Henrietta ISD,039,Clay County,09,Wichita Falls,<150,<25,6.3,<25,12.5,<25,<25,11.1
All Students,039904,Bellevue ISD,039,Clay County,09,Wichita Falls,<25,<25,11.8,<25,100,<25,<25,66.7
All Students,040902,Whiteface CISD,040,Cochran County,17,Lubbock,47,14,29.8,5,35.7,26,10,38.5
All Students,043801,Imagine International Academy Of N,043,Collin County,10,Richardson,<100,<25,30.3,<25,87.0,<50,<50,73.7
All Students,043901,Allen ISD,043,Collin County,10,Richardson,3154,1014,32.1,854,84.2,<2675,<2125,79.1
All Students,043902,Anna ISD,043,Collin County,10,Richardson,352,37,10.5,18,48.6,50,22,44.0
All Students,043903,Celina ISD,043,Collin County,10,Richardson,339,92,27.1,44,47.8,118,59,50.0
All Students,043904,Farmersville ISD,043,Collin County,10,Richardson,<175,<25,9.2,<25,75.0,17,12,70.6
All Students,043905,Frisco ISD,043,Collin County,10,Richardson,6500,2776,42.7,2144,77.2,7245,5228,72.2
All Students,043907,McKinney ISD,043,Collin County,10,Richardson,3637,1884,51.8,1251,66.4,5044,2922,57.9
All Students,043910,Plano ISD,043,Collin County,10,Richardson,8277,3443,41.6,2956,85.9,9857,8042,81.6
All Students,043911,Princeton ISD,043,Collin County,10,Richardson,501,91,18.2,35,38.5,185,47,25.4
All Students,043912,Prosper ISD,043,Collin County,10,Richardson,951,335,35.2,228,68.1,680,445,65.4
All Students,043914,Wylie ISD,043,Collin County,10,Richardson,1946,500,25.7,314,62.8,1035,575,55.6
All Students,043917,Blue Ridge ISD,043,Collin County,10,Richardson,<100,<25,1.2,<25,,<25,<25,
All Students,043918,Community ISD,043,Collin County,10,Richardson,252,32,12.7,8,25.0,40,10,25.0
All Students,043919,Lovejoy ISD,043,Collin County,10,Richardson,625,424,67.8,301,71.0,1205,803,66.6
All Students,045902,Columbus ISD,045,Colorado County,03,Victoria,231,47,20.3,15,31.9,59,19,32.2
All Students,045903,Rice CISD,045,Colorado County,03,Victoria,<200,<25,2.5,<25,20.0,<25,<25,20.0
All Students,046901,New Braunfels ISD,046,Comal County,13,Austin,1105,263,23.8,165,62.7,627,341,54.4
All Students,046902,Comal ISD,046,Comal County,13,Austin,2937,905,30.8,504,55.7,2091,1024,49.0
All Students,047901,Comanche ISD,047,Comanche County,14,Abilene,175,47,26.9,12,25.5,52,14,26.9
All Students,049901,Gainesville ISD,049,Cooke County,11,Fort Worth,<375,<25,2.3,<25,50.0,<25,<25,50.0
All Students,049902,Muenster ISD,049,Cooke County,11,Fort Worth,<75,<25,3.2,<25,,<25,<25,
All Students,049903,Valley View ISD,049,Cooke County,11,Fort Worth,<100,<25,12.5,<25,33.3,14,5,35.7
All Students,049905,Callisburg ISD,049,Cooke County,11,Fort Worth,164,18,11.0,5,27.8,19,6,31.6
All Students,049907,Lindsay ISD,049,Cooke County,11,Fort Worth,72,27,37.5,11,40.7,28,11,39.3
All Students,050901,Evant ISD,050,Coryell County,12,Waco,<50,<25,3.2,<25,100,<25,<25,33.3
All Students,050902,Gatesville ISD,050,Coryell County,12,Waco,368,41,11.1,8,19.5,73,10,13.7
All Students,050904,Oglesby ISD,050,Coryell County,12,Waco,<25,<25,5.0,<25,,<25,<25,
All Students,050910,Copperas Cove ISD,050,Coryell County,12,Waco,1096,187,17.1,70,37.4,353,108,30.6
All Students,052901,Crane ISD,052,Crane County,18,Midland,<150,<25,5.6,<25,,<25,<25,
All Students,053001,Crockett County Consolidated CSD,053,Crockett County,15,San Angelo,<125,<50,24.1,<25,11.5,<50,<25,8.6
All Students,054903,Ralls ISD,054,Crosby County,17,Lubbock,<75,<25,11.4,<25,12.5,<25,<25,12.5
All Students,056901,Dalhart ISD,056,Dallam County,16,Amarillo,<250,<25,0.4,<25,,<25,<25,
All Students,057802,Pegasus School Of Liberal Arts And,057,Dallas County,10,Richardson,<75,<25,3.2,<25,50.0,<25,<25,33.3
All Students,057803,Uplift Education,057,Dallas County,10,Richardson,<1050,<825,80.2,<400,48.3,2015,664,33.0
All Students,057804,Texans Can Academies,057,Dallas County,10,Richardson,<2550,<25,0.1,<25,,<25,<25,
All Students,057807,Life School,057,Dallas County,10,Richardson,451,54,12.0,11,20.4,75,13,17.3
All Students,057808,Universal Academy,057,Dallas County,10,Richardson,<50,<25,3.4,<25,,<25,<25,
All Students,057817,Focus Learning Academy,057,Dallas County,10,Richardson,<125,<25,2.0,<25,,<25,<25,
All Students,057825,Honors Academy,057,Dallas County,10,Richardson,<25,<25,,<25,33.3,<25,<25,37.5
All Students,057828,Winfree Academy Charter Schools,057,Dallas County,10,Richardson,<875,<25,0.1,<25,100,<25,<25,33.3
All Students,057829,A+ Academy,057,Dallas County,10,Richardson,<150,<25,14.9,<25,14.3,<50,<25,8.8
All Students,057830,Inspired Vision Academy,057,Dallas County,10,Richardson,<200,<50,16.6,<25,,<50,<25,
All Students,057831,Gateway Charter Academy,057,Dallas County,10,Richardson,<75,<25,1.7,<25,,<25,<25,
All Students,057833,Education Center International Aca,057,Dallas County,10,Richardson,<25,<25,,<25,100,<25,<25,100
All Students,057840,Richland Collegiate High School,057,Dallas County,10,Richardson,<525,<25,0.4,<25,50.0,<25,<25,50.0
All Students,057848,International Leadership Of Texas,057,Dallas County,10,Richardson,154,83,53.9,50,60.2,151,60,39.7
All Students,057903,Carrollton-Farmers Branch ISD,057,Dallas County,10,Richardson,3373,1035,30.7,509,49.2,<2275,<975,42.0
