Group,District,DistName,cntyname,RegnName,REGION,Exnees_Above_Crit_Rate,Part_Rate,Students_Mskd,Exnees_Mskd,Exnees_Crit_Mskd,Exams_Mskd,Exams_Crit_Mskd,Exams_Above_Crit_Rate
All students,159901,Eagle Pass ISD,Maverick County,San Antonio,20,47.3,15.7,1907,300,142,480,220,45.8
All students,160901,Brady ISD,McCulloch County,San Angelo,15,,,147,<5,<5,<10,<5,
All students,161802,Rapoport Academy Public School,McLennan County,Waco,12,,19.2,52,10,<5,10,<5,
All students,161807,Harmony Science Acad (Waco),McLennan County,Waco,12,64.6,,<140,79,51,119,64,53.8
All students,161903,Midway ISD,McLennan County,Waco,12,68.8,19.7,1043,205,141,464,296,63.8
All students,161907,Lorena ISD,McLennan County,Waco,12,,,239,<15,<10,13,7,53.8
All students,161908,Mart ISD,McLennan County,Waco,12,,,83,<10,<5,<10,<5,
All students,161909,McGregor ISD,McLennan County,Waco,12,47.4,13.1,145,19,9,22,10,45.5
All students,161912,Riesel ISD,McLennan County,Waco,12,,6.6,91,6,<10,6,<10,
All students,161914,Waco ISD,McLennan County,Waco,12,21.4,15.6,1675,262,56,455,86,18.9
All students,161916,West ISD,McLennan County,Waco,12,31,11.5,252,29,9,32,9,28.1
All students,161918,Axtell ISD,McLennan County,Waco,12,,15.2,112,17,<5,19,<5,
All students,161920,China Spring ISD,McLennan County,Waco,12,51.5,10.1,328,33,17,36,17,47.2
All students,161921,Connally ISD,McLennan County,Waco,12,20.7,20.7,280,58,12,73,12,16.4
All students,161922,Robinson ISD,McLennan County,Waco,12,29.4,11.3,300,34,10,34,10,29.4
All students,161923,Bosqueville ISD,McLennan County,Waco,12,,,83,<5,<5,<5,<5,
All students,163901,Devine ISD,Medina County,San Antonio,20,,,267,<5,<5,<5,<5,
All students,163902,D'Hanis School,Medina County,San Antonio,20,,,40,<5,<5,<5,<5,
All students,163903,Natalia ISD,Medina County,San Antonio,20,,,118,<5,<5,<5,<5,
All students,163904,Hondo ISD,Medina County,San Antonio,20,54.5,3.7,298,11,6,18,9,50
All students,163908,Medina Valley ISD,Medina County,San Antonio,20,,,491,<5,<5,<5,<5,
All students,165901,Midland ISD,Midland County,Midland,18,19.5,29.6,2716,805,157,1722,293,17
