DistName,RegnName,SAT-Total,SAT-Part_Rate,Year
Peaster ISD,Fort Worth,1056.0,56.7,2011
Brock ISD,Fort Worth,1068.0,43.1,2011
Leakey ISD,San Antonio,963.0,,2011
Rockwall ISD,Richardson,1057.0,71.8,2011
Royse City ISD,Richardson,965.0,52.8,2011
Glen Rose ISD,Fort Worth,980.0,73.2,2011
Arlington ISD,Fort Worth,985.0,65.2,2011
Birdville ISD,Fort Worth,1002.0,53.2,2011
Everman ISD,Fort Worth,853.0,61.7,2011
Fort Worth ISD,Fort Worth,905.0,58.6,2011
Grapevine-Colleyville ISD,Fort Worth,1099.0,82.4,2011
Keller ISD,Fort Worth,1044.0,66.4,2011
Mansfield ISD,Fort Worth,977.0,67.9,2011
Lake Worth ISD,Fort Worth,905.0,46.0,2011
Crowley ISD,Fort Worth,941.0,70.3,2011
Kennedale ISD,Fort Worth,950.0,66.8,2011
Azle ISD,Fort Worth,987.0,60.9,2011
Hurst-Euless-Bedford ISD,Fort Worth,1028.0,55.0,2011
Castleberry ISD,Fort Worth,904.0,60.5,2011
Eagle Mt-Saginaw ISD,Fort Worth,993.0,58.1,2011
Carroll ISD,Fort Worth,1155.0,93.4,2011
White Settlement ISD,Fort Worth,967.0,39.7,2011
Austin ISD,Austin,1015.0,72.8,2011
Pflugerville ISD,Austin,989.0,75.9,2011
Manor ISD,Austin,849.0,63.2,2011
Eanes ISD,Austin,1214.0,97.7,2011
Del Valle ISD,Austin,876.0,49.4,2011
Lago Vista ISD,Austin,1026.0,65.9,2011
Lake Travis ISD,Austin,1117.0,90.8,2011
Knippa ISD,San Antonio,916.0,90.0,2011
Sabinal ISD,San Antonio,829.0,62.2,2011
Utopia ISD,San Antonio,1130.0,37.5,2011
Canton ISD,Richardson,1030.0,43.6,2011
Wills Point ISD,Richardson,973.0,42.6,2011
Hempstead ISD,Houston,813.0,17.6,2011
Waller ISD,Houston,996.0,25.1,2011
Royal ISD,Houston,1010.0,5.6,2011
Florence ISD,Austin,981.0,66.7,2011
Georgetown ISD,Austin,1043.0,66.6,2011
Granger ISD,Austin,1040.0,31.3,2011
Hutto ISD,Austin,954.0,66.9,2011
Jarrell ISD,Austin,1046.0,60.4,2011
Liberty Hill ISD,Austin,1058.0,62.3,2011
Round Rock ISD,Austin,1092.0,77.4,2011
Taylor ISD,Austin,955.0,49.5,2011
Thrall ISD,Austin,1007.0,75.6,2011
Leander ISD,Austin,1070.0,77.8,2011
Floresville ISD,San Antonio,924.0,54.9,2011
La Vernia ISD,San Antonio,1001.0,68.5,2011
Poth ISD,San Antonio,999.0,78.7,2011
Stockdale ISD,San Antonio,942.0,57.1,2011
Alvord ISD,Fort Worth,1017.0,45.5,2011
Boyd ISD,Fort Worth,992.0,46.6,2011
Bridgeport ISD,Fort Worth,964.0,46.2,2011
Chico ISD,Fort Worth,872.0,25.7,2011
Decatur ISD,Fort Worth,996.0,42.4,2011
Paradise ISD,Fort Worth,1008.0,48.1,2011
Slidell ISD,Fort Worth,854.0,90.0,2011
Crystal City ISD,San Antonio,960.0,8.4,2011
La Pryor ISD,San Antonio,1023.0,,2011
Charlotte ISD,San Antonio,805.0,32.4,2012
Jourdanton ISD,San Antonio,910.0,33.8,2012
Lytle ISD,San Antonio,909.0,55.6,2012
Pleasanton ISD,San Antonio,949.0,31.1,2012
Poteet ISD,San Antonio,888.0,30.7,2012
Medina ISD,San Antonio,951.0,75.8,2012
Bandera ISD,San Antonio,965.0,57.0,2012
Bastrop ISD,Austin,952.0,52.8,2012
Elgin ISD,Austin,923.0,47.7,2012
Smithville ISD,Austin,987.0,39.6,2012
Bartlett ISD,Austin,761.0,62.1,2012
Alamo Heights ISD,San Antonio,1109.0,85.0,2012
Harlandale ISD,San Antonio,857.0,49.7,2012
Edgewood ISD,San Antonio,794.0,54.7,2012
Randolph Field ISD,San Antonio,1070.0,80.0,2012
San Antonio ISD,San Antonio,824.0,57.4,2012
South San Antonio ISD,San Antonio,848.0,53.8,2012
Somerset ISD,San Antonio,846.0,58.7,2012
North East ISD,San Antonio,1024.0,68.5,2012
East Central ISD,San Antonio,909.0,56.9,2012
Southwest ISD,San Antonio,902.0,31.0,2012
Lackland ISD,San Antonio,1046.0,17.9,2012
Ft Sam Houston ISD,San Antonio,995.0,87.7,2012
Northside ISD,San Antonio,967.0,62.8,2012
Judson ISD,San Antonio,897.0,60.2,2012
Southside ISD,San Antonio,862.0,50.5,2012
Johnson City ISD,Austin,997.0,70.0,2012
Blanco ISD,Austin,958.0,41.8,2012
Alvin ISD,Houston,951.0,50.5,2012
Angleton ISD,Houston,957.0,40.3,2012
Danbury ISD,Houston,979.0,58.5,2012
Brazosport ISD,Houston,1015.0,40.3,2012
Sweeny ISD,Houston,946.0,49.6,2012
Columbia-Brazoria ISD,Houston,924.0,35.1,2012
Pearland ISD,Houston,1008.0,62.5,2012
Marble Falls ISD,Austin,989.0,37.9,2012
Lockhart ISD,Austin,947.0,46.5,2012
Luling ISD,Austin,973.0,29.5,2012
Prairie Lea ISD,Austin,993.0,50.0,2012
Anahuac ISD,Houston,887.0,49.4,2012
Barbers Hill ISD,Houston,1015.0,54.8,2012
East Chambers ISD,Houston,924.0,53.5,2012
Allen ISD,Richardson,1084.0,74.7,2012
Anna ISD,Richardson,935.0,43.0,2012
Celina ISD,Richardson,1104.0,23.4,2012
Farmersville ISD,Richardson,984.0,47.9,2012
Frisco ISD,Richardson,1075.0,65.8,2012
McKinney ISD,Richardson,1073.0,66.6,2012
Melissa ISD,Richardson,1061.0,38.7,2012
Plano ISD,Richardson,1134.0,73.5,2012
Princeton ISD,Richardson,979.0,42.0,2012
Prosper ISD,Richardson,1054.0,68.3,2012
Wylie ISD,Richardson,1004.0,60.3,2012
Blue Ridge ISD,Richardson,1025.0,22.4,2012
Community ISD,Richardson,1018.0,37.5,2012
Lovejoy ISD,Richardson,1124.0,82.6,2012
New Braunfels ISD,Austin,1005.0,59.8,2012
Comal ISD,Austin,1002.0,66.8,2012
Gainesville ISD,Fort Worth,907.0,14.1,2012
Muenster ISD,Fort Worth,1060.0,64.1,2012
Valley View ISD,Fort Worth,993.0,43.9,2012
Callisburg ISD,Fort Worth,976.0,59.5,2012
Era ISD,Fort Worth,910.0,28.6,2012
Lindsay ISD,Fort Worth,1055.0,78.6,2012
