DistName,RegnName,Year,ACT-Composite,ACT-Part_Rate,AP-11&12 Participating Students,AP-Total Exams,AP-Passed(%),AP-Exams Taken Per Student,Enrolled 4-Year,Total Graduated,Enrolled 4-Year (%),SAT-Total,SAT-Part_Rate,Wealth/ADA
AUSTIN ISD,Austin,2017,22.5,35.7,3350,7909,61.4,2.360895522,866,4352,19.89889706,1098,65.2,1146668
AZLE ISD,Fort Worth,2011,22.3,21.3,73,129,46.5,1.767123288,55,342,16.08187135,987,60.9,432477
AZLE ISD,Fort Worth,2012,21.7,23.1,82,132,40.2,1.609756098,46,346,13.29479769,964,50,425292
AZLE ISD,Fort Worth,2013,21.4,28.1,94,164,34.1,1.744680851,69,388,17.78350515,962,54.6,413243
AZLE ISD,Fort Worth,2014,22,29.1,118,211,36,1.788135593,64,385,16.62337662,982,50.4,391884
AZLE ISD,Fort Worth,2015,21.3,23.8,131,228,34.2,1.740458015,55,403,13.64764268,970,47.4,385407
AZLE ISD,Fort Worth,2016,20.5,25.4,122,221,38,1.81147541,54,453,11.9205298,945,44.6,375480
AZLE ISD,Fort Worth,2017,20.8,21.4,108,194,32,1.796296296,45,416,10.81730769,1057,39.2,392810
BANDERA ISD,San Antonio,2011,23.1,50.9,124,263,19,2.120967742,41,192,21.35416667,1013,70.6,533528
BANDERA ISD,San Antonio,2012,20.8,40.1,54,87,36.8,1.611111111,36,172,20.93023256,965,57,578911
BANDERA ISD,San Antonio,2013,20.9,52.4,47,85,34.1,1.808510638,29,168,17.26190476,1013,63.1,599874
BANDERA ISD,San Antonio,2014,22,45.1,30,52,50,1.733333333,40,162,24.69135802,1010,56.2,624854
BANDERA ISD,San Antonio,2015,22,47,44,70,57.1,1.590909091,28,149,18.79194631,1026,57,659994
BANDERA ISD,San Antonio,2016,22.1,42,39,65,41.5,1.666666667,38,176,21.59090909,1006,54.5,664723
BANDERA ISD,San Antonio,2017,21.2,38.9,28,71,57.7,2.535714286,29,149,19.46308725,1065,55,670540
BARBERS HILL ISD,Houston,2011,22.1,17.9,86,142,60.6,1.651162791,63,282,22.34042553,1029,60.4,751007
BARBERS HILL ISD,Houston,2012,21.8,23.3,70,103,50.5,1.471428571,57,270,21.11111111,1015,54.8,697273
BARBERS HILL ISD,Houston,2013,21.3,21.5,91,158,48.7,1.736263736,52,289,17.99307958,998,61.2,789780
BARBERS HILL ISD,Houston,2014,21.7,25.9,156,269,55.4,1.724358974,65,332,19.57831325,1013,53.9,905494
BARBERS HILL ISD,Houston,2015,22.8,19.7,169,307,53.7,1.816568047,88,319,27.5862069,1038,53,883464
BARBERS HILL ISD,Houston,2016,22.5,20,191,382,62.3,2,56,315,17.77777778,1023,51.7,976033
BARBERS HILL ISD,Houston,2017,20.6,92.4,218,478,64,2.19266055,92,344,26.74418605,1094,39.5,1082616
BASTROP ISD,Austin,2011,19.4,15.4,247,506,33.6,2.048582996,112,525,21.33333333,942,56.1,308882
BASTROP ISD,Austin,2012,20,15,112,221,59.3,1.973214286,89,515,17.2815534,952,52.8,316748
BASTROP ISD,Austin,2013,20.1,12.2,126,263,51,2.087301587,94,617,15.2350081,938,41.8,318564
BASTROP ISD,Austin,2014,20,17.6,135,270,43.7,2,97,569,17.04745167,946,50.3,306454
BASTROP ISD,Austin,2015,19,17.3,272,617,22,2.268382353,92,578,15.91695502,927,46.4,313113
BASTROP ISD,Austin,2016,18.7,25,347,758,26.5,2.18443804,129,721,17.89181692,922,49.4,312909
BASTROP ISD,Austin,2017,19.3,20.8,353,818,31.5,2.317280453,132,679,19.44035346,1010,45.5,318106
BIRDVILLE ISD,Fort Worth,2011,22,29.7,909,2219,39.8,2.441144114,213,1446,14.73029046,1002,53.2,337577
BIRDVILLE ISD,Fort Worth,2012,21.8,30.9,944,2147,47.6,2.274364407,203,1353,15.00369549,993,47.8,309498
BIRDVILLE ISD,Fort Worth,2013,21.4,34.1,940,2154,43.8,2.291489362,269,1471,18.28687967,991,46.1,305372
BIRDVILLE ISD,Fort Worth,2014,21.4,34.7,971,2258,49,2.325437693,264,1480,17.83783784,995,43.9,311982
BIRDVILLE ISD,Fort Worth,2015,21.5,35.3,1082,2730,44.6,2.52310536,262,1552,16.8814433,985,45.4,317725
BIRDVILLE ISD,Fort Worth,2016,21.2,36.4,1054,2602,44.4,2.468690702,254,1518,16.73254282,980,48.2,322629
BIRDVILLE ISD,Fort Worth,2017,21.4,35.6,1069,2583,44,2.416276894,253,1484,17.04851752,1073,51.8,338349
BOERNE ISD,San Antonio,2011,24.4,38.2,427,1183,60.6,2.770491803,181,506,35.77075099,1070,83.5,692549
BOERNE ISD,San Antonio,2012,24.4,49.3,445,1139,66.9,2.559550562,144,525,27.42857143,1084,72.6,689003
BOERNE ISD,San Antonio,2013,25,44.8,441,1203,68.1,2.727891156,175,569,30.75571178,1094,76.3,674863
BOERNE ISD,San Antonio,2014,24.3,46.2,453,1155,66.4,2.549668874,179,558,32.07885305,1080,74,687364
BOERNE ISD,San Antonio,2015,23.6,49,500,1323,57.3,2.646,155,557,27.82764811,1050,74.1,693152
BOERNE ISD,San Antonio,2016,23.9,53.3,557,1465,64.1,2.63016158,197,580,33.96551724,1062,77.6,683039
BOERNE ISD,San Antonio,2017,24,53.5,607,1579,62.1,2.601317957,206,654,31.49847095,1141,71.3,705406
BRAZOSPORT ISD,Houston,2011,22.1,17,240,508,58.1,2.116666667,129,874,14.7597254,1001,48.2,588257
BRAZOSPORT ISD,Houston,2012,22.2,21.4,211,434,66.4,2.056872038,121,785,15.41401274,1015,40.3,553129
BRAZOSPORT ISD,Houston,2013,21.7,23.6,191,356,65.2,1.863874346,126,759,16.60079051,1026,43.2,544943
BRAZOSPORT ISD,Houston,2014,22,18.9,186,382,68.8,2.053763441,130,736,17.66304348,994,43.6,553287
BRAZOSPORT ISD,Houston,2015,22.5,16.6,301,603,39.5,2.003322259,119,793,15.00630517,988,40.9,586183
BRAZOSPORT ISD,Houston,2016,19.6,57.4,308,616,42.9,2,126,802,15.71072319,999,31.9,588141
BRAZOSPORT ISD,Houston,2017,19.9,57.9,302,693,42.7,2.294701987,91,807,11.27633209,1078,23.2,689681
BURLESON ISD,Fort Worth,2011,22.3,13.5,174,366,55.7,2.103448276,100,636,15.72327044,997,52.9,379208
BURLESON ISD,Fort Worth,2012,21.2,21.6,281,579,48,2.060498221,93,607,15.32125206,1001,51.6,351767
BURLESON ISD,Fort Worth,2013,21.4,20.2,386,844,35,2.186528497,99,683,14.49487555,985,54.8,338552
BURLESON ISD,Fort Worth,2014,21.7,23.3,491,1083,39.1,2.205702648,138,725,19.03448276,978,56.8,330044
BURLESON ISD,Fort Worth,2015,22.1,19.5,535,1188,36.4,2.220560748,114,752,15.15957447,988,53.5,314727
BURLESON ISD,Fort Worth,2016,21.1,26,496,1141,42.9,2.300403226,139,784,17.72959184,968,61,317675
BURLESON ISD,Fort Worth,2017,21.5,24.9,456,1144,46.1,2.50877193,145,853,16.99882767,1066,55.2,322091
CARROLL ISD,Fort Worth,2011,25.7,81.6,491,1240,83.9,2.525458248,130,565,23.00884956,1155,93.4,732585
CARROLL ISD,Fort Worth,2012,26.1,77.3,526,1362,84.1,2.589353612,172,669,25.71001495,1165,84,714518
CARROLL ISD,Fort Worth,2013,26,78.6,524,1345,86.3,2.566793893,144,589,24.44821732,1167,78.3,724355
CARROLL ISD,Fort Worth,2014,26.6,81,633,1709,83.7,2.699842022,179,620,28.87096774,1180,81.9,725097
CARROLL ISD,Fort Worth,2015,26.6,84.9,685,1881,80.4,2.745985401,188,661,28.44175492,1187,74,747542
CARROLL ISD,Fort Worth,2016,26.8,84.3,694,2031,82.6,2.926512968,175,617,28.363047,1186,76.2,776489
CARROLL ISD,Fort Worth,2017,27.1,84.6,771,2123,83,2.753566796,188,664,28.31325301,1261,70.2,803421
CARROLLTON-FARMERS BRANCH ISD,Richardson,2011,21.6,27.5,939,1871,53.3,1.992545261,318,1568,20.28061224,998,63.3,555508
CARROLLTON-FARMERS BRANCH ISD,Richardson,2012,21.8,27.4,937,1988,52.6,2.121664888,281,1617,17.37786024,999,59.6,524292
CARROLLTON-FARMERS BRANCH ISD,Richardson,2013,20.6,25.7,1026,2162,47.9,2.107212476,285,1671,17.0556553,990,56.5,520350
CARROLLTON-FARMERS BRANCH ISD,Richardson,2014,21,25.4,995,2234,49,2.245226131,326,1641,19.86593541,1000,56.6,528929
CARROLLTON-FARMERS BRANCH ISD,Richardson,2015,21.1,23.8,967.5,2250,42.3,2.325581395,303,1650,18.36363636,984,57.8,553416
CARROLLTON-FARMERS BRANCH ISD,Richardson,2016,20.4,26.4,1035,2047.5,42,1.97826087,276,1608,17.1641791,976,55.9,587818
CARROLLTON-FARMERS BRANCH ISD,Richardson,2017,20.8,27.5,877.5,1957.5,48.5,2.230769231,321,1597,20.10018785,1058,57.1,651220
CASTLEBERRY ISD,Fort Worth,2011,19.6,14.8,94,184,16.3,1.957446809,35,172,20.34883721,904,60.5,144198
CASTLEBERRY ISD,Fort Worth,2012,19.8,9.1,86,154,12.3,1.790697674,23,164,14.02439024,943,44.5,126550
CASTLEBERRY ISD,Fort Worth,2013,19.6,4.6,64,92,18.5,1.4375,19,174,10.91954023,901,41.4,124494
CASTLEBERRY ISD,Fort Worth,2014,17.6,4.8,71,114,14.9,1.605633803,23,187,12.29946524,873,45.5,123049
CASTLEBERRY ISD,Fort Worth,2015,19,7.4,83,127,10.2,1.530120482,23,188,12.23404255,886,38.3,121183
CASTLEBERRY ISD,Fort Worth,2016,17.8,12,93,153,5.2,1.64516129,28,200,14,857,48.5,119204
CASTLEBERRY ISD,Fort Worth,2017,17.5,5.6,142,236,4.2,1.661971831,14,214,6.542056075,950,44.4,118337
CELINA ISD,Richardson,2011,22.6,97,85,152,31.6,1.788235294,28,115,24.34782609,1030,42.6,347996
CELINA ISD,Richardson,2012,22.8,85.5,82,138,59.4,1.682926829,24,145,16.55172414,1104,23.4,331019
CELINA ISD,Richardson,2013,22.2,75,74,128,54.7,1.72972973,36,148,24.32432432,1018,11.5,330339
CELINA ISD,Richardson,2014,21.9,68.7,77,107,46.7,1.38961039,25,134,18.65671642,1021,22.4,330842
CELINA ISD,Richardson,2015,21.7,70.4,88,112,37.5,1.272727273,25,152,16.44736842,1088,9.9,329084
CELINA ISD,Richardson,2016,22.2,69.9,92,118,50,1.282608696,31,173,17.91907514,1064,16.8,328523
