DistName,RegnName,Year,ACT-Composite,ACT-Part_Rate,AP-11&12 Participating Students,AP-Total Exams,AP-Passed(%),AP-Exams Taken Per Student,Enrolled 4-Year,Total Graduated,Enrolled 4-Year (%),SAT-Total,SAT-Part_Rate,Wealth/ADA,Graduated 4-Year,Graduated 4-Year (%)
SHELDON ISD,Houston,2011,17.4,16,82,145,22,1.8,53,353,15,844,54,720051,10,19
SHELDON ISD,Houston,2012,17.6,30,84,120,14,1.4,55,343,16,841,53,616900,14,25
SHELDON ISD,Houston,2013,17.2,28,72,118,11,1.6,44,378,12,821,55,582031,11,25
SHELDON ISD,Houston,2014,18.1,30,81,138,20,1.7,57,383,15,849,57,610754,18,32
SHERMAN ISD,Richardson,2011,20.8,30,159,347,48,2.2,45,376,12,1045,35,361049,18,40
SHERMAN ISD,Richardson,2012,21.6,26,167,363,52,2.2,35,385,9,1075,26,354452,22,63
SHERMAN ISD,Richardson,2013,20.6,32,156,368,58,2.4,49,340,14,1039,34,355057,23,47
SHERMAN ISD,Richardson,2014,21.3,28,171,444,62,2.6,44,377,12,1042,35,353566,22,50
SOMERSET ISD,San Antonio,2013,15.5,14,44,52,12,1.2,23,210,11,814,46,90472,6,26
SOMERSET ISD,San Antonio,2014,17,25,99,175,4,1.8,25,232,11,837,51,90342,6,24
SOUTH SAN ANTONIO ISD,San Antonio,2011,17.9,21,74,119,25,1.6,49,422,12,860,54,137309,18,37
SOUTH SAN ANTONIO ISD,San Antonio,2012,17.7,13,71,113,16,1.6,55,448,12,848,54,132601,13,24
SOUTH SAN ANTONIO ISD,San Antonio,2013,17.2,21,68,99,8,1.5,44,431,10,849,58,133804,13,30
SOUTH SAN ANTONIO ISD,San Antonio,2014,17.9,17,143,230,17,1.6,48,500,10,854,39,141665,17,35
SOUTHSIDE ISD,San Antonio,2011,19.1,29,131,187,19,1.4,27,298,9,820,69,98207,5,19
SOUTHSIDE ISD,San Antonio,2012,18,28,111,193,25,1.7,33,295,11,862,51,99783,8,24
SOUTHSIDE ISD,San Antonio,2013,19.3,17,132,192,29,1.5,31,287,11,886,54,103674,13,42
SOUTHSIDE ISD,San Antonio,2014,19,23,90,144,28,1.6,42,268,16,836,94,119556,15,36
SOUTHWEST ISD,San Antonio,2011,17.1,5,95,100,12,1.1,50,627,8,844,43,140399,17,34
SOUTHWEST ISD,San Antonio,2012,18.3,11,83,83,12,1.0,45,655,7,902,31,128207,16,36
SOUTHWEST ISD,San Antonio,2013,18,15,112,157,27,1.4,45,719,6,866,37,122476,21,47
SOUTHWEST ISD,San Antonio,2014,17.8,8,233,348,20,1.5,54,701,8,763,95,123555,20,37
SPRING BRANCH ISD,Houston,2011,23.6,49,1275,3315,66,2.6,435,1867,23,1041,79,638169,182,42
SPRING BRANCH ISD,Houston,2012,23.7,48,1444,3718,64,2.6,447,1835,24,1051,74,611345,217,49
SPRING BRANCH ISD,Houston,2013,23.4,47,1559,4145,59,2.7,479,2011,24,1028,73,610700,249,52
SPRING BRANCH ISD,Houston,2014,23.8,48,1538,4098,58,2.7,442,2048,22,1037,72,631879,205,46
SPRING ISD,Houston,2011,17.8,26,613,1232,24,2.0,412,1891,22,888,61,229818,78,19
SPRING ISD,Houston,2012,17.7,28,590,1160,26,2.0,404,1943,21,866,59,214581,102,25
SPRING ISD,Houston,2013,17.4,25,583,1084,27,1.9,389,2019,19,869,55,213853,96,25
SPRING ISD,Houston,2014,18.2,19,671,1318,19,2.0,366,1977,19,790,97,211387,91,25
STEPHENVILLE ISD,Fort Worth,2014,21.8,53,59,76,70,1.3,97,245,40,1011,59,379065,27,28
TARKINGTON ISD,Houston,2011,17.8,7,29,53,42,1.8,20,132,15,1003,50,205307,7,35
TAYLOR ISD,Austin,2011,19.7,21,54,94,38,1.7,43,222,19,955,50,268672,10,23
TAYLOR ISD,Austin,2012,18.4,25,38,78,46,2.1,36,206,17,943,45,262848,11,31
TAYLOR ISD,Austin,2014,19,27,38,66,53,1.7,44,233,19,942,48,265036,11,25
TERRELL ISD,Richardson,2011,18.2,27,70,106,11,1.5,33,235,14,865,46,370536,6,18
TERRELL ISD,Richardson,2012,19.5,24,70,113,12,1.6,26,205,13,922,33,343441,6,23
TEXAS CITY ISD,Houston,2011,20.8,9,60,85,22,1.4,48,385,12,925,41,767048,20,42
TEXAS CITY ISD,Houston,2012,17.8,9,33,59,25,1.8,51,350,15,918,44,689634,12,24
TEXAS CITY ISD,Houston,2013,18.4,16,57,73,29,1.3,36,364,10,909,39,675672,13,36
TEXAS CITY ISD,Houston,2014,19.1,11,83,101,19,1.2,52,364,14,905,48,732008,14,27
THORNDALE ISD,Austin,2014,20.4,49,26,53,32,2.0,9,53,17,961,47,198349,5,56
TOMBALL ISD,Houston,2011,22.1,31,372,736,61,2.0,166,700,24,1028,66,491002,90,54
TOMBALL ISD,Houston,2012,22.7,28,376,704,58,1.9,149,701,21,1031,61,485434,83,56
TOMBALL ISD,Houston,2013,23,23,425,906,57,2.1,165,694,24,1038,59,491841,102,62
TOMBALL ISD,Houston,2014,23,30,510,1170,56,2.3,201,752,27,1043,66,507914,114,57
WALLER ISD,Houston,2011,19.4,50,140,276,17,2.0,57,340,17,996,25,305105,15,26
WALLER ISD,Houston,2012,19.1,46,102,231,25,2.3,56,368,15,965,33,333304,20,36
WALLER ISD,Houston,2013,20.3,43,76,132,37,1.7,52,349,15,970,31,324502,20,38
WALLER ISD,Houston,2014,19.6,47,70,123,32,1.8,53,351,15,933,37,299353,22,42
WAXAHACHIE ISD,Richardson,2011,21.3,29,116,191,49,1.6,81,499,16,978,49,396353,24,30
WAXAHACHIE ISD,Richardson,2012,20.6,30,99,175,40,1.8,95,517,18,986,45,385162,42,44
WAXAHACHIE ISD,Richardson,2013,21,27,161,278,31,1.7,104,505,21,977,49,378685,42,40
WAXAHACHIE ISD,Richardson,2014,21.3,24,173,336,32,1.9,112,557,20,1003,50,372530,44,39
WEATHERFORD ISD,Fort Worth,2011,21.8,22,297,560,51,1.9,86,494,17,1045,52,469325,48,56
WEATHERFORD ISD,Fort Worth,2012,22,24,217,441,49,2.0,85,508,17,1012,47,470315,45,53
WEATHERFORD ISD,Fort Worth,2013,22.2,27,167,335,60,2.0,84,507,17,1020,45,462058,38,45
WEATHERFORD ISD,Fort Worth,2014,20.9,29,194,399,62,2.1,77,493,16,988,47,460732,41,53
WHITE SETTLEMENT ISD,Fort Worth,2011,19.5,22,75,128,39,1.7,34,383,9,967,40,267932,8,24
WHITE SETTLEMENT ISD,Fort Worth,2012,19.8,21,120,206,29,1.7,46,446,10,929,46,246907,10,22
WHITE SETTLEMENT ISD,Fort Worth,2013,20.3,26,144,257,32,1.8,59,402,15,936,43,252344,15,25
WHITE SETTLEMENT ISD,Fort Worth,2014,20.3,32,136,262,42,1.9,65,412,16,939,49,275583,27,42
WHITESBORO ISD,Richardson,2014,21.6,53,38,51,37,1.3,18,103,17,1015,13,387315,10,56
WIMBERLEY ISD,Austin,2011,23.3,51,89,173,58,1.9,52,155,34,1083,87,727482,15,29
WIMBERLEY ISD,Austin,2012,22.3,51,85,130,52,1.5,54,179,30,1045,75,730476,23,43
WIMBERLEY ISD,Austin,2013,23.4,44,78,113,70,1.4,52,149,35,1088,68,735402,20,38
WIMBERLEY ISD,Austin,2014,23.8,43,107,175,68,1.6,47,162,29,1102,70,738706,20,43
WYLIE ISD,Richardson,2011,23.1,28,278,527,56,1.9,121,721,17,1001,56,260926,38,31
WYLIE ISD,Richardson,2012,22.2,38,312,619,58,2.0,119,707,17,1004,60,255453,52,44
WYLIE ISD,Richardson,2013,22.3,32,336,656,59,2.0,152,802,19,1026,48,252732,68,45
WYLIE ISD,Richardson,2014,21.8,38,405,779,52,1.9,139,794,18,1001,51,249380,68,49
