DistName,RegnName,Year,ACT-Composite,ACT-Part_Rate,AP-11&12 Participating Students,AP-Total Exams,AP-Passed(%),AP-Exams Taken Per Student,Enrolled 4-Year,Total Graduated,Enrolled 4-Year (%),SAT-Total,SAT-Part_Rate,Wealth/ADA,Graduated 4-Year,Graduated 4-Year (%)
BURLESON ISD,Fort Worth,2012,21.2,22,281,579,48,2.1,93,607,15,1001,52,351767,45,48
BURLESON ISD,Fort Worth,2013,21.4,20,386,844,35,2.2,99,683,14,985,55,338552,40,40
BURLESON ISD,Fort Worth,2014,21.7,23,491,1083,39,2.2,138,725,19,978,57,330044,62,45
CANTON ISD,Richardson,2011,21.5,32,65,104,42,1.6,21,129,16,1030,44,312980,9,43
CANTON ISD,Richardson,2012,21.9,32,52,78,55,1.5,25,132,19,1015,39,311875,11,44
CANTON ISD,Richardson,2013,21.9,34,55,74,42,1.3,41,141,29,1013,43,305249,15,37
CANTON ISD,Richardson,2014,23.8,27,53,72,47,1.4,33,139,24,1047,49,300187,17,52
CARROLL ISD,Fort Worth,2011,25.7,82,491,1240,84,2.5,130,565,23,1155,93,732585,66,51
CARROLL ISD,Fort Worth,2012,26.1,77,526,1362,84,2.6,172,669,26,1165,84,714518,108,63
CARROLL ISD,Fort Worth,2013,26,79,524,1345,86,2.6,144,589,24,1167,78,724355,70,49
CARROLL ISD,Fort Worth,2014,26.6,81,633,1709,84,2.7,179,620,29,1180,82,725097,119,66
CARROLLTON-FARMERS BRANCH ISD,Richardson,2011,21.6,28,939,1871,53,2.0,318,1568,20,998,63,555508,120,38
CARROLLTON-FARMERS BRANCH ISD,Richardson,2012,21.8,27,937,1988,53,2.1,281,1617,17,999,60,524292,116,41
CARROLLTON-FARMERS BRANCH ISD,Richardson,2013,20.6,26,1026,2162,48,2.1,285,1671,17,990,57,520350,105,37
CARROLLTON-FARMERS BRANCH ISD,Richardson,2014,21,25,995,2234,49,2.2,326,1641,20,1000,57,528929,155,48
CASTLEBERRY ISD,Fort Worth,2012,19.8,9,86,154,12,1.8,23,164,14,943,45,126550,10,43
CASTLEBERRY ISD,Fort Worth,2013,19.6,5,64,92,19,1.4,19,174,11,901,41,124494,6,32
CASTLEBERRY ISD,Fort Worth,2014,17.6,5,71,114,15,1.6,23,187,12,873,46,123049,6,26
CEDAR HILL ISD,Richardson,2011,18.3,60,64,122,26,1.9,120,534,22,872,55,349962,26,22
CEDAR HILL ISD,Richardson,2012,19.1,63,63,109,20,1.7,175,528,33,906,52,336580,38,22
CEDAR HILL ISD,Richardson,2014,19.2,54,38,61,21,1.6,156,541,29,911,48,335684,40,26
CELINA ISD,Richardson,2011,22.6,97,85,152,32,1.8,28,115,24,1030,43,347996,14,50
CELINA ISD,Richardson,2012,22.8,86,82,138,59,1.7,24,145,17,1104,23,331019,12,50
CELINA ISD,Richardson,2013,22.2,75,74,128,55,1.7,36,148,24,1018,12,330339,19,53
CELINA ISD,Richardson,2014,21.9,69,77,107,47,1.4,25,134,19,1021,22,330842,18,72
CHANNELVIEW ISD,Houston,2011,17,11,159,278,41,1.7,53,491,11,898,42,286616,9,17
CHANNELVIEW ISD,Houston,2012,17.8,20,257,478,26,1.9,62,498,12,872,47,277548,15,24
CHANNELVIEW ISD,Houston,2013,17.7,20,288,616,22,2.1,59,481,12,897,42,271648,19,32
CHANNELVIEW ISD,Houston,2014,17.3,23,320,608,19,1.9,62,486,13,882,51,282106,17,27
CLEAR CREEK ISD,Houston,2011,23.5,31,1504,3264,70,2.2,800,2671,30,1069,75,421864,349,44
CLEAR CREEK ISD,Houston,2012,23.5,32,1532,3264,71,2.1,737,2700,27,1066,71,412053,349,47
CLEAR CREEK ISD,Houston,2013,23.6,32,1634,3633,67,2.2,746,2797,27,1069,67,417074,359,48
CLEAR CREEK ISD,Houston,2014,24.1,36,1695,3831,72,2.3,875,2748,32,1079,68,417580,412,47
CLEBURNE ISD,Fort Worth,2011,22.2,18,94,120,36,1.3,55,389,14,990,41,529519,22,40
CLEBURNE ISD,Fort Worth,2012,22.3,14,113,166,32,1.5,76,418,18,984,44,474731,24,32
CLEBURNE ISD,Fort Worth,2013,21,15,99,193,36,1.9,62,405,15,959,44,472298,21,34
CLEBURNE ISD,Fort Worth,2014,21.7,15,165,340,34,2.1,71,394,18,955,48,459469,28,39
CLEVELAND ISD,Houston,2011,19.1,26,32,53,15,1.7,20,160,13,908,50,196567,5,25
COMAL ISD,Austin,2011,22.1,29,583,1235,47,2.1,336,1159,29,995,77,632631,116,35
COMAL ISD,Austin,2012,22,30,662,1399,42,2.1,295,1116,26,1002,67,601831,123,42
COMAL ISD,Austin,2013,22.3,34,696,1603,45,2.3,323,1232,26,1014,65,569987,146,45
COMAL ISD,Austin,2014,22.2,28,867,1965,44,2.3,379,1263,30,1013,64,565606,173,46
COMMUNITY ISD,Richardson,2014,20.1,22,35,61,15,1.7,14,103,14,947,52,291190,6,43
COPPELL ISD,Richardson,2011,25.2,64,539,1062,71,2.0,249,727,34,1140,88,752664,123,49
COPPELL ISD,Richardson,2012,25.1,66,623,1326,73,2.1,208,778,27,1150,84,690284,125,60
COPPELL ISD,Richardson,2013,25.2,64,715,1686,69,2.4,252,781,32,1142,89,664460,131,52
COPPELL ISD,Richardson,2014,25.2,62,675,1737,65,2.6,297,827,36,1153,87,676785,176,59
CRANDALL ISD,Richardson,2011,20.5,49,66,96,7,1.5,39,176,22,970,39,190696,17,44
CRANDALL ISD,Richardson,2012,21.1,44,74,144,10,1.9,35,191,18,1002,42,192849,15,43
CRANDALL ISD,Richardson,2014,20.2,38,81,124,27,1.5,38,226,17,997,35,179088,26,68
CROSBY ISD,Houston,2011,18.6,32,104,206,41,2.0,54,321,17,972,46,260603,20,37
CROSBY ISD,Houston,2012,19.4,29,101,184,38,1.8,45,315,14,981,35,272000,21,47
CROSBY ISD,Houston,2013,19.4,25,84,170,44,2.0,50,335,15,984,36,263186,17,34
CROSBY ISD,Houston,2014,18.8,25,65,126,49,1.9,46,307,15,963,37,254001,11,24
CROWLEY ISD,Fort Worth,2011,20.2,25,283,586,49,2.1,181,905,20,941,70,356715,56,31
CROWLEY ISD,Fort Worth,2012,19.9,23,290,528,46,1.8,190,910,21,928,66,332041,71,37
CROWLEY ISD,Fort Worth,2013,19,23,291,564,45,1.9,195,994,20,917,63,342343,61,31
CROWLEY ISD,Fort Worth,2014,18.6,28,524,1029,31,2.0,198,885,22,909,60,340057,60,30
CYPRESS-FAIRBANKS ISD,Houston,2011,21.5,28,2735,6181,60,2.3,1481,6310,23,1025,66,348189,597,40
CYPRESS-FAIRBANKS ISD,Houston,2012,21.6,28,2427,5342,66,2.2,1397,6419,22,1020,62,333118,615,44
CYPRESS-FAIRBANKS ISD,Houston,2013,21.9,28,2620,5896,64,2.3,1515,6982,22,1024,60,331245,667,44
CYPRESS-FAIRBANKS ISD,Houston,2014,21.9,31,2738,5907,64,2.2,1696,7161,24,1023,60,338826,849,50
DALLAS ISD,Richardson,2011,17.1,45,5619,13532,22,2.4,1118,7267,15,863,66,546939,203,18
DALLAS ISD,Richardson,2012,17.2,43,5569,12825,25,2.3,1247,7275,17,863,65,513227,280,22
DALLAS ISD,Richardson,2013,17.1,42,5515,13727,24,2.5,1214,7706,16,856,65,503354,336,28
DALLAS ISD,Richardson,2014,17.1,46,6030,17013,25,2.8,1222,7410,16,865,65,511155,322,26
DAYTON ISD,Houston,2011,19.7,13,64,122,30,1.9,38,300,13,930,46,289938,8,21
DAYTON ISD,Houston,2012,18.7,8,38,66,41,1.7,38,348,11,927,38,287850,16,42
DAYTON ISD,Houston,2013,19.5,8,41,81,35,2.0,36,336,11,938,34,306917,15,42
DAYTON ISD,Houston,2014,18.3,9,47,75,25,1.6,37,314,12,938,39,307752,15,41
DECATUR ISD,Fort Worth,2011,21.1,64,47,91,59,1.9,50,209,24,996,42,770679,23,46
