DistName,RegnName,ACT-Composite,ACT-Part_Rate,Year,AP-11&12 Participating Students,AP-Total Exams,AP-Passed(%),AP-Exams Taken Per Student,Enrolled 4-Year,Total Graduated,Enrolled 4-Year (%),SAT-Total,SAT-Part_Rate,Wealth/ADA
AUSTIN ISD,Austin,21.9,36.1,2014,2767.5,6749.0,54.6,2.438663053,898.0,4155,21.61251504,1103.0,67.5,805850
AUSTIN ISD,Austin,22.2,37.6,2015,3060.0,7699.0,56.9,2.516013072,889.0,4254,20.89797837,1102.0,65.6,867833
AUSTIN ISD,Austin,22.5,38.3,2016,3321.0,7676.0,59.2,2.311352002,922.0,4386,21.02143183,1093.0,67.6,969782
AUSTIN ISD,Austin,22.5,35.7,2017,3350.0,7909.0,61.4,2.360895522,866.0,4352,19.89889706,1098.0,65.2,1146668
AZLE ISD,Fort Worth,22.3,21.3,2011,73.0,129.0,46.5,1.767123288,55.0,342,16.08187135,1062.0,60.9,432477
AZLE ISD,Fort Worth,21.7,23.1,2012,82.0,132.0,40.2,1.609756098,46.0,346,13.29479769,1027.0,50.0,425292
AZLE ISD,Fort Worth,21.4,28.1,2013,94.0,164.0,34.1,1.744680851,69.0,388,17.78350515,1032.0,54.6,413243
AZLE ISD,Fort Worth,22.0,29.1,2014,118.0,211.0,36.0,1.788135593,64.0,385,16.62337662,1048.0,50.4,391884
AZLE ISD,Fort Worth,21.3,23.8,2015,131.0,228.0,34.2,1.740458015,55.0,403,13.64764268,1042.0,47.4,385407
AZLE ISD,Fort Worth,20.5,25.4,2016,122.0,221.0,38.0,1.81147541,54.0,453,11.9205298,1038.0,44.6,375480
AZLE ISD,Fort Worth,20.8,21.4,2017,108.0,194.0,32.0,1.796296296,45.0,416,10.81730769,1057.0,39.2,392810
BANDERA ISD,San Antonio,23.1,50.9,2011,124.0,263.0,19.0,2.120967742,41.0,192,21.35416667,1084.0,70.6,533528
BANDERA ISD,San Antonio,20.8,40.1,2012,54.0,87.0,36.8,1.611111111,36.0,172,20.93023256,1038.0,57.0,578911
BANDERA ISD,San Antonio,20.9,52.4,2013,47.0,85.0,34.1,1.8085106380000002,29.0,168,17.26190476,1091.0,63.1,599874
BANDERA ISD,San Antonio,22.0,45.1,2014,30.0,52.0,50.0,1.733333333,40.0,162,24.69135802,1078.0,56.2,624854
BANDERA ISD,San Antonio,22.0,47.0,2015,44.0,70.0,57.1,1.5909090909999999,28.0,149,18.79194631,1097.0,57.0,659994
BANDERA ISD,San Antonio,22.1,42.0,2016,39.0,65.0,41.5,1.6666666669999999,38.0,176,21.59090909,1083.0,54.5,664723
BANDERA ISD,San Antonio,21.2,38.9,2017,28.0,71.0,57.7,2.535714286,29.0,149,19.46308725,1065.0,55.0,670540
BARBERS HILL ISD,Houston,22.1,17.9,2011,86.0,142.0,60.6,1.651162791,63.0,282,22.34042553,1101.0,60.4,751007
BARBERS HILL ISD,Houston,21.8,23.3,2012,70.0,103.0,50.5,1.471428571,57.0,270,21.11111111,1094.0,54.8,697273
BARBERS HILL ISD,Houston,21.3,21.5,2013,91.0,158.0,48.7,1.736263736,52.0,289,17.99307958,1063.0,61.2,789780
BARBERS HILL ISD,Houston,21.7,25.9,2014,156.0,269.0,55.4,1.724358974,65.0,332,19.57831325,1081.0,53.9,905494
BARBERS HILL ISD,Houston,22.8,19.7,2015,169.0,307.0,53.7,1.8165680469999999,88.0,319,27.586206899999997,1109.0,53.0,883464
BARBERS HILL ISD,Houston,22.5,20.0,2016,191.0,382.0,62.3,2.0,56.0,315,17.77777778,1088.0,51.7,976033
BARBERS HILL ISD,Houston,20.6,92.4,2017,218.0,478.0,64.0,2.19266055,92.0,344,26.74418605,1094.0,39.5,1082616
BASTROP ISD,Austin,19.4,15.4,2011,247.0,506.0,33.6,2.048582996,112.0,525,21.33333333,1025.0,56.1,308882
BASTROP ISD,Austin,20.0,15.0,2012,112.0,221.0,59.3,1.973214286,89.0,515,17.2815534,1023.0,52.8,316748
BASTROP ISD,Austin,20.1,12.2,2013,126.0,263.0,51.0,2.087301587,94.0,617,15.2350081,1018.0,41.8,318564
BASTROP ISD,Austin,20.0,17.6,2014,135.0,270.0,43.7,2.0,97.0,569,17.04745167,1013.0,50.3,306454
BASTROP ISD,Austin,19.0,17.3,2015,272.0,617.0,22.0,2.2683823530000002,92.0,578,15.91695502,1008.0,46.4,313113
