DistName,RegnName,SAT-Total,SAT-Part_Rate,Year
POOLVILLE ISD,Fort Worth,1084.0,20.8,2011
SPRINGTOWN ISD,Fort Worth,1076.0,48.0,2011
WEATHERFORD ISD,Fort Worth,1123.0,52.2,2011
MILLSAP ISD,Fort Worth,1028.0,46.2,2011
ALEDO ISD,Fort Worth,1164.0,80.9,2011
PEASTER ISD,Fort Worth,1139.0,56.7,2011
BROCK ISD,Fort Worth,1150.0,43.1,2011
ROCKWALL ISD,Richardson,1133.0,71.8,2011
ROYSE CITY ISD,Richardson,1033.0,52.8,2011
GLEN ROSE ISD,Fort Worth,1048.0,73.2,2011
ARLINGTON ISD,Fort Worth,1065.0,65.2,2011
BIRDVILLE ISD,Fort Worth,1081.0,53.2,2011
EVERMAN ISD,Fort Worth,929.0,61.7,2011
FORT WORTH ISD,Fort Worth,994.0,58.6,2011
GRAPEVINE-COLLEYVILLE ISD,Fort Worth,1167.0,82.4,2011
KELLER ISD,Fort Worth,1120.0,66.4,2011
MANSFIELD ISD,Fort Worth,1053.0,67.9,2011
LAKE WORTH ISD,Fort Worth,988.0,46.0,2011
CROWLEY ISD,Fort Worth,1010.0,70.3,2011
KENNEDALE ISD,Fort Worth,1024.0,66.8,2011
AZLE ISD,Fort Worth,1062.0,60.9,2011
HURST-EULESS-BEDFORD ISD,Fort Worth,1106.0,55.0,2011
CASTLEBERRY ISD,Fort Worth,983.0,60.5,2011
EAGLE MT-SAGINAW ISD,Fort Worth,1068.0,58.1,2011
CARROLL ISD,Fort Worth,1219.0,93.4,2011
WHITE SETTLEMENT ISD,Fort Worth,1033.0,39.7,2011
AUSTIN ISD,Austin,1091.0,72.8,2011
PFLUGERVILLE ISD,Austin,1062.0,75.9,2011
MANOR ISD,Austin,925.0,63.2,2011
EANES ISD,Austin,1280.0,97.7,2011
DEL VALLE ISD,Austin,953.0,49.4,2011
LAGO VISTA ISD,Austin,1100.0,65.9,2011
LAKE TRAVIS ISD,Austin,1187.0,90.8,2011
KNIPPA ISD,San Antonio,1002.0,90.0,2011
SABINAL ISD,San Antonio,913.0,62.2,2011
UTOPIA ISD,San Antonio,1183.0,37.5,2011
CANTON ISD,Richardson,1103.0,43.6,2011
WILLS POINT ISD,Richardson,1034.0,42.6,2011
HEMPSTEAD ISD,Houston,898.0,17.6,2011
WALLER ISD,Houston,1064.0,25.1,2011
ROYAL ISD,Houston,1100.0,5.6,2011
FLORENCE ISD,Austin,1055.0,66.7,2011
GEORGETOWN ISD,Austin,1120.0,66.6,2011
GRANGER ISD,Austin,1106.0,31.3,2011
HUTTO ISD,Austin,1021.0,66.9,2011
JARRELL ISD,Austin,1126.0,60.4,2011
LIBERTY HILL ISD,Austin,1132.0,62.3,2011
ROUND ROCK ISD,Austin,1157.0,77.4,2011
TAYLOR ISD,Austin,1030.0,49.5,2011
THRALL ISD,Austin,1083.0,75.6,2011
LEANDER ISD,Austin,1146.0,77.8,2011
FLORESVILLE ISD,San Antonio,1013.0,54.9,2011
LA VERNIA ISD,San Antonio,1073.0,68.5,2011
POTH ISD,San Antonio,1089.0,78.7,2011
STOCKDALE ISD,San Antonio,1010.0,57.1,2011
ALVORD ISD,Fort Worth,1093.0,45.5,2011
BOYD ISD,Fort Worth,1053.0,46.6,2011
BRIDGEPORT ISD,Fort Worth,1041.0,46.2,2011
CHICO ISD,Fort Worth,962.0,25.7,2011
DECATUR ISD,Fort Worth,1071.0,42.4,2011
PARADISE ISD,Fort Worth,1090.0,48.1,2011
SLIDELL ISD,Fort Worth,931.0,90.0,2011
CRYSTAL CITY ISD,San Antonio,1019.0,8.4,2011
CHARLOTTE ISD,San Antonio,893.0,32.4,2012
JOURDANTON ISD,San Antonio,1001.0,33.8,2012
LYTLE ISD,San Antonio,991.0,55.6,2012
PLEASANTON ISD,San Antonio,1011.0,31.1,2012
POTEET ISD,San Antonio,971.0,30.7,2012
MEDINA ISD,San Antonio,1026.0,75.8,2012
BANDERA ISD,San Antonio,1038.0,57.0,2012
BASTROP ISD,Austin,1023.0,52.8,2012
ELGIN ISD,Austin,997.0,47.7,2012
SMITHVILLE ISD,Austin,1059.0,39.6,2012
BARTLETT ISD,Austin,847.0,62.1,2012
ALAMO HEIGHTS ISD,San Antonio,1175.0,85.0,2012
HARLANDALE ISD,San Antonio,939.0,49.7,2012
EDGEWOOD ISD,San Antonio,871.0,54.7,2012
RANDOLPH FIELD ISD,San Antonio,1141.0,80.0,2012
SAN ANTONIO ISD,San Antonio,907.0,57.4,2012
SOUTH SAN ANTONIO ISD,San Antonio,936.0,53.8,2012
SOMERSET ISD,San Antonio,919.0,58.7,2012
NORTH EAST ISD,San Antonio,1100.0,68.5,2012
EAST CENTRAL ISD,San Antonio,992.0,56.9,2012
SOUTHWEST ISD,San Antonio,986.0,31.0,2012
LACKLAND ISD,San Antonio,1129.0,17.9,2012
FT SAM HOUSTON ISD,San Antonio,1075.0,87.7,2012
NORTHSIDE ISD,San Antonio,1034.0,62.8,2012
JUDSON ISD,San Antonio,973.0,60.2,2012
SOUTHSIDE ISD,San Antonio,942.0,50.5,2012
JOHNSON CITY ISD,Austin,1061.0,70.0,2012
BLANCO ISD,Austin,1036.0,41.8,2012
ALVIN ISD,Houston,1020.0,50.5,2012
ANGLETON ISD,Houston,1028.0,40.3,2012
DANBURY ISD,Houston,1050.0,58.5,2012
BRAZOSPORT ISD,Houston,1091.0,40.3,2012
SWEENY ISD,Houston,1021.0,49.6,2012
COLUMBIA-BRAZORIA ISD,Houston,1004.0,35.1,2012
PEARLAND ISD,Houston,1086.0,62.5,2012
MARBLE FALLS ISD,Austin,1059.0,37.9,2012
LOCKHART ISD,Austin,1021.0,46.5,2012
LULING ISD,Austin,1040.0,29.5,2012
PRAIRIE LEA ISD,Austin,1079.0,50.0,2012
ANAHUAC ISD,Houston,964.0,49.4,2012
BARBERS HILL ISD,Houston,1094.0,54.8,2012
EAST CHAMBERS ISD,Houston,1007.0,53.5,2012
ALLEN ISD,Richardson,1147.0,74.7,2012
ANNA ISD,Richardson,1022.0,43.0,2012
CELINA ISD,Richardson,1157.0,23.4,2012
FARMERSVILLE ISD,Richardson,1058.0,47.9,2012
FRISCO ISD,Richardson,1141.0,65.8,2012
MCKINNEY ISD,Richardson,1147.0,66.6,2012
MELISSA ISD,Richardson,1136.0,38.7,2012
PLANO ISD,Richardson,1196.0,73.5,2012
PRINCETON ISD,Richardson,1061.0,42.0,2012
PROSPER ISD,Richardson,1130.0,68.3,2012
WYLIE ISD,Richardson,1079.0,60.3,2012
BLUE RIDGE ISD,Richardson,1107.0,22.4,2012
COMMUNITY ISD,Richardson,1083.0,37.5,2012
LOVEJOY ISD,Richardson,1187.0,82.6,2012
NEW BRAUNFELS ISD,Austin,1082.0,59.8,2012
COMAL ISD,Austin,1073.0,66.8,2012
GAINESVILLE ISD,Fort Worth,986.0,14.1,2012
MUENSTER ISD,Fort Worth,1138.0,64.1,2012
VALLEY VIEW ISD,Fort Worth,1054.0,43.9,2012
CALLISBURG ISD,Fort Worth,1034.0,59.5,2012
ERA ISD,Fort Worth,998.0,28.6,2012
LINDSAY ISD,Fort Worth,1128.0,78.6,2012
CARROLLTON-FARMERS BRANCH ISD,Richardson,1082.0,59.6,2012
CEDAR HILL ISD,Richardson,991.0,52.3,2012
DALLAS ISD,Richardson,947.0,64.8,2012
DESOTO ISD,Richardson,950.0,56.6,2012
DUNCANVILLE ISD,Richardson,984.0,40.1,2012
GARLAND ISD,Richardson,1046.0,51.0,2012
GRAND PRAIRIE ISD,Richardson,1004.0,41.9,2012
HIGHLAND PARK ISD,Richardson,1281.0,85.7,2012
IRVING ISD,Richardson,942.0,78.6,2012
LANCASTER ISD,Richardson,900.0,56.6,2012
MESQUITE ISD,Richardson,996.0,50.4,2012
RICHARDSON ISD,Richardson,1105.0,66.8,2012
SUNNYVALE ISD,Richardson,1081.0,82.0,2012
COPPELL ISD,Richardson,1226.0,83.7,2012
DENTON ISD,Fort Worth,1073.0,55.2,2012
LEWISVILLE ISD,Fort Worth,1159.0,68.3,2012
PILOT POINT ISD,Fort Worth,1042.0,61.5,2012
KRUM ISD,Fort Worth,1136.0,50.0,2012
PONDER ISD,Fort Worth,1068.0,54.3,2012
AUBREY ISD,Fort Worth,1076.0,53.3,2012
SANGER ISD,Fort Worth,1072.0,39.4,2012
ARGYLE ISD,Fort Worth,1138.0,80.2,2012
NORTHWEST ISD,Fort Worth,1080.0,67.5,2012
LAKE DALLAS ISD,Fort Worth,1078.0,59.2,2012
LITTLE ELM ISD,Fort Worth,1003.0,54.0,2012
AVALON ISD,Richardson,933.0,42.1,2012
ENNIS ISD,Richardson,1032.0,24.4,2012
FERRIS ISD,Richardson,959.0,55.4,2012
ITALY ISD,Richardson,922.0,50.0,2012
MIDLOTHIAN ISD,Richardson,1103.0,43.8,2012
PALMER ISD,Richardson,1027.0,55.6,2012
RED OAK ISD,Richardson,1038.0,47.8,2012
WAXAHACHIE ISD,Richardson,1065.0,45.1,2012
MAYPEARL ISD,Richardson,969.0,51.4,2012
DUBLIN ISD,Fort Worth,991.0,52.8,2012
HUCKABAY ISD,Fort Worth,1078.0,56.3,2012
LINGLEVILLE ISD,Fort Worth,914.0,62.5,2012
BONHAM ISD,Richardson,1047.0,33.3,2012
ECTOR ISD,Richardson,973.0,31.8,2012
LEONARD ISD,Richardson,1114.0,34.8,2012
SAVOY ISD,Richardson,962.0,64.0,2012
TRENTON ISD,Richardson,1015.0,41.0,2012
FLATONIA ISD,Austin,1055.0,48.4,2012
LA GRANGE ISD,Austin,1084.0,57.7,2012
SCHULENBURG ISD,Austin,1060.0,52.0,2012
FAYETTEVILLE ISD,Austin,1024.0,94.4,2012
ROUND TOP-CARMINE ISD,Austin,1110.0,75.0,2012
NEEDVILLE ISD,Houston,1067.0,40.4,2012
FORT BEND ISD,Houston,1100.0,79.4,2012
PEARSALL ISD,San Antonio,976.0,6.2,2012
DICKINSON ISD,Houston,1005.0,39.6,2012
GALVESTON ISD,Houston,984.0,55.9,2012
LA MARQUE ISD,Houston,922.0,46.7,2012
TEXAS CITY ISD,Houston,999.0,44.3,2012
HITCHCOCK ISD,Houston,921.0,30.8,2012
SANTA FE ISD,Houston,1033.0,40.8,2012
CLEAR CREEK ISD,Houston,1146.0,70.7,2012
FRIENDSWOOD ISD,Houston,1174.0,77.7,2012
FREDERICKSBURG ISD,Austin,1102.0,63.5,2012
HARPER ISD,Austin,1111.0,39.6,2012
GONZALES ISD,Austin,995.0,35.9,2012
WAELDER ISD,Austin,884.0,53.3,2012
BELLS ISD,Richardson,1071.0,43.9,2012
COLLINSVILLE ISD,Richardson,1067.0,25.0,2012
DENISON ISD,Richardson,1077.0,28.3,2012
HOWE ISD,Richardson,1100.0,28.6,2012
SHERMAN ISD,Richardson,1154.0,26.2,2012
VAN ALSTYNE ISD,Richardson,1081.0,63.7,2012
WHITESBORO ISD,Richardson,1070.0,11.3,2012
WHITEWRIGHT ISD,Richardson,1099.0,41.2,2012
POTTSBORO ISD,Richardson,1062.0,41.0,2012
GUNTER ISD,Richardson,1142.0,30.0,2012
TOM BEAN ISD,Richardson,1079.0,32.2,2012
SEGUIN ISD,Austin,1009.0,48.0,2012
SCHERTZ-CIBOLO-U CITY ISD,San Antonio,1069.0,65.2,2012
NAVARRO ISD,Austin,1052.0,74.3,2012
MARION ISD,Austin,1059.0,60.5,2012
ALDINE ISD,Houston,956.0,48.9,2012
ALIEF ISD,Houston,957.0,58.8,2012
CHANNELVIEW ISD,Houston,951.0,47.4,2012
CROSBY ISD,Houston,1047.0,34.9,2012
CYPRESS-FAIRBANKS ISD,Houston,1094.0,61.6,2012
DEER PARK ISD,Houston,1078.0,46.9,2012
NORTH FOREST ISD,Houston,834.0,48.0,2012
GALENA PARK ISD,Houston,963.0,29.9,2012
HOUSTON ISD,Houston,928.0,97.6,2012
HUMBLE ISD,Houston,1077.0,65.6,2012
KATY ISD,Houston,1148.0,71.7,2012
KLEIN ISD,Houston,1097.0,65.2,2012
LA PORTE ISD,Houston,1044.0,50.0,2012
PASADENA ISD,Houston,987.0,47.0,2012
SPRING ISD,Houston,942.0,58.6,2012
SPRING BRANCH ISD,Houston,1136.0,73.5,2012
TOMBALL ISD,Houston,1109.0,61.1,2012
SHELDON ISD,Houston,926.0,52.5,2012
HUFFMAN ISD,Houston,1037.0,69.3,2012
DRIPPING SPRINGS ISD,Austin,1168.0,85.7,2012
WIMBERLEY ISD,Austin,1122.0,74.9,2012
