DistName,RegnName,Wealth/ADA,Year
CANTON ISD,Richardson,311875,2012
CANTON ISD,Richardson,305249,2013
CANTON ISD,Richardson,300187,2014
CANTON ISD,Richardson,306143,2015
CANTON ISD,Richardson,294564,2016
CANTON ISD,Richardson,299359,2017
CARROLL ISD,Fort Worth,732585,2011
CARROLL ISD,Fort Worth,714518,2012
CARROLL ISD,Fort Worth,724355,2013
CARROLL ISD,Fort Worth,725097,2014
CARROLL ISD,Fort Worth,747542,2015
CARROLL ISD,Fort Worth,776489,2016
CARROLL ISD,Fort Worth,803421,2017
CARROLLTON-FARMERS BRANCH ISD,Richardson,555508,2011
CARROLLTON-FARMERS BRANCH ISD,Richardson,524292,2012
CARROLLTON-FARMERS BRANCH ISD,Richardson,520350,2013
CARROLLTON-FARMERS BRANCH ISD,Richardson,528929,2014
CARROLLTON-FARMERS BRANCH ISD,Richardson,553416,2015
CARROLLTON-FARMERS BRANCH ISD,Richardson,587818,2016
CARROLLTON-FARMERS BRANCH ISD,Richardson,651220,2017
CASTLEBERRY ISD,Fort Worth,144198,2011
CASTLEBERRY ISD,Fort Worth,126550,2012
CASTLEBERRY ISD,Fort Worth,124494,2013
CASTLEBERRY ISD,Fort Worth,123049,2014
CASTLEBERRY ISD,Fort Worth,121183,2015
CASTLEBERRY ISD,Fort Worth,119204,2016
CASTLEBERRY ISD,Fort Worth,118337,2017
CEDAR HILL ISD,Richardson,349962,2011
CEDAR HILL ISD,Richardson,336580,2012
CEDAR HILL ISD,Richardson,328697,2013
CEDAR HILL ISD,Richardson,335684,2014
CEDAR HILL ISD,Richardson,334031,2015
CEDAR HILL ISD,Richardson,332369,2016
CEDAR HILL ISD,Richardson,364558,2017
CELESTE ISD,Richardson,179614,2014
CELESTE ISD,Richardson,186421,2015
CELESTE ISD,Richardson,169449,2016
CELESTE ISD,Richardson,172070,2017
CELINA ISD,Richardson,347996,2011
CELINA ISD,Richardson,331019,2012
CELINA ISD,Richardson,330339,2013
CELINA ISD,Richardson,330842,2014
CELINA ISD,Richardson,329084,2015
CELINA ISD,Richardson,328523,2016
CELINA ISD,Richardson,363462,2017
CENTER POINT ISD,San Antonio,353536,2011
CENTER POINT ISD,San Antonio,374876,2012
CENTER POINT ISD,San Antonio,372029,2013
CENTER POINT ISD,San Antonio,412654,2014
CENTER POINT ISD,San Antonio,425419,2015
CENTER POINT ISD,San Antonio,438057,2016
CENTER POINT ISD,San Antonio,445119,2017
CHANNELVIEW ISD,Houston,286616,2011
CHANNELVIEW ISD,Houston,277548,2012
CHANNELVIEW ISD,Houston,271648,2013
CHANNELVIEW ISD,Houston,282106,2014
CHANNELVIEW ISD,Houston,303255,2015
CHANNELVIEW ISD,Houston,305450,2016
CHANNELVIEW ISD,Houston,304688,2017
CHARLOTTE ISD,San Antonio,201258,2011
CHARLOTTE ISD,San Antonio,218565,2012
CHARLOTTE ISD,San Antonio,267876,2013
CHARLOTTE ISD,San Antonio,358352,2014
CHARLOTTE ISD,San Antonio,470567,2015
CHARLOTTE ISD,San Antonio,614355,2016
CHARLOTTE ISD,San Antonio,691641,2017
CHICO ISD,Fort Worth,966045,2011
CHICO ISD,Fort Worth,1012865,2012
CHICO ISD,Fort Worth,988506,2013
CHICO ISD,Fort Worth,1037629,2014
CHICO ISD,Fort Worth,1031591,2015
CHICO ISD,Fort Worth,1072409,2016
CHICO ISD,Fort Worth,1043355,2017
CLEAR CREEK ISD,Houston,421864,2011
CLEAR CREEK ISD,Houston,412053,2012
CLEAR CREEK ISD,Houston,417074,2013
CLEAR CREEK ISD,Houston,417580,2014
CLEAR CREEK ISD,Houston,427252,2015
CLEAR CREEK ISD,Houston,443525,2016
CLEAR CREEK ISD,Houston,476015,2017
CLEBURNE ISD,Fort Worth,529519,2011
CLEBURNE ISD,Fort Worth,474731,2012
CLEBURNE ISD,Fort Worth,472298,2013
CLEBURNE ISD,Fort Worth,459469,2014
CLEBURNE ISD,Fort Worth,435558,2015
CLEBURNE ISD,Fort Worth,405497,2016
CLEBURNE ISD,Fort Worth,412297,2017
CLEVELAND ISD,Houston,196567,2011
CLEVELAND ISD,Houston,206329,2012
CLEVELAND ISD,Houston,209387,2013
CLEVELAND ISD,Houston,205757,2014
CLEVELAND ISD,Houston,209924,2015
CLEVELAND ISD,Houston,212831,2016
CLEVELAND ISD,Houston,207648,2017
COLLINSVILLE ISD,Richardson,239628,2012
COLLINSVILLE ISD,Richardson,273662,2014
COLLINSVILLE ISD,Richardson,295347,2017
COLUMBIA-BRAZORIA ISD,Houston,268082,2011
COLUMBIA-BRAZORIA ISD,Houston,274793,2012
COLUMBIA-BRAZORIA ISD,Houston,270959,2013
COLUMBIA-BRAZORIA ISD,Houston,282809,2014
COLUMBIA-BRAZORIA ISD,Houston,309996,2015
COLUMBIA-BRAZORIA ISD,Houston,333626,2016
COLUMBIA-BRAZORIA ISD,Houston,321839,2017
COMAL ISD,Austin,632631,2011
COMAL ISD,Austin,601831,2012
COMAL ISD,Austin,569987,2013
COMAL ISD,Austin,565606,2014
COMAL ISD,Austin,576218,2015
COMAL ISD,Austin,607061,2016
COMAL ISD,San Antonio,639769,2017
COMFORT ISD,Austin,557849,2011
COMFORT ISD,Austin,614293,2012
COMFORT ISD,Austin,620171,2013
COMFORT ISD,Austin,633315,2014
COMFORT ISD,Austin,675651,2015
COMFORT ISD,Austin,684308,2016
COMFORT ISD,Austin,740680,2017
COMMERCE ISD,Richardson,306138,2011
COMMERCE ISD,Richardson,283828,2012
COMMERCE ISD,Richardson,287541,2013
COMMERCE ISD,Richardson,299984,2014
COMMERCE ISD,Richardson,289376,2015
