DistName,RegnName,AP-11&12 Participating Students,AP-Total Exams,AP-Passed(%),AP-Exams Taken Per Student,Year
Forney ISD,Richardson,179.0,336.0,47.9,1.8770949720670391,2012
Mabank ISD,Richardson,105.0,156.0,25.0,1.4857142857142858,2012
Boerne ISD,San Antonio,445.0,1139.0,66.9,2.559550561797753,2012
Kerrville ISD,San Antonio,132.0,288.0,62.2,2.1818181818181817,2012
Dayton ISD,Houston,38.0,66.0,40.9,1.736842105263158,2012
Liberty ISD,Houston,36.0,60.0,31.7,1.6666666666666667,2012
Tarkington ISD,Houston,28.0,59.0,47.5,2.107142857142857,2012
Greenville ISD,Richardson,45.0,60.0,30.0,1.3333333333333333,2012
Mineral Wells ISD,Fort Worth,30.0,52.0,51.9,1.7333333333333334,2012
Terrell ISD,Richardson,70.0,113.0,12.4,1.6142857142857143,2012
Eagle Pass ISD,San Antonio,300.0,480.0,45.8,1.6,2012
Pasadena ISD,Houston,1304.0,2816.0,31.1,2.1595092024539877,2012
Wimberley ISD,Austin,85.0,130.0,52.3,1.5294117647058822,2012
Cypress-Fairbanks ISD,Houston,2427.0,5342.0,65.9,2.201071281417388,2012
Weatherford ISD,Fort Worth,217.0,441.0,49.4,2.032258064516129,2012
Deer Park ISD,Houston,219.0,417.0,53.7,1.904109589041096,2012
Galena Park ISD,Houston,305.0,554.0,59.0,1.8163934426229509,2012
Houston ISD,Houston,7600.0,16479.0,32.6,2.1682894736842107,2012
Humble ISD,Houston,1261.0,2494.0,55.7,1.977795400475813,2012
Granbury ISD,Fort Worth,226.0,410.0,50.2,1.8141592920353982,2012
Katy ISD,Houston,2625.0,6978.0,76.9,2.6582857142857144,2012
La Porte ISD,Houston,151.0,293.0,41.0,1.9403973509933774,2012
Spring ISD,Houston,590.0,1160.0,25.7,1.9661016949152543,2012
Spring Branch ISD,Houston,1444.0,3718.0,64.0,2.574792243767313,2012
Tomball ISD,Houston,376.0,704.0,58.1,1.872340425531915,2012
Sheldon ISD,Houston,84.0,120.0,14.2,1.4285714285714286,2012
Huffman ISD,Houston,74.0,138.0,40.6,1.864864864864865,2012
Dripping Springs ISD,Austin,265.0,618.0,73.6,2.332075471698113,2012
Klein ISD,Houston,1034.0,2138.0,59.4,2.0676982591876207,2012
Aledo ISD,Fort Worth,254.0,533.0,67.7,2.0984251968503935,2012
Pflugerville ISD,Austin,902.0,2026.0,47.1,2.246119733924612,2012
Royse City ISD,Richardson,127.0,271.0,28.8,2.1338582677165356,2012
Lago Vista ISD,Austin,55.0,122.0,60.7,2.2181818181818183,2012
Lake Travis ISD,Austin,360.0,752.0,78.5,2.088888888888889,2012
Canton ISD,Richardson,52.0,78.0,55.1,1.5,2012
Waller ISD,Houston,102.0,231.0,25.1,2.264705882352941,2012
Georgetown ISD,Austin,237.0,503.0,64.6,2.1223628691983123,2012
Hutto ISD,Austin,123.0,242.0,45.9,1.967479674796748,2012
Liberty Hill ISD,Austin,75.0,110.0,63.6,1.4666666666666666,2012
Round Rock ISD,Austin,2003.0,4977.0,73.3,2.484772840738892,2012
Taylor ISD,Austin,38.0,78.0,46.2,2.0526315789473686,2012
Leander ISD,Austin,1434.0,2953.0,62.1,2.0592747559274756,2012
Floresville ISD,San Antonio,89.0,126.0,23.0,1.4157303370786516,2012
La Vernia ISD,San Antonio,56.0,69.0,55.1,1.2321428571428572,2012
Bridgeport ISD,Fort Worth,30.0,61.0,54.1,2.033333333333333,2012
Decatur ISD,Fort Worth,37.0,87.0,72.4,2.3513513513513513,2012
Crosby ISD,Houston,101.0,184.0,37.5,1.8217821782178218,2012
Del Valle ISD,Austin,307.0,534.0,27.0,1.739413680781759,2012
Eanes ISD,Austin,768.0,2485.0,77.1,3.2356770833333335,2012
Manor ISD,Austin,118.0,162.0,11.7,1.3728813559322033,2012
Austin ISD,Austin,2980.0,6346.0,53.9,2.129530201342282,2012
Arlington ISD,Fort Worth,1242.0,2584.0,43.4,2.080515297906602,2012
Birdville ISD,Fort Worth,944.0,2147.0,47.6,2.274364406779661,2012
Fort Worth ISD,Fort Worth,1786.0,3935.0,33.9,2.2032474804031357,2012
Grapevine-Colleyville ISD,Fort Worth,1080.0,3093.0,69.7,2.863888888888889,2012
Keller ISD,Fort Worth,1178.0,2734.0,63.1,2.32088285229202,2012
Mansfield ISD,Fort Worth,1437.0,2571.0,30.1,1.789144050104384,2012
Rockwall ISD,Richardson,733.0,1567.0,58.1,2.1377899045020463,2012
Lake Worth ISD,Fort Worth,53.0,79.0,22.8,1.490566037735849,2012
Kennedale ISD,Fort Worth,38.0,51.0,62.7,1.3421052631578947,2012
Azle ISD,Fort Worth,82.0,132.0,40.2,1.6097560975609757,2012
Hurst-Euless-Bedford ISD,Fort Worth,670.0,1095.0,54.1,1.6343283582089552,2012
Castleberry ISD,Fort Worth,86.0,154.0,12.3,1.7906976744186047,2012
Eagle Mt-Saginaw ISD,Fort Worth,531.0,1141.0,41.4,2.1487758945386064,2012
Carroll ISD,Fort Worth,526.0,1362.0,84.1,2.5893536121673004,2012
White Settlement ISD,Fort Worth,120.0,206.0,28.6,1.7166666666666666,2012
Crowley ISD,Fort Worth,290.0,528.0,46.2,1.8206896551724139,2012
Channelview ISD,Houston,257.0,478.0,25.9,1.859922178988327,2012
Giddings ISD,Austin,50.0,76.0,27.6,1.52,2012
Aldine ISD,Houston,1359.0,2344.0,18.8,1.7247976453274467,2012
Brazosport ISD,Houston,211.0,434.0,66.4,2.056872037914692,2012
Pearland ISD,Houston,689.0,1701.0,59.3,2.4687953555878086,2012
Marble Falls ISD,Austin,87.0,164.0,37.8,1.8850574712643677,2012
Lockhart ISD,Austin,111.0,183.0,39.3,1.6486486486486487,2012
Barbers Hill ISD,Houston,70.0,103.0,50.5,1.4714285714285715,2012
Allen ISD,Richardson,864.0,2005.0,65.9,2.3206018518518516,2012
Celina ISD,Richardson,82.0,138.0,59.4,1.6829268292682926,2012
Frisco ISD,Richardson,1440.0,3356.0,71.6,2.3305555555555557,2012
McKinney ISD,Richardson,1478.0,3832.0,62.8,2.5926928281461437,2012
Plano ISD,Richardson,3157.0,8627.0,79.8,2.732657586316123,2012
Prosper ISD,Richardson,264.0,547.0,63.8,2.071969696969697,2012
Wylie ISD,Richardson,312.0,619.0,58.0,1.983974358974359,2012
Lovejoy ISD,Richardson,345.0,921.0,60.9,2.6695652173913045,2012
New Braunfels ISD,Austin,285.0,792.0,54.8,2.778947368421053,2012
Angleton ISD,Houston,95.0,164.0,36.0,1.7263157894736842,2012
Alvin ISD,Houston,424.0,970.0,48.9,2.2877358490566038,2012
Blanco ISD,Austin,33.0,55.0,47.3,1.6666666666666667,2012
Southside ISD,San Antonio,111.0,193.0,25.4,1.7387387387387387,2012
Pleasanton ISD,San Antonio,58.0,89.0,20.2,1.5344827586206897,2012
Alief ISD,Houston,1564.0,3182.0,18.8,2.034526854219949,2012
Bastrop ISD,Austin,112.0,221.0,59.3,1.9732142857142858,2012
Alamo Heights ISD,San Antonio,355.0,836.0,66.3,2.3549295774647887,2012
Harlandale ISD,San Antonio,315.0,464.0,11.4,1.4730158730158731,2012
Edgewood ISD,San Antonio,240.0,422.0,8.8,1.7583333333333333,2012
Randolph Field ISD,San Antonio,69.0,131.0,55.7,1.8985507246376812,2012
Comal ISD,Austin,662.0,1399.0,41.9,2.1132930513595167,2012
San Antonio ISD,San Antonio,1478.0,2726.0,10.2,1.844384303112314,2012
North East ISD,San Antonio,3106.0,7875.0,47.5,2.535415325177077,2012
East Central ISD,San Antonio,202.0,334.0,30.8,1.6534653465346534,2012
Southwest ISD,San Antonio,83.0,83.0,12.0,1.0,2012
Lackland ISD,San Antonio,32.0,59.0,57.6,1.84375,2012
Ft Sam Houston ISD,San Antonio,59.0,115.0,40.0,1.9491525423728813,2012
Northside ISD,San Antonio,3958.0,8592.0,36.4,2.1707933299646287,2012
Judson ISD,San Antonio,308.0,541.0,39.7,1.7564935064935066,2012
South San Antonio ISD,San Antonio,71.0,113.0,15.9,1.591549295774648,2012
Carrollton-Farmers Branch ISD,Richardson,937.0,1988.0,52.6,2.1216648879402347,2012
Bandera ISD,San Antonio,54.0,87.0,36.8,1.6111111111111112,2012
Dallas ISD,Richardson,5569.0,12825.0,24.6,2.302926916861196,2012
Waxahachie ISD,Richardson,99.0,175.0,40.0,1.7676767676767677,2012
La Grange ISD,Austin,58.0,83.0,63.9,1.4310344827586208,2012
Fort Bend ISD,Houston,2607.0,6951.0,73.9,2.666283084004603,2012
Dickinson ISD,Houston,87.0,141.0,22.7,1.6206896551724137,2012
Galveston ISD,Houston,215.0,468.0,33.5,2.1767441860465118,2012
Texas City ISD,Houston,33.0,59.0,25.4,1.7878787878787878,2012
Red Oak ISD,Richardson,110.0,198.0,46.5,1.8,2012
Santa Fe ISD,Houston,79.0,106.0,36.8,1.3417721518987342,2012
Friendswood ISD,Houston,321.0,744.0,81.7,2.317757009345794,2012
Fredericksburg ISD,Austin,103.0,193.0,61.7,1.8737864077669903,2012
Denison ISD,Richardson,119.0,291.0,53.3,2.4453781512605044,2012
Sherman ISD,Richardson,167.0,363.0,51.8,2.1736526946107784,2012
Seguin ISD,Austin,176.0,218.0,18.8,1.2386363636363635,2012
Navarro ISD,Austin,44.0,66.0,50.0,1.5,2012
Cedar Hill ISD,Richardson,63.0,109.0,20.2,1.7301587301587302,2012
Clear Creek ISD,Houston,1532.0,3264.0,70.9,2.1305483028720626,2012
Midlothian ISD,Richardson,216.0,420.0,44.0,1.9444444444444444,2012
Schertz-Cibolo-U City ISD,San Antonio,578.0,1154.0,38.2,1.9965397923875432,2012
Little Elm ISD,Fort Worth,165.0,390.0,28.2,2.3636363636363638,2012
Ennis ISD,Richardson,139.0,229.0,37.6,1.6474820143884892,2012
Desoto ISD,Richardson,200.0,357.0,13.4,1.785,2012
Garland ISD,Richardson,1549.0,3196.0,40.2,2.0632666236281474,2012
Grand Prairie ISD,Richardson,707.0,1345.0,27.3,1.9024045261669025,2012
Highland Park ISD,Richardson,764.0,2368.0,66.3,3.099476439790576,2012
Irving ISD,Richardson,1037.0,2103.0,28.1,2.0279652844744454,2012
Lancaster ISD,Richardson,127.0,213.0,4.2,1.6771653543307086,2012
Duncanville ISD,Richardson,136.0,301.0,58.8,2.213235294117647,2012
Richardson ISD,Richardson,1588.0,3773.0,60.9,2.3759445843828715,2012
Coppell ISD,Richardson,623.0,1326.0,73.2,2.128410914927769,2012
Denton ISD,Fort Worth,565.0,1269.0,48.0,2.2460176991150442,2012
Lewisville ISD,Fort Worth,2014.0,4392.0,72.4,2.1807348560079443,2012
Argyle ISD,Fort Worth,89.0,202.0,62.4,2.269662921348315,2012
Northwest ISD,Fort Worth,617.0,1444.0,44.3,2.340356564019449,2012
Mesquite ISD,Richardson,746.0,1399.0,39.1,1.8753351206434317,2012
Lake Dallas ISD,Fort Worth,72.0,106.0,52.8,1.4722222222222223,2012
Huffman ISD,Houston,48.0,84.0,50.0,1.75,2013
Dripping Springs ISD,Austin,225.0,498.0,76.1,2.2133333333333334,2013
Wimberley ISD,Austin,78.0,113.0,69.9,1.4487179487179487,2013
Granbury ISD,Fort Worth,238.0,463.0,45.4,1.9453781512605042,2013
Burleson ISD,Fort Worth,386.0,844.0,35.0,2.1865284974093266,2013
Cleburne ISD,Fort Worth,99.0,193.0,35.8,1.9494949494949494,2013
Terrell ISD,Richardson,59.0,113.0,17.7,1.9152542372881356,2013
Forney ISD,Richardson,182.0,334.0,52.4,1.835164835164835,2013
Mabank ISD,Richardson,104.0,164.0,25.6,1.5769230769230769,2013
Boerne ISD,San Antonio,441.0,1203.0,68.1,2.727891156462585,2013
Kerrville ISD,San Antonio,180.0,347.0,51.6,1.9277777777777778,2013
Giddings ISD,Austin,47.0,64.0,29.7,1.3617021276595744,2013
Dayton ISD,Houston,41.0,81.0,34.6,1.975609756097561,2013
Joshua ISD,Fort Worth,36.0,56.0,64.3,1.5555555555555556,2013
Sheldon ISD,Houston,72.0,118.0,11.0,1.6388888888888888,2013
Humble ISD,Houston,1215.0,2566.0,56.2,2.111934156378601,2013
Spring Branch ISD,Houston,1559.0,4145.0,58.7,2.6587556125721616,2013
Schertz-Cibolo-U City ISD,San Antonio,631.0,1465.0,40.9,2.3217115689381935,2013
Eagle Pass ISD,San Antonio,316.0,521.0,50.3,1.6487341772151898,2013
Aldine ISD,Houston,1240.0,2191.0,17.9,1.7669354838709677,2013
Alief ISD,Houston,1232.0,2164.0,28.1,1.7564935064935066,2013
Channelview ISD,Houston,288.0,616.0,21.6,2.138888888888889,2013
Crosby ISD,Houston,84.0,170.0,43.5,2.0238095238095237,2013
Cypress-Fairbanks ISD,Houston,2620.0,5896.0,64.2,2.2503816793893128,2013
Deer Park ISD,Houston,328.0,516.0,42.8,1.5731707317073171,2013
Galena Park ISD,Houston,327.0,648.0,57.9,1.981651376146789,2013
Houston ISD,Houston,7560.0,16403.0,34.9,2.1697089947089947,2013
Katy ISD,Houston,2811.0,7635.0,74.3,2.7161152614727855,2013
Klein ISD,Houston,1055.0,2110.0,57.7,2.0,2013
La Porte ISD,Houston,151.0,312.0,43.6,2.066225165562914,2013
Pasadena ISD,Houston,1289.0,2990.0,33.4,2.3196276183087665,2013
Spring ISD,Houston,583.0,1084.0,26.5,1.8593481989708405,2013
Tomball ISD,Houston,425.0,906.0,57.3,2.131764705882353,2013
Mineral Wells ISD,Fort Worth,47.0,66.0,25.8,1.4042553191489362,2013
White Settlement ISD,Fort Worth,144.0,257.0,32.3,1.7847222222222223,2013
Aledo ISD,Fort Worth,270.0,563.0,60.6,2.085185185185185,2013
Eanes ISD,Austin,782.0,2527.0,79.9,3.231457800511509,2013
Del Valle ISD,Austin,348.0,600.0,18.5,1.7241379310344827,2013
Lago Vista ISD,Austin,61.0,123.0,65.0,2.0163934426229506,2013
Lake Travis ISD,Austin,438.0,988.0,72.3,2.2557077625570776,2013
Canton ISD,Richardson,55.0,74.0,41.9,1.3454545454545455,2013
Waller ISD,Houston,76.0,132.0,37.1,1.736842105263158,2013
Georgetown ISD,Austin,245.0,454.0,65.6,1.853061224489796,2013
Hutto ISD,Austin,103.0,200.0,41.5,1.941747572815534,2013
Liberty Hill ISD,Austin,88.0,130.0,65.4,1.4772727272727273,2013
Round Rock ISD,Austin,2014.0,5054.0,75.7,2.509433962264151,2013
