DistName,RegnName,ACT-Composite,ACT-Part_Rate,Year,AP-11&12 Participating Students,AP-Total Exams,AP-Passed(%),AP-Exams Taken Per Student,Enrolled 4-Year,Total Graduated,Enrolled 4-Year (%),SAT-Total,SAT-Part_Rate,Wealth/ADA,Graduated 4-Year,Graduated 4-Year (%)
ARGYLE ISD,Fort Worth,23.7,73.8,2017,37,68,73.5,1.837837838,49,183,26.77595628,1162,63.9,567092,,
ARLINGTON ISD,Fort Worth,21,25.2,2011,1229,2662,43.3,2.165988609,807,3611,22.34837995,985,65.2,338766,306,37.91821561
ARLINGTON ISD,Fort Worth,20.9,23.1,2012,1242,2584,43.4,2.080515298,749,3616,20.71349558,984,60.8,314773,308,41.12149533
ARLINGTON ISD,Fort Worth,20.8,23.2,2013,1320,2812,43.8,2.13030303,790,3760,21.0106383,977,58.3,316340,325,41.13924051
ARLINGTON ISD,Fort Worth,20.7,28.6,2014,1493,3126,46.3,2.093770931,790,3655,21.61422709,973,60.7,325124,341,43.16455696
ARLINGTON ISD,Fort Worth,20.1,26.6,2015,1796,3773,36.6,2.10077951,800,3762,21.26528442,949,64.1,341135,,
ARLINGTON ISD,Fort Worth,20.7,27.7,2016,2053,4623,35.3,2.251826595,829,3944,21.01926978,938,62.1,351491,,
ARLINGTON ISD,Fort Worth,20.8,26.3,2017,2476,5773,33.8,2.331583199,895,4075,21.96319018,1026,61.4,368110,,
ATHENS ISD,Richardson,19.6,47.8,2017,124,183,14.2,1.475806452,39,228,17.10526316,1029,19.3,427992,,
AUBREY ISD,Fort Worth,23.2,28.8,2015,51,65,33.8,1.274509804,26,111,23.42342342,1004,46.8,289802,,
AUBREY ISD,Fort Worth,22.6,35.1,2017,52,60,21.7,1.153846154,27,134,20.14925373,1122,44,318790,,
AUSTIN ISD,Austin,21.3,32.6,2011,3188,6933,49.1,2.174717691,855,4174,20.48394825,1015,72.8,793908,313,36.60818713
AUSTIN ISD,Austin,21.4,33.6,2012,2980,6346,53.9,2.129530201,873,4259,20.49776943,1020,65.1,751327,335,38.37342497
AUSTIN ISD,Austin,21.5,35.3,2013,3004,6244,53.1,2.078561917,858,4236,20.25495751,1025,63.7,768123,372,43.35664336
AUSTIN ISD,Austin,21.9,36.1,2014,2767.5,6749,54.6,2.438663053,898,4155,21.61251504,1026,67.5,805850,384,42.76169265
