DistName,Students Enrolled in Texas Public 4-year Universities,,Students Enrolled in Texas Public 2-year Colleges,,Students Not Located in Texas Public Higher Education,,Total High School Graduates,
185903   FRIONA ISD,15,18.1%,26,31.3%,42,50.6%,83,100.0%
043905   FRISCO ISD,689,25.5%,900,33.3%,"1,118",41.3%,"2,707",100.0%
175905   FROST ISD,*,*,*,*,8,36.4%,22,100.0%
234909   FRUITVALE ISD,*,*,*,*,11,52.4%,21,100.0%
122901   FT DAVIS ISD,*,*,*,*,11,57.9%,19,100.0%
115901   FT HANCOCK ISD,8,32.0%,6,24.0%,11,44.0%,25,100.0%
015914   FT SAM HOUSTON ISD,25,28.1%,15,16.9%,49,55.1%,89,100.0%
049901   GAINESVILLE ISD,12,7.9%,45,29.6%,95,62.5%,152,100.0%
101910   GALENA PARK ISD,203,13.0%,502,32.2%,852,54.7%,"1,557",100.0%
084902   GALVESTON ISD,87,19.7%,137,31.1%,217,49.2%,441,100.0%
120902   GANADO ISD,14,23.3%,23,38.3%,23,38.3%,60,100.0%
057909   GARLAND ISD,677,17.2%,"1,342",34.1%,"1,922",48.8%,"3,941",100.0%
174903   GARRISON ISD,9,20.0%,17,37.8%,19,42.2%,45,100.0%
183904   GARY ISD,*,*,*,*,19,63.3%,30,100.0%
050902   GATESVILLE ISD,46,24.7%,38,20.4%,102,54.8%,186,100.0%
240801   GATEWAY ACADEMY CHARTER DISTRICT,*,*,*,*,96,75.0%,128,100.0%
057831   GATEWAY CHARTER ACADEMY,*,*,*,*,25,67.6%,37,100.0%
015802   GEORGE GERVIN ACADEMY,*,*,*,*,18,78.3%,23,100.0%
101804   GEORGE I SANCHEZ CHARTER,6,6.2%,18,18.6%,73,75.3%,97,100.0%
149901   GEORGE WEST ISD,19,29.2%,17,26.2%,29,44.6%,65,100.0%
246904   GEORGETOWN ISD,201,26.1%,169,22.0%,399,51.9%,769,100.0%
161925   GHOLSON ISD,*,*,*,*,*,*,10,100.0%
144901   GIDDINGS ISD,25,14.8%,47,27.8%,97,57.4%,169,100.0%
230902   GILMER ISD,17,11.0%,61,39.4%,77,49.7%,155,100.0%
092901   GLADEWATER ISD,8,6.4%,39,31.2%,78,62.4%,125,100.0%
087901   GLASSCOCK COUNTY ISD,5,22.7%,9,40.9%,8,36.4%,22,100.0%
213901   GLEN ROSE ISD,32,32.0%,22,22.0%,46,46.0%,100,100.0%
126911   GODLEY ISD,19,17.0%,36,32.1%,57,50.9%,112,100.0%
169906   GOLD BURG ISD,*,*,*,*,8,53.3%,15,100.0%
167901   GOLDTHWAITE ISD,20,40.8%,9,18.4%,20,40.8%,49,100.0%
088902   GOLIAD ISD,19,19.4%,36,36.7%,43,43.9%,98,100.0%
089901   GONZALES ISD,26,18.8%,40,29.0%,72,52.2%,138,100.0%
187903   GOODRICH ISD,,,*,*,6,66.7%,9,100.0%
101911   GOOSE CREEK CISD,200,14.3%,503,36.0%,696,49.8%,"1,399",100.0%
182901   GORDON ISD,*,*,*,*,5,35.7%,14,100.0%
067904   GORMAN ISD,*,*,*,*,6,42.9%,14,100.0%
156905   GRADY ISD,*,*,*,*,5,23.8%,21,100.0%
182902   GRAFORD ISD,*,*,*,*,8,40.0%,20,100.0%
252901   GRAHAM ISD,41,24.9%,28,17.0%,96,58.2%,165,100.0%
111901   GRANBURY ISD,95,21.4%,118,26.6%,231,52.0%,444,100.0%
057910   GRAND PRAIRIE ISD,282,16.3%,535,30.9%,917,52.9%,"1,734",100.0%
234904   GRAND SALINE ISD,8,10.7%,21,28.0%,46,61.3%,75,100.0%
238904   GRANDFALLS-ROYALTY ISD,*,*,*,*,*,*,7,100.0%
126904   GRANDVIEW ISD,16,19.1%,36,42.9%,32,38.1%,84,100.0%
246905   GRANGER ISD,6,14.6%,15,36.6%,20,48.8%,41,100.0%
226907   GRAPE CREEK ISD,19,29.2%,5,7.7%,41,63.1%,65,100.0%
113902   GRAPELAND ISD,*,*,*,*,13,44.8%,29,100.0%
220906   GRAPEVINE-COLLEYVILLE ISD,303,27.3%,284,25.6%,522,47.1%,"1,109",100.0%
116905   GREENVILLE ISD,46,17.2%,70,26.2%,151,56.6%,267,100.0%
165902   GREENWOOD ISD,22,20.0%,48,43.6%,40,36.4%,110,100.0%
205902   GREGORY-PORTLAND ISD,81,27.6%,92,31.3%,121,41.2%,294,100.0%
147902   GROESBECK ISD,11,8.9%,28,22.8%,84,68.3%,123,100.0%
033901   GROOM ISD,*,*,*,*,*,*,11,100.0%
228901   GROVETON ISD,10,20.0%,18,36.0%,22,44.0%,50,100.0%
098901   GRUVER ISD,*,*,*,*,26,65.0%,40,100.0%
091917   GUNTER ISD,8,11.0%,32,43.8%,33,45.2%,73,100.0%
047903   GUSTINE ISD,*,*,*,*,6,42.9%,14,100.0%
135001   GUTHRIE CSD,*,*,*,*,*,*,12,100.0%
095903   HALE CENTER ISD,6,20.7%,8,27.6%,15,51.7%,29,100.0%
143901   HALLETTSVILLE ISD,15,21.1%,30,42.3%,26,36.6%,71,100.0%
102904   HALLSVILLE ISD,52,18.6%,93,33.3%,134,48.0%,279,100.0%
097902   HAMILTON ISD,15,23.4%,10,15.6%,39,60.9%,64,100.0%
127903   HAMLIN ISD,5,12.5%,6,15.0%,29,72.5%,40,100.0%
123914   HAMSHIRE-FANNETT ISD,46,33.6%,33,24.1%,58,42.3%,137,100.0%
219901   HAPPY ISD,*,*,*,*,10,55.6%,18,100.0%
146904   HARDIN ISD,13,18.3%,26,36.6%,32,45.1%,71,100.0%
100905   HARDIN-JEFFERSON ISD,60,42.0%,24,16.8%,59,41.3%,143,100.0%
015904   HARLANDALE ISD,80,8.7%,349,38.1%,486,53.1%,915,100.0%
102905   HARLETON ISD,*,*,*,*,28,62.2%,45,100.0%
031903   HARLINGEN CISD,231,20.8%,308,27.7%,573,51.5%,"1,112",100.0%
230905   HARMONY ISD,18,21.7%,19,22.9%,46,55.4%,83,100.0%
101858   HARMONY SCHOOL OF EXCELLENCE,55,40.7%,31,23.0%,49,36.3%,135,100.0%
101862   HARMONY SCHOOL OF SCIENCE - HOUSTO,49,52.7%,18,19.4%,26,28.0%,93,100.0%
071806   HARMONY SCIENCE ACAD (EL PASO),43,48.9%,11,12.5%,34,38.6%,88,100.0%
015828   HARMONY SCIENCE ACAD (SAN ANTONIO),36,45.0%,26,32.5%,18,22.5%,80,100.0%
161807   HARMONY SCIENCE ACAD (WACO),93,35.5%,69,26.3%,100,38.2%,262,100.0%
101846   HARMONY SCIENCE ACADEMY,56,38.9%,24,16.7%,64,44.4%,144,100.0%
227816   HARMONY SCIENCE ACADEMY (AUSTIN),33,29.5%,41,36.6%,38,33.9%,112,100.0%
086902   HARPER ISD,18,31.6%,16,28.1%,23,40.4%,57,100.0%
244901   HARROLD ISD,*,*,*,*,5,62.5%,8,100.0%
035902   HART ISD,*,*,*,*,8,72.7%,11,100.0%
103902   HARTLEY ISD,*,*,*,*,5,45.5%,11,100.0%
104901   HASKELL CISD,10,32.3%,9,29.0%,12,38.7%,31,100.0%
250902   HAWKINS ISD,*,*,*,*,35,70.0%,50,100.0%
127904   HAWLEY ISD,7,11.7%,10,16.7%,43,71.7%,60,100.0%
105906   HAYS CISD,214,22.0%,263,27.1%,494,50.9%,971,100.0%
198905   HEARNE ISD,*,*,*,*,41,73.2%,56,100.0%
065902   HEDLEY ISD,*,*,*,*,*,*,7,100.0%
202903   HEMPHILL ISD,11,20.0%,11,20.0%,33,60.0%,55,100.0%
237902   HEMPSTEAD ISD,10,12.2%,18,22.0%,54,65.9%,82,100.0%
201902   HENDERSON ISD,26,12.1%,78,36.3%,111,51.6%,215,100.0%
039902   HENRIETTA ISD,19,27.1%,16,22.9%,35,50.0%,70,100.0%
015833   HENRY FORD ACADEMY ALAMEDA SCHOOL,*,*,*,*,26,68.4%,38,100.0%
059901   HEREFORD ISD,43,17.7%,55,22.6%,145,59.7%,243,100.0%
208901   HERMLEIGH ISD,*,*,*,*,6,37.5%,16,100.0%
097903   HICO ISD,11,23.9%,14,30.4%,21,45.7%,46,100.0%
108905   HIDALGO ISD,78,34.8%,72,32.1%,74,33.0%,224,100.0%
148903   HIGGINS ISD,,,,,8,100.0%,8,100.0%
084903   HIGH ISLAND ISD,,,6,42.9%,8,57.1%,14,100.0%
177905   HIGHLAND ISD,*,*,*,*,9,52.9%,17,100.0%
057911   HIGHLAND PARK ISD,126,23.6%,101,18.9%,307,57.5%,534,100.0%
188903   HIGHLAND PARK ISD,14,23.0%,22,36.1%,25,41.0%,61,100.0%
109904   HILLSBORO ISD,12,11.5%,40,38.5%,52,50.0%,104,100.0%
084908   HITCHCOCK ISD,5,9.8%,17,33.3%,29,56.9%,51,100.0%
014905   HOLLAND ISD,13,18.3%,28,39.4%,30,42.3%,71,100.0%
005902   HOLLIDAY ISD,15,28.3%,15,28.3%,23,43.4%,53,100.0%
163904   HONDO ISD,37,27.2%,37,27.2%,62,45.6%,136,100.0%
074907   HONEY GROVE ISD,10,27.8%,7,19.4%,19,52.8%,36,100.0%
019902   HOOKS ISD,*,*,*,*,40,60.6%,66,100.0%
101828   HOUSTON GATEWAY ACADEMY INC,*,*,*,*,20,54.1%,37,100.0%
101821   HOUSTON HEIGHTS HIGH SCHOOL,*,*,*,*,70,88.6%,79,100.0%
101912   HOUSTON ISD,"1,924",19.8%,"1,939",19.9%,"5,877",60.3%,"9,740",100.0%
091905   HOWE ISD,18,32.7%,20,36.4%,17,30.9%,55,100.0%
109905   HUBBARD ISD,*,*,*,*,11,45.8%,24,100.0%
072908   HUCKABAY ISD,*,*,*,*,*,*,10,100.0%
003902   HUDSON ISD,36,19.1%,73,38.6%,80,42.3%,189,100.0%
101925   HUFFMAN ISD,40,18.0%,86,38.7%,96,43.2%,222,100.0%
034903   HUGHES SPRINGS ISD,9,14.1%,31,48.4%,24,37.5%,64,100.0%
146905   HULL-DAISETTA ISD,7,15.9%,15,34.1%,22,50.0%,44,100.0%
101913   HUMBLE ISD,628,23.5%,819,30.6%,"1,230",46.0%,"2,677",100.0%
003904   HUNTINGTON ISD,18,13.9%,42,32.3%,70,53.9%,130,100.0%
236902   HUNTSVILLE ISD,90,23.1%,67,17.2%,232,59.6%,389,100.0%
220916   HURST-EULESS-BEDFORD ISD,262,17.8%,390,26.6%,817,55.6%,"1,469",100.0%
246906   HUTTO ISD,95,24.8%,92,24.0%,196,51.2%,383,100.0%
152910   IDALOU ISD,15,24.6%,24,39.3%,22,36.1%,61,100.0%
108807   IDEA PUBLIC SCHOOLS,305,56.0%,109,20.0%,131,24.0%,545,100.0%
120905   INDUSTRIAL ISD,25,27.5%,42,46.2%,24,26.4%,91,100.0%
205903   INGLESIDE ISD,25,14.5%,59,34.1%,89,51.5%,173,100.0%
133904   INGRAM ISD,18,24.0%,7,9.3%,50,66.7%,75,100.0%
093903   IOLA ISD,7,16.3%,13,30.2%,23,53.5%,43,100.0%
243903   IOWA PARK CISD,26,21.5%,30,24.8%,65,53.7%,121,100.0%
208903   IRA ISD,*,*,*,*,*,*,22,100.0%
186903   IRAAN-SHEFFIELD ISD,5,11.4%,13,29.6%,26,59.1%,44,100.0%
018906   IREDELL ISD,*,*,*,*,*,*,10,100.0%
118902   IRION COUNTY ISD,*,*,*,*,10,35.7%,28,100.0%
057912   IRVING ISD,239,11.2%,596,27.9%,"1,302",60.9%,"2,137",100.0%
070907   ITALY ISD,*,*,*,*,18,52.9%,34,100.0%
109907   ITASCA ISD,5,11.4%,20,45.5%,19,43.2%,44,100.0%
119902   JACKSBORO ISD,10,16.4%,20,32.8%,31,50.8%,61,100.0%
037904   JACKSONVILLE ISD,28,11.7%,41,17.1%,171,71.3%,240,100.0%
246907   JARRELL ISD,11,16.7%,12,18.2%,43,65.2%,66,100.0%
121904   JASPER ISD,28,21.5%,41,31.5%,61,46.9%,130,100.0%
132902   JAYTON-GIRARD ISD,*,*,*,*,*,*,8,100.0%
057819   JEAN MASSIEU ACADEMY,,,*,*,*,*,*,*
155901   JEFFERSON ISD,13,19.4%,19,28.4%,35,52.2%,67,100.0%
124901   JIM HOGG COUNTY ISD,26,43.3%,13,21.7%,21,35.0%,60,100.0%
221911   JIM NED CISD,10,15.4%,21,32.3%,34,52.3%,65,100.0%
210902   JOAQUIN ISD,5,11.9%,19,45.2%,18,42.9%,42,100.0%
015808   JOHN H WOOD JR PUBLIC CHARTER DIST,,,*,*,*,*,6,100.0%
016901   JOHNSON CITY ISD,15,30.6%,16,32.7%,18,36.7%,49,100.0%
050909   JONESBORO ISD,,,5,38.5%,8,61.5%,13,100.0%
126905   JOSHUA ISD,49,15.2%,99,30.8%,174,54.0%,322,100.0%
007902   JOURDANTON ISD,29,25.4%,34,29.8%,51,44.7%,114,100.0%
015822   JUBILEE ACADEMIC CENTER,*,*,*,*,32,69.6%,46,100.0%
015916   JUDSON ISD,235,17.1%,303,22.0%,840,61.0%,"1,378",100.0%
134901   JUNCTION ISD,14,32.6%,7,16.3%,22,51.2%,43,100.0%
102901   KARNACK ISD,*,*,*,*,5,50.0%,10,100.0%
128901   KARNES CITY ISD,18,24.0%,28,37.3%,29,38.7%,75,100.0%
105801   KATHERINE ANNE PORTER SCHOOL,*,*,*,*,32,76.2%,42,100.0%
101914   KATY ISD,"1,123",24.0%,"1,234",26.4%,"2,327",49.7%,"4,684",100.0%
129903   KAUFMAN ISD,40,17.6%,69,30.4%,118,52.0%,227,100.0%
126906   KEENE ISD,*,*,*,*,42,64.6%,65,100.0%
220907   KELLER ISD,549,22.9%,753,31.4%,"1,095",45.7%,"2,397",100.0%
242905   KELTON ISD,*,*,,,,,*,*
129904   KEMP ISD,10,10.9%,33,35.9%,49,53.3%,92,100.0%
128902   KENEDY ISD,6,15.0%,14,35.0%,20,50.0%,40,100.0%
113906   KENNARD ISD,*,*,*,*,10,52.6%,19,100.0%
220914   KENNEDALE ISD,51,22.4%,76,33.3%,101,44.3%,228,100.0%
175907   KERENS ISD,*,*,*,*,21,46.7%,45,100.0%
248901   KERMIT ISD,6,7.1%,28,32.9%,51,60.0%,85,100.0%
133903   KERRVILLE ISD,58,16.9%,50,14.5%,236,68.6%,344,100.0%
092902   KILGORE ISD,22,9.2%,100,41.8%,117,49.0%,239,100.0%
014906   KILLEEN ISD,293,14.7%,587,29.5%,"1,109",55.8%,"1,989",100.0%
137901   KINGSVILLE ISD,58,29.7%,32,16.4%,105,53.9%,195,100.0%
227820   KIPP AUSTIN PUBLIC SCHOOLS INC,19,22.9%,27,32.5%,37,44.6%,83,100.0%
101813   KIPP INC CHARTER,142,45.1%,55,17.5%,118,37.5%,315,100.0%
015826   KIPP SAN ANTONIO,19,19.6%,25,25.8%,53,54.6%,97,100.0%
121905   KIRBYVILLE CISD,20,19.1%,22,21.0%,63,60.0%,105,100.0%
101915   KLEIN ISD,718,21.1%,"1,102",32.4%,"1,586",46.6%,"3,406",100.0%
058905   KLONDIKE ISD,*,*,*,*,*,*,12,100.0%
232901   KNIPPA ISD,*,*,*,*,*,*,18,100.0%
138902   KNOX CITY-O'BRIEN CISD,*,*,*,*,11,68.8%,16,100.0%
018907   KOPPERL ISD,*,*,*,*,11,73.3%,15,100.0%
100903   KOUNTZE ISD,21,28.4%,19,25.7%,34,46.0%,74,100.0%
219905   KRESS ISD,*,*,*,*,9,47.4%,19,100.0%
061905   KRUM ISD,31,22.8%,44,32.4%,61,44.9%,136,100.0%
031905   LA FERIA ISD,44,21.5%,64,31.2%,97,47.3%,205,100.0%
075902   LA GRANGE ISD,32,24.1%,50,37.6%,51,38.4%,133,100.0%
108912   LA JOYA ISD,310,18.8%,414,25.1%,925,56.1%,"1,649",100.0%
084904   LA MARQUE ISD,29,22.8%,40,31.5%,58,45.7%,127,100.0%
101916   LA PORTE ISD,67,14.9%,178,39.6%,205,45.6%,450,100.0%
254902   LA PRYOR ISD,*,*,*,*,18,72.0%,25,100.0%
161906   LA VEGA ISD,13,8.6%,58,38.4%,80,53.0%,151,100.0%
247903   LA VERNIA ISD,67,27.9%,63,26.3%,110,45.8%,240,100.0%
108914   LA VILLA ISD,10,32.3%,7,22.6%,14,45.2%,31,100.0%
015913   LACKLAND ISD,10,26.3%,10,26.3%,18,47.4%,38,100.0%
227912   LAGO VISTA ISD,29,28.2%,24,23.3%,50,48.5%,103,100.0%
061912   LAKE DALLAS ISD,80,28.5%,86,30.6%,115,40.9%,281,100.0%
227913   LAKE TRAVIS ISD,158,28.5%,128,23.1%,269,48.5%,555,100.0%
220910   LAKE WORTH ISD,20,12.9%,42,27.1%,93,60.0%,155,100.0%
079901   LAMAR CISD,404,23.9%,501,29.6%,789,46.6%,"1,694",100.0%
058906   LAMESA ISD,8,7.6%,44,41.9%,53,50.5%,105,100.0%
141901   LAMPASAS ISD,47,20.6%,52,22.8%,129,56.6%,228,100.0%
057913   LANCASTER ISD,97,26.7%,112,30.8%,155,42.6%,364,100.0%
201903   LANEVILLE ISD,*,*,*,*,10,83.3%,12,100.0%
107910   LAPOYNOR ISD,7,20.0%,10,28.6%,18,51.4%,35,100.0%
240901   LAREDO ISD,216,19.0%,356,31.3%,566,49.7%,"1,138",100.0%
245901   LASARA ISD,7,33.3%,6,28.6%,8,38.1%,21,100.0%
113905   LATEXO ISD,8,22.9%,9,25.7%,18,51.4%,35,100.0%
185904   LAZBUDDIE ISD,*,*,*,*,8,57.1%,14,100.0%
193902   LEAKEY ISD,7,33.3%,8,38.1%,6,28.6%,21,100.0%
246913   LEANDER ISD,692,30.8%,598,26.7%,954,42.5%,"2,244",100.0%
090902   LEFORS ISD,*,*,*,*,6,75.0%,8,100.0%
187906   LEGGETT ISD,*,*,*,*,8,57.1%,14,100.0%
145911   LEON ISD,8,15.4%,21,40.4%,23,44.2%,52,100.0%
074909   LEONARD ISD,24,30.8%,19,24.4%,35,44.9%,78,100.0%
110902   LEVELLAND ISD,6,3.4%,95,54.3%,74,42.3%,175,100.0%
201904   LEVERETTS CHAPEL ISD,,,9,75.0%,*,*,12,100.0%
061902   LEWISVILLE ISD,882,23.4%,"1,050",27.8%,"1,845",48.9%,"3,777",100.0%
144902   LEXINGTON ISD,10,17.2%,14,24.1%,34,58.6%,58,100.0%
246908   LIBERTY HILL ISD,62,25.8%,62,25.8%,116,48.3%,240,100.0%
146906   LIBERTY ISD,22,22.0%,28,28.0%,50,50.0%,100,100.0%
019908   LIBERTY-EYLAU ISD,20,12.7%,30,19.1%,107,68.2%,157,100.0%
057807   LIFE SCHOOL,48,31.6%,54,35.5%,50,32.9%,152,100.0%
212903   LINDALE ISD,32,13.0%,84,34.2%,130,52.9%,246,100.0%
034905   LINDEN-KILDARE CISD,*,*,*,*,31,58.5%,53,100.0%
049907   LINDSAY ISD,9,22.5%,17,42.5%,14,35.0%,40,100.0%
072909   LINGLEVILLE ISD,*,*,*,*,5,35.7%,14,100.0%
111902   LIPAN ISD,*,*,*,*,6,50.0%,12,100.0%
181908   LITTLE CYPRESS-MAURICEVILLE CISD,41,16.7%,89,36.3%,115,46.9%,245,100.0%
061914   LITTLE ELM ISD,52,16.0%,81,24.9%,193,59.2%,326,100.0%
140904   LITTLEFIELD ISD,*,*,*,*,66,65.4%,101,100.0%
187907   LIVINGSTON ISD,33,14.1%,55,23.5%,146,62.4%,234,100.0%
150901   LLANO ISD,37,31.6%,17,14.5%,63,53.9%,117,100.0%
028902   LOCKHART ISD,48,14.9%,48,14.9%,226,70.2%,322,100.0%
077902   LOCKNEY ISD,12,35.3%,12,35.3%,10,29.4%,34,100.0%
160905   LOHN ISD,*,*,*,*,*,*,10,100.0%
141902   LOMETA ISD,*,*,*,*,14,73.7%,19,100.0%
178906   LONDON ISD,*,*,*,*,8,34.8%,23,100.0%
116906   LONE OAK ISD,15,19.2%,19,24.4%,44,56.4%,78,100.0%
092903   LONGVIEW ISD,53,10.2%,132,25.5%,333,64.3%,518,100.0%
083902   LOOP ISD,,,5,62.5%,*,*,8,100.0%
168902   LORAINE ISD,*,*,*,*,*,*,10,100.0%
161907   LORENA ISD,24,18.2%,67,50.8%,41,31.1%,132,100.0%
054902   LORENZO ISD,,,,,8,100.0%,8,100.0%
031906   LOS FRESNOS CISD,198,32.6%,153,25.2%,257,42.3%,608,100.0%
241906   LOUISE ISD,5,17.2%,15,51.7%,9,31.0%,29,100.0%
043919   LOVEJOY ISD,70,27.1%,74,28.7%,114,44.2%,258,100.0%
113903   LOVELADY ISD,*,*,*,*,17,53.1%,32,100.0%
152901   LUBBOCK ISD,286,17.1%,463,27.7%,925,55.3%,"1,674",100.0%
152906   LUBBOCK-COOPER ISD,54,22.8%,80,33.8%,103,43.5%,237,100.0%
127905   LUEDERS-AVOCA ISD,,,*,*,7,63.6%,11,100.0%
003903   LUFKIN ISD,85,16.7%,171,33.5%,254,49.8%,510,100.0%
028903   LULING ISD,20,23.5%,11,12.9%,54,63.5%,85,100.0%
100907   LUMBERTON ISD,92,38.7%,46,19.3%,100,42.0%,238,100.0%
245902   LYFORD CISD,39,32.2%,31,25.6%,51,42.2%,121,100.0%
007904   LYTLE ISD,17,12.6%,39,28.9%,79,58.5%,135,100.0%
129905   MABANK ISD,25,11.3%,70,31.5%,127,57.2%,222,100.0%
154901   MADISONVILLE CISD,36,26.7%,25,18.5%,74,54.8%,135,100.0%
170906   MAGNOLIA ISD,148,18.7%,224,28.3%,421,53.1%,793,100.0%
107906   MALAKOFF ISD,9,12.7%,21,29.6%,41,57.8%,71,100.0%
227907   MANOR ISD,78,16.4%,114,23.9%,285,59.8%,477,100.0%
220908   MANSFIELD ISD,619,27.2%,795,35.0%,859,37.8%,"2,273",100.0%
022902   MARATHON ISD,*,*,*,*,*,*,*,*
027904   MARBLE FALLS ISD,68,26.0%,48,18.3%,146,55.7%,262,100.0%
189901   MARFA ISD,*,*,*,*,16,59.3%,27,100.0%
094904   MARION ISD,27,23.5%,22,19.1%,66,57.4%,115,100.0%
073903   MARLIN ISD,6,10.0%,20,33.3%,34,56.7%,60,100.0%
102902   MARSHALL ISD,31,10.3%,81,26.9%,189,62.8%,301,100.0%
161908   MART ISD,*,*,*,*,23,51.1%,45,100.0%
234905   MARTINS MILL ISD,10,33.3%,12,40.0%,8,26.7%,30,100.0%
174909   MARTINSVILLE ISD,10,30.3%,9,27.3%,14,42.4%,33,100.0%
157901   MASON ISD,16,35.6%,11,24.4%,18,40.0%,45,100.0%
205904   MATHIS ISD,10,11.4%,19,21.6%,59,67.1%,88,100.0%
019903   MAUD ISD,*,*,*,*,11,52.4%,21,100.0%
025905   MAY ISD,*,*,*,*,10,66.7%,15,100.0%
070915   MAYPEARL ISD,10,15.4%,23,35.4%,32,49.2%,65,100.0%
108906   MCALLEN ISD,465,30.3%,456,29.7%,616,40.1%,"1,537",100.0%
231901   MCCAMEY ISD,*,*,*,*,23,60.5%,38,100.0%
161909   MCGREGOR ISD,*,*,*,*,36,43.9%,82,100.0%
043907   MCKINNEY ISD,341,20.5%,542,32.7%,777,46.8%,"1,660",100.0%
090903   MCLEAN ISD,*,*,*,*,7,46.7%,15,100.0%
034906   MCLEOD ISD,,,11,45.8%,13,54.2%,24,100.0%
162904   MCMULLEN COUNTY ISD,*,*,*,*,6,37.5%,16,100.0%
223902   MEADOW ISD,*,*,*,*,12,57.1%,21,100.0%
130801   MEADOWLAND CHARTER SCHOOL,,,,,21,100.0%,21,100.0%
010901   MEDINA ISD,6,35.3%,5,29.4%,6,35.3%,17,100.0%
163908   MEDINA VALLEY ISD,48,20.6%,64,27.5%,121,51.9%,233,100.0%
043908   MELISSA ISD,18,13.7%,41,31.3%,72,55.0%,131,100.0%
096904   MEMPHIS ISD,7,20.0%,12,34.3%,16,45.7%,35,100.0%
164901   MENARD ISD,*,*,*,*,14,63.6%,22,100.0%
108907   MERCEDES ISD,76,22.6%,116,34.5%,144,42.9%,336,100.0%
018902   MERIDIAN ISD,5,16.1%,9,29.0%,17,54.8%,31,100.0%
221904   MERKEL ISD,*,*,*,*,40,63.5%,63,100.0%
057914   MESQUITE ISD,429,16.7%,746,29.1%,"1,391",54.2%,"2,566",100.0%
147903   MEXIA ISD,17,13.9%,41,33.6%,64,52.5%,122,100.0%
197902   MIAMI ISD,*,*,*,*,*,*,13,100.0%
165901   MIDLAND ISD,204,15.9%,495,38.7%,581,45.4%,"1,280",100.0%
070908   MIDLOTHIAN ISD,127,24.6%,187,36.2%,203,39.3%,517,100.0%
108804   MIDVALLEY ACADEMY CHARTER DISTRICT,*,*,*,*,90,81.8%,110,100.0%
039905   MIDWAY ISD,,,,,6,100.0%,6,100.0%
161903   MIDWAY ISD,80,15.9%,211,42.0%,211,42.0%,502,100.0%
166903   MILANO ISD,8,21.1%,17,44.7%,13,34.2%,38,100.0%
175910   MILDRED ISD,10,21.7%,15,32.6%,21,45.7%,46,100.0%
200902   MILES ISD,*,*,*,*,14,45.2%,31,100.0%
070909   MILFORD ISD,*,*,*,*,7,63.6%,11,100.0%
112907   MILLER GROVE ISD,*,*,*,*,6,42.9%,14,100.0%
184904   MILLSAP ISD,*,*,*,*,24,58.5%,41,100.0%
250903   MINEOLA ISD,17,15.3%,39,35.1%,55,49.6%,111,100.0%
182903   MINERAL WELLS ISD,28,12.9%,67,30.9%,122,56.2%,217,100.0%
108908   MISSION CISD,232,26.2%,243,27.4%,411,46.4%,886,100.0%
238902   MONAHANS-WICKETT-PYOTE ISD,35,26.1%,23,17.2%,76,56.7%,134,100.0%
108915   MONTE ALTO ISD,14,29.2%,16,33.3%,18,37.5%,48,100.0%
170903   MONTGOMERY ISD,106,23.8%,123,27.6%,216,48.5%,445,100.0%
161910   MOODY ISD,6,12.2%,18,36.7%,25,51.0%,49,100.0%
209902   MORAN ISD,*,*,*,*,7,63.6%,11,100.0%
018903   MORGAN ISD,,,*,*,6,75.0%,8,100.0%
040901   MORTON ISD,*,*,*,*,14,48.3%,29,100.0%
173901   MOTLEY COUNTY ISD,*,*,*,*,5,31.3%,16,100.0%
143902   MOULTON ISD,*,*,*,*,9,52.9%,17,100.0%
109910   MOUNT CALM ISD,*,*,*,*,8,61.5%,13,100.0%
201907   MOUNT ENTERPRISE ISD,*,*,*,*,13,56.5%,23,100.0%
225902   MOUNT PLEASANT ISD,21,5.8%,145,39.7%,199,54.5%,365,100.0%
080901   MOUNT VERNON ISD,11,10.8%,52,51.0%,39,38.2%,102,100.0%
049902   MUENSTER ISD,8,26.7%,16,53.3%,6,20.0%,30,100.0%
009901   MULESHOE ISD,16,17.2%,21,22.6%,56,60.2%,93,100.0%
167902   MULLIN ISD,*,*,*,*,125,91.2%,137,100.0%
198906   MUMFORD ISD,*,*,*,*,17,56.7%,30,100.0%
138903   MUNDAY CISD,*,*,*,*,12,57.1%,21,100.0%
174904   NACOGDOCHES ISD,87,23.9%,85,23.4%,192,52.8%,364,100.0%
163903   NATALIA ISD,6,8.1%,18,24.3%,50,67.6%,74,100.0%
094903   NAVARRO ISD,35,30.7%,18,15.8%,61,53.5%,114,100.0%
093904   NAVASOTA ISD,32,19.4%,44,26.7%,89,53.9%,165,100.0%
035903   NAZARETH ISD,*,*,*,*,,,15,100.0%
001906   NECHES ISD,6,20.7%,8,27.6%,15,51.7%,29,100.0%
123905   NEDERLAND ISD,119,33.3%,100,28.0%,138,38.7%,357,100.0%
079906   NEEDVILLE ISD,38,21.5%,76,42.9%,63,35.6%,177,100.0%
019905   NEW BOSTON ISD,9,9.0%,35,35.0%,56,56.0%,100,100.0%
046901   NEW BRAUNFELS ISD,167,26.5%,118,18.7%,345,54.8%,630,100.0%
170908   NEW CANEY ISD,82,11.9%,174,25.1%,436,63.0%,692,100.0%
152902   NEW DEAL ISD,17,33.3%,11,21.6%,23,45.1%,51,100.0%
230906   NEW DIANA ISD,18,24.7%,25,34.3%,30,41.1%,73,100.0%
