DistName,Students Enrolled in Texas Public 4-year Universities,,Students Enrolled in Texas Public 2-year Colleges,,Students Not Located in Texas Public Higher Education,,Total High School Graduates,
047901   COMANCHE ISD,23,29.9%,21,27.3%,33,42.9%,77,100.0%
130902   COMFORT ISD,24,31.2%,14,18.2%,39,50.7%,77,100.0%
116903   COMMERCE ISD,34,29.3%,34,29.3%,48,41.4%,116,100.0%
043918   COMMUNITY ISD,19,15.2%,34,27.2%,72,57.6%,125,100.0%
112908   COMO-PICKTON CISD,5,9.8%,18,35.3%,28,54.9%,51,100.0%
101842   COMQUEST ACADEMY,,,5,25.0%,15,75.0%,20,100.0%
233903   COMSTOCK ISD,*,*,*,*,*,*,10,100.0%
161921   CONNALLY ISD,16,11.0%,67,46.2%,62,42.8%,145,100.0%
170902   CONROE ISD,621,18.8%,966,29.2%,"1,718",52.0%,"3,305",100.0%
147901   COOLIDGE ISD,,,8,40.0%,12,60.0%,20,100.0%
060902   COOPER ISD,6,11.8%,20,39.2%,25,49.0%,51,100.0%
057922   COPPELL ISD,252,32.3%,193,24.7%,336,43.0%,781,100.0%
050910   COPPERAS COVE ISD,92,18.0%,146,28.6%,272,53.3%,510,100.0%
178904   CORPUS CHRISTI ISD,493,21.8%,606,26.8%,"1,161",51.4%,"2,260",100.0%
187904   CORRIGAN-CAMDEN ISD,11,18.6%,20,33.9%,28,47.5%,59,100.0%
175903   CORSICANA ISD,26,8.2%,154,48.4%,138,43.4%,318,100.0%
095902   COTTON CENTER ISD,*,*,*,*,*,*,6,100.0%
142901   COTULLA ISD,7,11.3%,20,32.3%,35,56.5%,62,100.0%
109903   COVINGTON ISD,*,*,*,*,6,46.2%,13,100.0%
129901   CRANDALL ISD,36,19.0%,67,35.3%,87,45.8%,190,100.0%
052901   CRANE ISD,12,19.7%,20,32.8%,29,47.5%,61,100.0%
018908   CRANFILLS GAP ISD,*,*,*,*,*,*,6,100.0%
161901   CRAWFORD ISD,7,15.2%,20,43.5%,19,41.3%,46,100.0%
053001   CROCKETT COUNTY CONSOLIDATED CSD,7,16.3%,11,25.6%,25,58.1%,43,100.0%
113901   CROCKETT ISD,13,15.7%,25,30.1%,45,54.2%,83,100.0%
101906   CROSBY ISD,50,14.9%,107,31.9%,178,53.1%,335,100.0%
054901   CROSBYTON CISD,*,*,*,*,14,53.9%,26,100.0%
030901   CROSS PLAINS ISD,5,23.8%,6,28.6%,10,47.6%,21,100.0%
107904   CROSS ROADS ISD,*,*,*,*,16,32.7%,49,100.0%
184801   CROSSTIMBERS ACADEMY,*,*,*,*,31,73.8%,42,100.0%
078901   CROWELL ISD,*,*,*,*,7,31.8%,22,100.0%
220912   CROWLEY ISD,195,19.6%,303,30.5%,496,49.9%,994,100.0%
254901   CRYSTAL CITY ISD,10,8.9%,57,50.4%,46,40.7%,113,100.0%
062901   CUERO ISD,21,20.4%,27,26.2%,55,53.4%,103,100.0%
055901   CULBERSON COUNTY-ALLAMOORE ISD,*,*,*,*,22,57.9%,38,100.0%
112905   CUMBY ISD,8,17.8%,15,33.3%,22,48.9%,45,100.0%
174902   CUSHING ISD,7,14.9%,18,38.3%,22,46.8%,47,100.0%
101907   CYPRESS-FAIRBANKS ISD,"1,515",21.7%,"2,339",33.5%,"3,128",44.8%,"6,982",100.0%
172902   DAINGERFIELD-LONE STAR ISD,7,8.3%,48,57.1%,29,34.5%,84,100.0%
056901   DALHART ISD,22,22.0%,25,25.0%,53,53.0%,100,100.0%
057804   DALLAS CAN ACADEMY CHARTER,*,*,*,*,705,83.1%,848,100.0%
057905   DALLAS ISD,"1,214",15.8%,"1,914",24.8%,"4,578",59.4%,"7,706",100.0%
020904   DANBURY ISD,8,15.7%,27,52.9%,16,31.4%,51,100.0%
148905   DARROUZETT ISD,,,*,*,12,80.0%,15,100.0%
058902   DAWSON ISD,*,*,*,*,*,*,8,100.0%
175904   DAWSON ISD,*,*,*,*,14,48.3%,29,100.0%
146902   DAYTON ISD,36,10.7%,99,29.5%,201,59.8%,336,100.0%
047902   DE LEON ISD,7,20.6%,13,38.2%,14,41.2%,34,100.0%
249905   DECATUR ISD,33,17.7%,69,37.1%,84,45.2%,186,100.0%
101908   DEER PARK ISD,129,15.1%,390,45.6%,336,39.3%,855,100.0%
019901   DEKALB ISD,14,24.6%,16,28.1%,27,47.4%,57,100.0%
227910   DEL VALLE ISD,74,12.1%,120,19.6%,417,68.3%,611,100.0%
115903   DELL CITY ISD,*,*,,,*,*,*,*
091903   DENISON ISD,32,11.4%,110,39.0%,140,49.7%,282,100.0%
061901   DENTON ISD,292,21.4%,328,24.1%,744,54.6%,"1,364",100.0%
251901   DENVER CITY ISD,11,12.1%,26,28.6%,54,59.3%,91,100.0%
057906   DESOTO ISD,131,23.3%,171,30.4%,261,46.4%,563,100.0%
194905   DETROIT ISD,*,*,*,*,12,36.4%,33,100.0%
163901   DEVINE ISD,25,18.7%,35,26.1%,74,55.2%,134,100.0%
176903   DEWEYVILLE ISD,5,11.1%,14,31.1%,26,57.8%,45,100.0%
163902   D'HANIS ISD,*,*,*,*,7,36.8%,19,100.0%
003905   DIBOLL ISD,17,13.2%,45,34.9%,67,51.9%,129,100.0%
084901   DICKINSON ISD,81,14.5%,200,35.9%,276,49.6%,557,100.0%
082902   DILLEY ISD,8,15.7%,6,11.8%,37,72.6%,51,100.0%
144903   DIME BOX ISD,,,*,*,5,71.4%,7,100.0%
035901   DIMMITT ISD,15,24.2%,9,14.5%,38,61.3%,62,100.0%
074904   DODD CITY ISD,*,*,*,*,9,50.0%,18,100.0%
108902   DONNA ISD,135,18.3%,174,23.6%,427,58.0%,736,100.0%
174911   DOUGLASS ISD,*,*,*,*,*,*,17,100.0%
178801   DR M L GARZA-GONZALEZ CHARTER SCHO,,,*,*,5,83.3%,6,100.0%
105904   DRIPPING SPRINGS ISD,97,30.2%,88,27.4%,136,42.4%,321,100.0%
072902   DUBLIN ISD,16,25.8%,13,21.0%,33,53.2%,62,100.0%
171901   DUMAS ISD,21,8.1%,120,46.3%,118,45.6%,259,100.0%
057907   DUNCANVILLE ISD,148,18.6%,255,32.0%,394,49.4%,797,100.0%
220918   EAGLE MT-SAGINAW ISD,194,19.4%,345,34.5%,460,46.1%,999,100.0%
159901   EAGLE PASS ISD,192,19.9%,394,40.9%,377,39.2%,963,100.0%
227909   EANES ISD,190,31.8%,109,18.3%,298,49.9%,597,100.0%
025909   EARLY ISD,21,26.9%,28,35.9%,29,37.2%,78,100.0%
241902   EAST BERNARD ISD,14,25.5%,23,41.8%,18,32.7%,55,100.0%
015911   EAST CENTRAL ISD,93,13.9%,198,29.6%,377,56.4%,668,100.0%
036903   EAST CHAMBERS ISD,16,20.3%,21,26.6%,42,53.2%,79,100.0%
092801   EAST TEXAS CHARTER SCHOOLS,,,17,23.9%,54,76.1%,71,100.0%
067903   EASTLAND ISD,13,14.3%,20,22.0%,58,63.7%,91,100.0%
068901   ECTOR COUNTY ISD,215,17.2%,437,35.0%,595,47.7%,"1,247",100.0%
074905   ECTOR ISD,*,*,*,*,7,31.8%,22,100.0%
108903   EDCOUCH-ELSA ISD,79,24.5%,82,25.5%,161,50.0%,322,100.0%
048901   EDEN CISD,*,*,*,*,12,60.0%,20,100.0%
015905   EDGEWOOD ISD,64,11.7%,133,24.2%,352,64.1%,549,100.0%
234903   EDGEWOOD ISD,7,14.0%,21,42.0%,22,44.0%,50,100.0%
108904   EDINBURG CISD,615,31.3%,436,22.2%,916,46.6%,"1,967",100.0%
120901   EDNA ISD,13,12.6%,32,31.1%,58,56.3%,103,100.0%
241903   EL CAMPO ISD,16,7.5%,81,37.9%,117,54.7%,214,100.0%
071804   EL PASO ACADEMY,11,7.9%,39,27.9%,90,64.3%,140,100.0%
071902   EL PASO ISD,"1,256",31.8%,"1,028",26.1%,"1,661",42.1%,"3,945",100.0%
243902   ELECTRA ISD,8,25.0%,7,21.9%,17,53.1%,32,100.0%
011902   ELGIN ISD,37,15.5%,67,28.0%,135,56.5%,239,100.0%
001903   ELKHART ISD,15,18.8%,26,32.5%,39,48.8%,80,100.0%
102906   ELYSIAN FIELDS ISD,9,15.8%,21,36.8%,27,47.4%,57,100.0%
070903   ENNIS ISD,49,14.2%,107,31.0%,189,54.8%,345,100.0%
049906   ERA ISD,8,24.2%,15,45.5%,10,30.3%,33,100.0%
072802   ERATH EXCELS ACADEMY INC,*,*,*,*,40,83.3%,48,100.0%
030906   EULA ISD,*,*,*,*,11,57.9%,19,100.0%
107905   EUSTACE ISD,11,13.3%,28,33.7%,44,53.0%,83,100.0%
121906   EVADALE ISD,8,26.7%,14,46.7%,8,26.7%,30,100.0%
050901   EVANT ISD,*,*,*,*,12,75.0%,16,100.0%
220904   EVERMAN ISD,50,18.2%,64,23.3%,161,58.6%,275,100.0%
057834   EVOLUTION ACADEMY CHARTER SCHOOL,*,*,*,*,118,85.5%,138,100.0%
101811   EXCEL ACADEMY,,,,,*,*,*,*
071903   FABENS ISD,34,19.3%,58,33.0%,84,47.7%,176,100.0%
081902   FAIRFIELD ISD,30,25.4%,45,38.1%,43,36.4%,118,100.0%
