DistName,Students Enrolled in Texas Public 4-year Universities,,Students Enrolled in Texas Public 2-year Colleges,,Students Not Located in Texas Public Higher Education,,Total High School Graduates,
173901   MOTLEY COUNTY ISD,*,*,*,*,*,*,11,100.0%
143902   MOULTON ISD,*,*,*,*,6,37.5%,16,100.0%
109910   MOUNT CALM ISD,,,5,62.5%,*,*,8,100.0%
201907   MOUNT ENTERPRISE ISD,,,18,56.3%,14,43.8%,32,100.0%
225902   MOUNT PLEASANT ISD,14,4.4%,148,46.8%,154,48.7%,316,100.0%
080901   MOUNT VERNON ISD,10,10.6%,41,43.6%,43,45.7%,94,100.0%
049902   MUENSTER ISD,12,35.3%,14,41.2%,8,23.5%,34,100.0%
009901   MULESHOE ISD,19,21.8%,16,18.4%,52,59.8%,87,100.0%
167902   MULLIN ISD,*,*,*,*,*,*,8,100.0%
198906   MUMFORD ISD,7,21.2%,12,36.4%,14,42.4%,33,100.0%
138903   MUNDAY CISD,7,20.6%,12,35.3%,15,44.1%,34,100.0%
174904   NACOGDOCHES ISD,89,24.5%,90,24.7%,185,50.8%,364,100.0%
163903   NATALIA ISD,*,*,*,*,30,48.4%,62,100.0%
094903   NAVARRO ISD,43,39.1%,27,24.6%,40,36.4%,110,100.0%
093904   NAVASOTA ISD,26,15.6%,42,25.2%,99,59.3%,167,100.0%
035903   NAZARETH ISD,*,*,*,*,*,*,19,100.0%
001906   NECHES ISD,*,*,*,*,11,57.9%,19,100.0%
123905   NEDERLAND ISD,117,35.7%,92,28.1%,119,36.3%,328,100.0%
079906   NEEDVILLE ISD,38,21.8%,78,44.8%,58,33.3%,174,100.0%
019905   NEW BOSTON ISD,13,18.1%,19,26.4%,40,55.6%,72,100.0%
046901   NEW BRAUNFELS ISD,133,24.0%,102,18.4%,320,57.7%,555,100.0%
170908   NEW CANEY ISD,74,11.8%,173,27.5%,383,60.8%,630,100.0%
152902   NEW DEAL ISD,10,20.8%,16,33.3%,22,45.8%,48,100.0%
230906   NEW DIANA ISD,13,17.8%,36,49.3%,24,32.9%,73,100.0%
153905   NEW HOME ISD,*,*,*,*,7,46.7%,15,100.0%
037908   NEW SUMMERFIELD ISD,,,13,35.1%,24,64.9%,37,100.0%
236901   NEW WAVERLY ISD,14,25.0%,13,23.2%,29,51.8%,56,100.0%
252902   NEWCASTLE ISD,*,*,,,*,*,7,100.0%
176902   NEWTON ISD,15,21.7%,19,27.5%,35,50.7%,69,100.0%
089903   NIXON-SMILEY CISD,9,20.0%,11,24.4%,25,55.6%,45,100.0%
169902   NOCONA ISD,15,32.6%,11,23.9%,20,43.5%,46,100.0%
062902   NORDHEIM ISD,,,*,*,*,*,5,100.0%
145906   NORMANGEE ISD,8,22.2%,12,33.3%,16,44.4%,36,100.0%
015910   NORTH EAST ISD,"1,096",23.7%,"1,240",26.8%,"2,298",49.6%,"4,634",100.0%
101909   NORTH FOREST ISD,39,15.5%,42,16.7%,170,67.7%,251,100.0%
112906   NORTH HOPKINS ISD,6,19.4%,11,35.5%,14,45.2%,31,100.0%
139911   NORTH LAMAR ISD,18,8.2%,133,60.5%,69,31.4%,220,100.0%
154903   NORTH ZULCH ISD,*,*,*,*,6,50.0%,12,100.0%
015915   NORTHSIDE ISD,"1,185",19.6%,"1,890",31.3%,"2,963",49.1%,"6,038",100.0%
244905   NORTHSIDE ISD,*,*,*,*,7,41.2%,17,100.0%
061911   NORTHWEST ISD,222,23.0%,267,27.7%,475,49.3%,964,100.0%
069902   NUECES CANYON CISD,*,*,*,*,18,62.1%,29,100.0%
227804   NYOS CHARTER SCHOOL,9,34.6%,6,23.1%,11,42.3%,26,100.0%
145907   OAKWOOD ISD,*,*,*,*,6,35.3%,17,100.0%
205905   ODEM-EDROY ISD,21,29.2%,19,26.4%,32,44.4%,72,100.0%
153903   O'DONNELL ISD,*,*,*,*,8,72.7%,11,100.0%
050904   OGLESBY ISD,,,8,66.7%,*,*,12,100.0%
252903   OLNEY ISD,7,19.4%,12,33.3%,17,47.2%,36,100.0%
140905   OLTON ISD,8,19.1%,12,28.6%,22,52.4%,42,100.0%
187910   ONALASKA ISD,*,*,*,*,33,70.2%,47,100.0%
125903   ORANGE GROVE ISD,28,20.6%,38,27.9%,70,51.5%,136,100.0%
181905   ORANGEFIELD ISD,34,30.1%,41,36.3%,38,33.6%,113,100.0%
230903   ORE CITY ISD,*,*,*,*,25,58.1%,43,100.0%
014804   ORENDA CHARTER SCHOOL,6,11.1%,17,31.5%,31,57.4%,54,100.0%
201908   OVERTON ISD,8,21.6%,11,29.7%,18,48.7%,37,100.0%
051901   PADUCAH ISD,*,*,*,*,6,37.5%,16,100.0%
104907   PAINT CREEK ISD,*,*,*,*,*,*,9,100.0%
048903   PAINT ROCK ISD,*,*,*,*,13,76.5%,17,100.0%
158905   PALACIOS ISD,23,21.1%,37,33.9%,49,45.0%,109,100.0%
001907   PALESTINE ISD,23,11.5%,62,31.0%,115,57.5%,200,100.0%
070910   PALMER ISD,14,18.7%,33,44.0%,28,37.3%,75,100.0%
090904   PAMPA ISD,39,18.2%,59,27.6%,116,54.2%,214,100.0%
033902   PANHANDLE ISD,12,27.3%,11,25.0%,21,47.7%,44,100.0%
183801   PANOLA CHARTER SCHOOL,*,*,*,*,15,46.9%,32,100.0%
042905   PANTHER CREEK CISD,*,*,*,*,6,54.6%,11,100.0%
249906   PARADISE ISD,19,22.1%,20,23.3%,47,54.7%,86,100.0%
139909   PARIS ISD,22,12.9%,86,50.3%,63,36.8%,171,100.0%
101917   PASADENA ISD,343,11.4%,"1,214",40.5%,"1,440",48.1%,"2,997",100.0%
071803   PASO DEL NORTE ACADEMY CHARTER DIS,*,*,*,*,77,74.0%,104,100.0%
063906   PATTON SPRINGS ISD,*,*,*,*,*,*,*,*
020908   PEARLAND ISD,282,21.3%,497,37.5%,548,41.3%,"1,327",100.0%
082903   PEARSALL ISD,15,12.0%,22,17.6%,88,70.4%,125,100.0%
184908   PEASTER ISD,10,13.3%,34,45.3%,31,41.3%,75,100.0%
195901   PECOS-BARSTOW-TOYAH ISD,23,17.6%,19,14.5%,89,67.9%,131,100.0%
057802   PEGASUS SCHOOL OF LIBERAL ARTS AND,5,20.0%,14,56.0%,6,24.0%,25,100.0%
109914   PENELOPE ISD,*,*,*,*,6,42.9%,14,100.0%
119903   PERRIN-WHITT CISD,5,19.2%,10,38.5%,11,42.3%,26,100.0%
179901   PERRYTON ISD,14,10.0%,24,17.1%,102,72.9%,140,100.0%
095904   PETERSBURG ISD,*,*,,,16,84.2%,19,100.0%
039903   PETROLIA ISD,11,42.3%,7,26.9%,8,30.8%,26,100.0%
013903   PETTUS ISD,6,22.2%,11,40.7%,10,37.0%,27,100.0%
172905   PEWITT CISD,11,17.5%,24,38.1%,28,44.4%,63,100.0%
227904   PFLUGERVILLE ISD,388,26.4%,379,25.8%,704,47.9%,"1,471",100.0%
108909   PHARR-SAN JUAN-ALAMO ISD,462,23.9%,482,24.9%,990,51.2%,"1,934",100.0%
116801   PHOENIX CHARTER SCHOOL,*,*,*,*,8,53.3%,15,100.0%
061903   PILOT POINT ISD,24,23.1%,30,28.9%,50,48.1%,104,100.0%
092904   PINE TREE ISD,39,11.9%,117,35.8%,171,52.3%,327,100.0%
003801   PINEYWOODS COMMUNITY ACADEMY,*,*,*,*,8,40.0%,20,100.0%
032902   PITTSBURG ISD,16,9.3%,80,46.5%,76,44.2%,172,100.0%
251902   PLAINS ISD,*,*,*,*,9,33.3%,27,100.0%
095905   PLAINVIEW ISD,29,9.2%,59,18.7%,227,72.1%,315,100.0%
043910   PLANO ISD,916,24.1%,"1,039",27.3%,"1,847",48.6%,"3,802",100.0%
019912   PLEASANT GROVE ISD,37,23.7%,31,19.9%,88,56.4%,156,100.0%
007905   PLEASANTON ISD,25,11.5%,60,27.5%,133,61.0%,218,100.0%
117904   PLEMONS-STINNETT-PHILLIPS CISD,8,19.1%,17,40.5%,17,40.5%,42,100.0%
031909   POINT ISABEL ISD,34,23.8%,16,11.2%,93,65.0%,143,100.0%
061906   PONDER ISD,23,25.0%,30,32.6%,39,42.4%,92,100.0%
184901   POOLVILLE ISD,5,15.2%,12,36.4%,16,48.5%,33,100.0%
015801   POR VIDA ACADEMY,*,*,*,*,72,75.8%,95,100.0%
178908   PORT ARANSAS ISD,14,28.0%,10,20.0%,26,52.0%,50,100.0%
123907   PORT ARTHUR ISD,61,14.3%,120,28.0%,247,57.7%,428,100.0%
123908   PORT NECHES-GROVES ISD,103,32.6%,87,27.5%,126,39.9%,316,100.0%
015814   POSITIVE SOLUTIONS CHARTER SCHOOL,,,*,*,34,91.9%,37,100.0%
085902   POST ISD,6,13.3%,13,28.9%,26,57.8%,45,100.0%
007906   POTEET ISD,12,11.7%,32,31.1%,59,57.3%,103,100.0%
247904   POTH ISD,19,30.2%,15,23.8%,29,46.0%,63,100.0%
091913   POTTSBORO ISD,13,16.1%,41,50.6%,27,33.3%,81,100.0%
028906   PRAIRIE LEA ISD,*,*,*,*,5,41.7%,12,100.0%
169909   PRAIRIE VALLEY ISD,*,*,*,*,5,50.0%,10,100.0%
139912   PRAIRILAND ISD,5,5.6%,45,50.0%,40,44.4%,90,100.0%
072801   PREMIER HIGH SCHOOLS,56,5.3%,280,26.6%,715,68.0%,"1,051",100.0%
084805   PREMIER LEARNING ACADEMY,*,*,,,9,90.0%,10,100.0%
125905   PREMONT ISD,7,18.9%,8,21.6%,22,59.5%,37,100.0%
189902   PRESIDIO ISD,36,37.5%,13,13.5%,47,49.0%,96,100.0%
167904   PRIDDY ISD,*,*,*,*,*,*,9,100.0%
220818   PRIME PREP ACADEMY,*,*,*,*,9,60.0%,15,100.0%
043911   PRINCETON ISD,24,11.5%,53,25.4%,132,63.2%,209,100.0%
014803   PRIORITY CHARTER SCHOOLS,*,*,*,*,10,66.7%,15,100.0%
108910   PROGRESO ISD,22,19.3%,33,29.0%,59,51.8%,114,100.0%
043912   PROSPER ISD,56,20.1%,98,35.3%,124,44.6%,278,100.0%
099903   QUANAH ISD,9,30.0%,9,30.0%,12,40.0%,30,100.0%
034907   QUEEN CITY ISD,14,16.5%,15,17.7%,56,65.9%,85,100.0%
116908   QUINLAN ISD,19,13.2%,37,25.7%,88,61.1%,144,100.0%
250904   QUITMAN ISD,19,20.4%,22,23.7%,52,55.9%,93,100.0%
015815   RADIANCE ACADEMY OF LEARNING,*,*,*,*,6,31.6%,19,100.0%
190903   RAINS ISD,13,12.6%,42,40.8%,48,46.6%,103,100.0%
054903   RALLS ISD,5,15.2%,11,33.3%,17,51.5%,33,100.0%
234801   RANCH ACADEMY,*,*,*,*,16,72.7%,22,100.0%
015906   RANDOLPH FIELD ISD,27,32.1%,19,22.6%,38,45.2%,84,100.0%
067907   RANGER ISD,*,*,*,*,10,55.6%,18,100.0%
231902   RANKIN ISD,6,30.0%,5,25.0%,9,45.0%,20,100.0%
161802   RAPOPORT ACADEMY PUBLIC SCHOOL,*,*,*,*,7,33.3%,21,100.0%
101806   RAUL YZAGUIRRE SCHOOL FOR SUCCESS,*,*,*,*,32,56.1%,57,100.0%
236801   RAVEN SCHOOL,*,*,*,*,9,75.0%,12,100.0%
245903   RAYMONDVILLE ISD,18,15.0%,35,29.2%,67,55.8%,120,100.0%
192901   REAGAN COUNTY ISD,12,30.8%,7,18.0%,20,51.3%,39,100.0%
070911   RED OAK ISD,99,21.3%,167,35.9%,199,42.8%,465,100.0%
019906   REDWATER ISD,7,7.1%,41,41.4%,51,51.5%,99,100.0%
196903   REFUGIO ISD,8,15.4%,23,44.2%,21,40.4%,52,100.0%
045903   RICE CISD,13,14.0%,35,37.6%,45,48.4%,93,100.0%
175911   RICE ISD,6,13.3%,17,37.8%,22,48.9%,45,100.0%
188801   RICHARD MILBURN ACADEMY (AMARILLO),*,*,*,*,44,77.2%,57,100.0%
068801   RICHARD MILBURN ACADEMY (ECTOR COU,*,*,*,*,188,83.2%,226,100.0%
220812   RICHARD MILBURN ACADEMY (FORT WORT,*,*,*,*,36,87.8%,41,100.0%
101854   RICHARD MILBURN ACADEMY (SUBURBAN,*,*,*,*,34,73.9%,46,100.0%
014801   RICHARD MILBURN ALTER HIGH SCHOOL,,,*,*,60,95.2%,63,100.0%
178804   RICHARD MILBURN ALTER HIGH SCHOOL,*,*,*,*,66,70.2%,94,100.0%
093905   RICHARDS ISD,*,*,*,*,6,75.0%,8,100.0%
057916   RICHARDSON ISD,457,22.6%,602,29.7%,966,47.7%,"2,025",100.0%
057840   RICHLAND COLLEGIATE HIGH SCHOOL,103,54.2%,36,19.0%,51,26.8%,190,100.0%
206902   RICHLAND SPRINGS ISD,*,*,*,*,12,75.0%,16,100.0%
161912   RIESEL ISD,5,11.4%,22,50.0%,17,38.6%,44,100.0%
214901   RIO GRANDE CITY CISD,152,21.4%,223,31.4%,335,47.2%,710,100.0%
031911   RIO HONDO ISD,20,15.3%,44,33.6%,67,51.2%,131,100.0%
126907   RIO VISTA ISD,8,17.0%,19,40.4%,20,42.6%,47,100.0%
067908   RISING STAR ISD,*,*,*,*,6,54.6%,11,100.0%
188902   RIVER ROAD ISD,10,11.5%,36,41.4%,41,47.1%,87,100.0%
194903   RIVERCREST ISD,8,17.0%,28,59.6%,11,23.4%,47,100.0%
137903   RIVIERA ISD,25,43.9%,9,15.8%,23,40.4%,57,100.0%
041902   ROBERT LEE ISD,5,29.4%,5,29.4%,7,41.2%,17,100.0%
161922   ROBINSON ISD,25,16.2%,80,52.0%,49,31.8%,154,100.0%
178909   ROBSTOWN ISD,34,20.2%,27,16.1%,107,63.7%,168,100.0%
076903   ROBY CISD,*,*,*,*,12,60.0%,20,100.0%
160904   ROCHELLE ISD,*,*,*,*,11,57.9%,19,100.0%
166904   ROCKDALE ISD,11,13.8%,35,43.8%,34,42.5%,80,100.0%
069901   ROCKSPRINGS ISD,*,*,*,*,12,57.1%,21,100.0%
199901   ROCKWALL ISD,244,25.6%,315,33.0%,396,41.5%,955,100.0%
014907   ROGERS ISD,14,21.5%,24,36.9%,27,41.5%,65,100.0%
214903   ROMA ISD,112,31.2%,133,37.1%,114,31.8%,359,100.0%
152908   ROOSEVELT ISD,7,11.5%,18,29.5%,36,59.0%,61,100.0%
110905   ROPES ISD,5,18.5%,11,40.7%,11,40.7%,27,100.0%
177901   ROSCOE COLLEGIATE ISD,*,*,*,*,9,32.1%,28,100.0%
073905   ROSEBUD-LOTT ISD,9,14.8%,23,37.7%,29,47.5%,61,100.0%
076904   ROTAN ISD,10,30.3%,9,27.3%,14,42.4%,33,100.0%
246909   ROUND ROCK ISD,802,27.5%,805,27.6%,"1,314",45.0%,"2,921",100.0%
075908   ROUND TOP-CARMINE ISD,*,*,*,*,7,46.7%,15,100.0%
139908   ROXTON ISD,*,*,*,*,8,32.0%,25,100.0%
237905   ROYAL ISD,17,15.2%,24,21.4%,71,63.4%,112,100.0%
199902   ROYSE CITY ISD,39,13.1%,95,31.9%,164,55.0%,298,100.0%
104903   RULE ISD,,,*,*,*,*,6,100.0%
128903   RUNGE ISD,*,*,*,*,14,58.3%,24,100.0%
037907   RUSK ISD,11,8.7%,35,27.6%,81,63.8%,127,100.0%
091914   S AND S CISD,10,16.4%,15,24.6%,36,59.0%,61,100.0%
232902   SABINAL ISD,10,35.7%,11,39.3%,7,25.0%,28,100.0%
092906   SABINE ISD,6,7.9%,36,47.4%,34,44.7%,76,100.0%
123913   SABINE PASS ISD,10,35.7%,8,28.6%,10,35.7%,28,100.0%
169911   SAINT JO ISD,,,*,*,11,73.3%,15,100.0%
014908   SALADO ISD,27,23.3%,33,28.5%,56,48.3%,116,100.0%
112909   SALTILLO ISD,*,*,*,*,7,31.8%,22,100.0%
074917   SAM RAYBURN ISD,7,17.1%,13,31.7%,21,51.2%,41,100.0%
226903   SAN ANGELO ISD,242,27.9%,130,15.0%,497,57.2%,869,100.0%
015817   SAN ANTONIO CAN HIGH SCHOOL,,,10,10.0%,90,90.0%,100,100.0%
015907   SAN ANTONIO ISD,345,12.8%,760,28.2%,"1,588",59.0%,"2,693",100.0%
015820   SAN ANTONIO SCHOOL FOR INQUIRY & C,*,*,*,*,24,88.9%,27,100.0%
015823   SAN ANTONIO TECHNOLOGY ACADEMY,,,5,17.2%,24,82.8%,29,100.0%
203901   SAN AUGUSTINE ISD,11,20.0%,15,27.3%,29,52.7%,55,100.0%
031912   SAN BENITO CISD,133,20.3%,194,29.6%,328,50.1%,655,100.0%
066902   SAN DIEGO ISD,15,17.2%,30,34.5%,42,48.3%,87,100.0%
071904   SAN ELIZARIO ISD,24,9.8%,88,35.9%,133,54.3%,245,100.0%
233901   SAN FELIPE-DEL RIO CISD,126,19.7%,211,33.0%,302,47.3%,639,100.0%
214902   SAN ISIDRO ISD,7,35.0%,9,45.0%,*,*,20,100.0%
105902   SAN MARCOS CISD,120,24.7%,64,13.2%,301,62.1%,485,100.0%
245904   SAN PERLITA ISD,*,*,*,*,11,55.0%,20,100.0%
206901   SAN SABA ISD,16,30.2%,8,15.1%,29,54.7%,53,100.0%
058909   SANDS CISD,*,*,*,*,7,53.9%,13,100.0%
117903   SANFORD-FRITCH ISD,*,*,*,*,32,62.8%,51,100.0%
061908   SANGER ISD,15,9.2%,51,31.1%,98,59.8%,164,100.0%
042903   SANTA ANNA ISD,*,*,*,*,9,45.0%,20,100.0%
084909   SANTA FE ISD,42,13.8%,121,39.8%,141,46.4%,304,100.0%
137904   SANTA GERTRUDIS ISD,28,50.0%,11,19.6%,17,30.4%,56,100.0%
031913   SANTA MARIA ISD,6,17.1%,6,17.1%,23,65.7%,35,100.0%
031914   SANTA ROSA ISD,18,19.0%,27,28.4%,50,52.6%,95,100.0%
182904   SANTO ISD,8,17.4%,18,39.1%,20,43.5%,46,100.0%
074911   SAVOY ISD,*,*,*,*,9,45.0%,20,100.0%
094902   SCHERTZ-CIBOLO-U CITY ISD,213,20.9%,255,25.0%,552,54.1%,"1,020",100.0%
207901   SCHLEICHER ISD,15,33.3%,9,20.0%,21,46.7%,45,100.0%
015806   SCHOOL OF EXCELLENCE IN EDUCATION,*,*,*,*,27,65.9%,41,100.0%
015827   SCHOOL OF SCIENCE AND TECHNOLOGY,14,31.8%,5,11.4%,25,56.8%,44,100.0%
075903   SCHULENBURG ISD,8,17.4%,15,32.6%,23,50.0%,46,100.0%
129910   SCURRY-ROSSER ISD,7,11.7%,26,43.3%,27,45.0%,60,100.0%
083901   SEAGRAVES ISD,*,*,*,*,28,73.7%,38,100.0%
008902   SEALY ISD,41,20.8%,51,25.9%,105,53.3%,197,100.0%
094901   SEGUIN ISD,82,17.4%,70,14.8%,320,67.8%,472,100.0%
083903   SEMINOLE ISD,15,10.1%,26,17.5%,108,72.5%,149,100.0%
012901   SEYMOUR ISD,6,16.7%,12,33.3%,18,50.0%,36,100.0%
152909   SHALLOWATER ISD,24,22.4%,38,35.5%,45,42.1%,107,100.0%
242902   SHAMROCK ISD,*,*,*,*,11,55.0%,20,100.0%
108911   SHARYLAND ISD,234,32.6%,206,28.7%,279,38.8%,719,100.0%
015819   SHEKINAH RADIANCE ACADEMY,*,*,*,*,13,65.0%,20,100.0%
210903   SHELBYVILLE ISD,10,23.8%,16,38.1%,16,38.1%,42,100.0%
101924   SHELDON ISD,44,11.6%,131,34.7%,203,53.7%,378,100.0%
204904   SHEPHERD ISD,16,13.9%,27,23.5%,72,62.6%,115,100.0%
091906   SHERMAN ISD,49,14.4%,115,33.8%,176,51.8%,340,100.0%
143903   SHINER ISD,15,34.1%,13,29.6%,16,36.4%,44,100.0%
047905   SIDNEY ISD,*,*,*,*,*,*,9,100.0%
115902   SIERRA BLANCA ISD,*,*,*,*,9,60.0%,15,100.0%
100904   SILSBEE ISD,43,25.0%,27,15.7%,102,59.3%,172,100.0%
023902   SILVERTON ISD,5,35.7%,6,42.9%,*,*,14,100.0%
019909   SIMMS ISD,*,*,*,*,20,52.6%,38,100.0%
205906   SINTON ISD,32,22.7%,26,18.4%,83,58.9%,141,100.0%
013905   SKIDMORE-TYNAN ISD,13,18.6%,24,34.3%,33,47.1%,70,100.0%
152903   SLATON ISD,5,6.6%,12,15.8%,59,77.6%,76,100.0%
249908   SLIDELL ISD,*,*,*,*,12,50.0%,24,100.0%
001909   SLOCUM ISD,*,*,*,*,14,56.0%,25,100.0%
011904   SMITHVILLE ISD,29,18.2%,36,22.6%,94,59.1%,159,100.0%
110906   SMYER ISD,5,25.0%,6,30.0%,9,45.0%,20,100.0%
026903   SNOOK ISD,*,*,*,*,13,41.9%,31,100.0%
208902   SNYDER ISD,14,8.5%,71,43.0%,80,48.5%,165,100.0%
071909   SOCORRO ISD,761,25.4%,"1,013",33.8%,"1,226",40.9%,"3,000",100.0%
015909   SOMERSET ISD,23,11.0%,58,27.6%,129,61.4%,210,100.0%
026902   SOMERVILLE ISD,*,*,*,*,24,61.5%,39,100.0%
218901   SONORA ISD,20,34.5%,16,27.6%,22,37.9%,58,100.0%
152803   SOUTH PLAINS ACADEMY CHARTER DISTR,,,15,17.9%,69,82.1%,84,100.0%
015908   SOUTH SAN ANTONIO ISD,44,10.2%,158,36.7%,229,53.1%,431,100.0%
031916   SOUTH TEXAS ISD,354,62.2%,79,13.9%,136,23.9%,569,100.0%
085903   SOUTHLAND ISD,*,*,*,*,*,*,5,100.0%
015917   SOUTHSIDE ISD,31,10.8%,84,29.3%,172,59.9%,287,100.0%
015912   SOUTHWEST ISD,45,6.3%,241,33.5%,433,60.2%,719,100.0%
015807   SOUTHWEST PREPARATORY SCHOOL,*,*,*,*,83,78.3%,106,100.0%
101838   SOUTHWEST SCHOOL,13,12.6%,35,34.0%,55,53.4%,103,100.0%
098904   SPEARMAN ISD,12,24.0%,18,36.0%,20,40.0%,50,100.0%
170907   SPLENDORA ISD,27,12.3%,56,25.5%,137,62.3%,220,100.0%
101920   SPRING BRANCH ISD,479,23.8%,376,18.7%,"1,156",57.5%,"2,011",100.0%
092907   SPRING HILL ISD,17,17.9%,40,42.1%,38,40.0%,95,100.0%
101919   SPRING ISD,389,19.3%,708,35.1%,922,45.7%,"2,019",100.0%
140907   SPRINGLAKE-EARTH ISD,9,30.0%,8,26.7%,13,43.3%,30,100.0%
184902   SPRINGTOWN ISD,22,10.2%,80,37.2%,113,52.6%,215,100.0%
063903   SPUR ISD,,,5,41.7%,7,58.3%,12,100.0%
229905   SPURGER ISD,*,*,*,*,12,54.6%,22,100.0%
079910   STAFFORD MSD,57,27.3%,51,24.4%,101,48.3%,209,100.0%
127906   STAMFORD ISD,15,26.3%,11,19.3%,31,54.4%,57,100.0%
156902   STANTON ISD,11,22.9%,16,33.3%,21,43.8%,48,100.0%
167903   STAR ISD,,,*,*,7,87.5%,8,100.0%
072903   STEPHENVILLE,87,39.6%,46,20.9%,87,39.6%,220,100.0%
216901   STERLING CITY ISD,*,*,*,*,*,*,15,100.0%
247906   STOCKDALE ISD,18,29.5%,11,18.0%,32,52.5%,61,100.0%
211902   STRATFORD ISD,*,*,*,*,23,65.7%,35,100.0%
182905   STRAWN ISD,*,*,*,*,6,60.0%,10,100.0%
140908   SUDAN ISD,*,*,*,*,10,32.3%,31,100.0%
112910   SULPHUR BLUFF ISD,*,*,*,*,8,44.4%,18,100.0%
112901   SULPHUR SPRINGS ISD,51,21.5%,85,35.9%,101,42.6%,237,100.0%
110907   SUNDOWN ISD,7,14.6%,26,54.2%,15,31.3%,48,100.0%
057919   SUNNYVALE ISD,41,48.2%,22,25.9%,22,25.9%,85,100.0%
171902   SUNRAY ISD,*,*,*,*,13,38.2%,34,100.0%
020906   SWEENY ISD,24,16.7%,51,35.4%,69,47.9%,144,100.0%
177902   SWEETWATER ISD,27,22.1%,32,26.2%,63,51.6%,122,100.0%
205907   TAFT ISD,6,8.7%,18,26.1%,45,65.2%,69,100.0%
153904   TAHOKA ISD,*,*,*,*,13,44.8%,29,100.0%
146907   TARKINGTON ISD,16,11.4%,46,32.9%,78,55.7%,140,100.0%
201910   TATUM ISD,7,7.6%,34,37.0%,51,55.4%,92,100.0%
246911   TAYLOR ISD,38,17.5%,54,24.9%,125,57.6%,217,100.0%
081904   TEAGUE ISD,7,9.5%,30,40.5%,37,50.0%,74,100.0%
123803   TEKOA ACADEMY OF ACCELERATED STUDI,*,*,*,*,17,85.0%,20,100.0%
014909   TEMPLE ISD,68,13.2%,157,30.4%,291,56.4%,516,100.0%
210904   TENAHA ISD,*,*,*,*,12,52.2%,23,100.0%
022004   TERLINGUA CSD,*,*,,,*,*,7,100.0%
222901   TERRELL COUNTY ISD,*,*,,,*,*,5,100.0%
129906   TERRELL ISD,16,7.1%,50,22.3%,158,70.5%,224,100.0%
019907   TEXARKANA ISD,55,12.6%,112,25.7%,269,61.7%,436,100.0%
084906   TEXAS CITY ISD,36,9.9%,143,39.3%,185,50.8%,364,100.0%
221801   TEXAS COLLEGE PREPARATORY ACADEMIE,24,10.2%,74,31.5%,137,58.3%,235,100.0%
061802   TEXAS EDUCATION CENTERS,,,8,22.2%,28,77.8%,36,100.0%
226801   TEXAS LEADERSHIP,*,*,*,*,16,69.6%,23,100.0%
056902   TEXLINE ISD,*,*,*,*,6,60.0%,10,100.0%
166905   THORNDALE ISD,11,20.0%,18,32.7%,26,47.3%,55,100.0%
246912   THRALL ISD,6,15.8%,16,42.1%,16,42.1%,38,100.0%
149902   THREE RIVERS ISD,6,12.8%,16,34.0%,25,53.2%,47,100.0%
224901   THROCKMORTON ISD,7,38.9%,6,33.3%,5,27.8%,18,100.0%
158902   TIDEHAVEN ISD,7,15.9%,20,45.5%,17,38.6%,44,100.0%
210905   TIMPSON ISD,*,*,*,*,12,34.3%,35,100.0%
111903   TOLAR ISD,20,35.1%,22,38.6%,15,26.3%,57,100.0%
091918   TOM BEAN ISD,9,15.0%,26,43.3%,25,41.7%,60,100.0%
101921   TOMBALL ISD,165,23.8%,269,38.8%,260,37.5%,694,100.0%
071908   TORNILLO ISD,10,12.1%,24,28.9%,49,59.0%,83,100.0%
014802   TRANSFORMATIVE CHARTER ACADEMY,,,*,*,25,86.2%,29,100.0%
220801   TREETOPS SCHOOL INTERNATIONAL,,,5,50.0%,5,50.0%,10,100.0%
221905   TRENT ISD,*,*,*,*,5,35.7%,14,100.0%
074912   TRENTON ISD,*,*,*,*,14,40.0%,35,100.0%
107907   TRINIDAD ISD,,,*,*,*,*,5,100.0%
228903   TRINITY ISD,9,12.5%,18,25.0%,45,62.5%,72,100.0%
212904   TROUP ISD,13,18.8%,16,23.2%,40,58.0%,69,100.0%
014910   TROY ISD,18,21.2%,32,37.7%,35,41.2%,85,100.0%
219903   TULIA ISD,9,13.6%,20,30.3%,37,56.1%,66,100.0%
178912   TULOSO-MIDWAY ISD,78,26.6%,87,29.7%,128,43.7%,293,100.0%
096905   TURKEY-QUITAQUE ISD,8,44.4%,5,27.8%,5,27.8%,18,100.0%
212905   TYLER ISD,127,13.3%,427,44.6%,403,42.1%,957,100.0%
230908   UNION GROVE ISD,7,14.0%,19,38.0%,24,48.0%,50,100.0%
230904   UNION HILL ISD,,,9,45.0%,11,55.0%,20,100.0%
240903   UNITED ISD,671,24.8%,"1,171",43.3%,862,31.9%,"2,704",100.0%
057808   UNIVERSAL ACADEMY,*,*,*,*,5,27.8%,18,100.0%
227806   UNIVERSITY OF TEXAS UNIVERSITY CHA,*,*,*,*,32,68.1%,47,100.0%
057843   UPLIFT EDUCATION - HAMPTON PREPARA,15,40.5%,10,27.0%,12,32.4%,37,100.0%
057803   UPLIFT EDUCATION - NORTH HILLS PRE,54,52.9%,18,17.7%,30,29.4%,102,100.0%
057838   UPLIFT EDUCATION - PEAK PREPARATOR,29,41.4%,12,17.1%,29,41.4%,70,100.0%
057842   UPLIFT EDUCATION - WILLIAMS PREPAR,*,*,*,*,20,44.4%,45,100.0%
