DistName,RegnName,Year,Enrolled 4-Year,Total Graduated,Enrolled 4-Year (%)
BRAZOSPORT ISD,Houston,2015,119,793,15.00630517
BRAZOSPORT ISD,Houston,2016,126,802,15.71072319
BRAZOSPORT ISD,Houston,2017,91,807,11.27633209
BRIDGEPORT ISD,Fort Worth,2011,27,150,18
BRIDGEPORT ISD,Fort Worth,2012,15,150,10
BRIDGEPORT ISD,Fort Worth,2013,21,129,16.27906977
BRIDGEPORT ISD,Fort Worth,2014,22,134,16.41791045
BRIDGEPORT ISD,Fort Worth,2015,24,142,16.90140845
BRIDGEPORT ISD,Fort Worth,2016,23,162,14.19753086
BRIDGEPORT ISD,Fort Worth,2017,20,135,14.81481481
BROCK ISD,Fort Worth,2011,14,70,20
BROCK ISD,Fort Worth,2012,16,68,23.52941176
BROCK ISD,Fort Worth,2013,9,60,15
BROCK ISD,Fort Worth,2014,9,70,12.85714286
BROCK ISD,Fort Worth,2015,16,70,22.85714286
BROCK ISD,Fort Worth,2016,35,85,41.17647059
BROCK ISD,Fort Worth,2017,39,97,40.20618557
BURLESON ISD,Fort Worth,2011,100,636,15.72327044
BURLESON ISD,Fort Worth,2012,93,607,15.32125206
BURLESON ISD,Fort Worth,2013,99,683,14.49487555
BURLESON ISD,Fort Worth,2014,138,725,19.03448276
BURLESON ISD,Fort Worth,2015,114,752,15.15957447
BURLESON ISD,Fort Worth,2016,139,784,17.72959184
BURLESON ISD,Fort Worth,2017,145,853,16.99882767
CADDO MILLS ISD,Richardson,2011,23,107,21.4953271
CADDO MILLS ISD,Richardson,2012,21,105,20
CADDO MILLS ISD,Richardson,2013,16,103,15.53398058
CADDO MILLS ISD,Richardson,2014,24,111,21.62162162
CADDO MILLS ISD,Richardson,2015,17,92,18.47826087
CADDO MILLS ISD,Richardson,2016,23,97,23.71134021
CADDO MILLS ISD,Richardson,2017,27,120,22.5
CALLISBURG ISD,Fort Worth,2011,7,83,8.43373494
CALLISBURG ISD,Fort Worth,2012,7,74,9.459459459
CALLISBURG ISD,Fort Worth,2013,10,79,12.65822785
CALLISBURG ISD,Fort Worth,2014,6,81,7.407407407
CALLISBURG ISD,Fort Worth,2015,16,87,18.3908046
