DistName,Students Enrolled in Texas Public 4-year Universities,,Students Enrolled in Texas Public 2-year Colleges,,Students Not Located in Texas Public Higher Education,,Total High School Graduates,
220905   FORT WORTH ISD,584,15.6%,988,26.4%,"2,168",58.0%,"3,740",100.0%
198903   FRANKLIN ISD,16,23.9%,23,34.3%,28,41.8%,67,100.0%
001904   FRANKSTON ISD,10,17.5%,20,35.1%,27,47.4%,57,100.0%
086901   FREDERICKSBURG ISD,63,26.8%,46,19.6%,126,53.6%,235,100.0%
066903   FREER ISD,14,27.5%,16,31.4%,21,41.2%,51,100.0%
152907   FRENSHIP ISD,137,28.7%,137,28.7%,204,42.7%,478,100.0%
084911   FRIENDSWOOD ISD,153,31.2%,191,38.9%,147,29.9%,491,100.0%
185903   FRIONA ISD,15,20.0%,23,30.7%,37,49.3%,75,100.0%
043905   FRISCO ISD,603,25.3%,763,32.0%,"1,022",42.8%,"2,388",100.0%
175905   FROST ISD,*,*,*,*,10,38.5%,26,100.0%
234909   FRUITVALE ISD,5,21.7%,6,26.1%,12,52.2%,23,100.0%
122901   FT DAVIS ISD,*,*,*,*,10,50.0%,20,100.0%
115901   FT HANCOCK ISD,9,19.6%,13,28.3%,24,52.2%,46,100.0%
015914   FT SAM HOUSTON ISD,17,20.2%,10,11.9%,57,67.9%,84,100.0%
049901   GAINESVILLE ISD,22,14.4%,46,30.1%,85,55.6%,153,100.0%
101910   GALENA PARK ISD,190,12.3%,524,34.0%,827,53.7%,"1,541",100.0%
084902   GALVESTON ISD,57,15.0%,155,40.7%,169,44.4%,381,100.0%
120902   GANADO ISD,6,13.0%,28,60.9%,12,26.1%,46,100.0%
057909   GARLAND ISD,699,17.7%,"1,352",34.2%,"1,906",48.2%,"3,957",100.0%
174903   GARRISON ISD,8,16.3%,13,26.5%,28,57.1%,49,100.0%
183904   GARY ISD,*,*,*,*,8,40.0%,20,100.0%
050902   GATESVILLE ISD,31,16.3%,61,32.1%,98,51.6%,190,100.0%
240801   GATEWAY ACADEMY CHARTER DISTRICT,*,*,*,*,100,75.2%,133,100.0%
057831   GATEWAY CHARTER ACADEMY,*,*,*,*,15,48.4%,31,100.0%
015802   GEORGE GERVIN ACADEMY,*,*,*,*,44,93.6%,47,100.0%
101804   GEORGE I SANCHEZ CHARTER,8,8.3%,14,14.6%,74,77.1%,96,100.0%
149901   GEORGE WEST ISD,21,25.0%,26,31.0%,37,44.1%,84,100.0%
246904   GEORGETOWN ISD,198,25.0%,184,23.2%,410,51.8%,792,100.0%
161925   GHOLSON ISD,*,*,*,*,*,*,11,100.0%
144901   GIDDINGS ISD,24,16.8%,46,32.2%,73,51.1%,143,100.0%
230902   GILMER ISD,23,15.4%,55,36.9%,71,47.7%,149,100.0%
101805   GIRLS & BOYS PREPARATORY ACADEMY,*,*,*,*,11,52.4%,21,100.0%
092901   GLADEWATER ISD,8,7.3%,43,39.1%,59,53.6%,110,100.0%
087901   GLASSCOCK COUNTY ISD,10,40.0%,9,36.0%,6,24.0%,25,100.0%
213901   GLEN ROSE ISD,41,36.9%,20,18.0%,50,45.1%,111,100.0%
126911   GODLEY ISD,15,15.5%,37,38.1%,45,46.4%,97,100.0%
169906   GOLD BURG ISD,*,*,*,*,6,66.7%,9,100.0%
167901   GOLDTHWAITE ISD,15,33.3%,5,11.1%,25,55.6%,45,100.0%
088902   GOLIAD ISD,23,24.5%,28,29.8%,43,45.7%,94,100.0%
089901   GONZALES ISD,26,17.0%,34,22.2%,93,60.8%,153,100.0%
187903   GOODRICH ISD,*,*,*,*,6,54.6%,11,100.0%
101911   GOOSE CREEK CISD,184,14.1%,495,38.1%,622,47.8%,"1,301",100.0%
182901   GORDON ISD,*,*,*,*,*,*,12,100.0%
067904   GORMAN ISD,*,*,*,*,9,60.0%,15,100.0%
156905   GRADY ISD,*,*,*,*,5,41.7%,12,100.0%
182902   GRAFORD ISD,*,*,*,*,6,46.2%,13,100.0%
252901   GRAHAM ISD,40,22.9%,31,17.7%,104,59.4%,175,100.0%
111901   GRANBURY ISD,105,26.6%,71,18.0%,219,55.4%,395,100.0%
057910   GRAND PRAIRIE ISD,287,16.5%,532,30.5%,923,53.0%,"1,742",100.0%
234904   GRAND SALINE ISD,*,*,*,*,35,49.3%,71,100.0%
238904   GRANDFALLS-ROYALTY ISD,,,,,15,100.0%,15,100.0%
126904   GRANDVIEW ISD,23,29.1%,31,39.2%,25,31.7%,79,100.0%
246905   GRANGER ISD,6,15.4%,12,30.8%,21,53.9%,39,100.0%
226907   GRAPE CREEK ISD,19,27.9%,12,17.7%,37,54.4%,68,100.0%
113902   GRAPELAND ISD,6,14.6%,14,34.2%,21,51.2%,41,100.0%
220906   GRAPEVINE-COLLEYVILLE ISD,242,24.5%,280,28.3%,466,47.2%,988,100.0%
116905   GREENVILLE ISD,43,18.9%,51,22.4%,134,58.8%,228,100.0%
165902   GREENWOOD ISD,19,16.2%,55,47.0%,43,36.8%,117,100.0%
205902   GREGORY-PORTLAND ISD,88,28.2%,89,28.5%,135,43.3%,312,100.0%
147902   GROESBECK ISD,15,15.6%,44,45.8%,37,38.5%,96,100.0%
033901   GROOM ISD,*,*,*,*,*,*,7,100.0%
228901   GROVETON ISD,9,20.9%,21,48.8%,13,30.2%,43,100.0%
098901   GRUVER ISD,7,21.9%,8,25.0%,17,53.1%,32,100.0%
091917   GUNTER ISD,10,16.4%,25,41.0%,26,42.6%,61,100.0%
047903   GUSTINE ISD,*,*,*,*,8,40.0%,20,100.0%
135001   GUTHRIE CSD,*,*,*,*,*,*,8,100.0%
095903   HALE CENTER ISD,11,32.4%,6,17.7%,17,50.0%,34,100.0%
143901   HALLETTSVILLE ISD,11,15.1%,37,50.7%,25,34.3%,73,100.0%
102904   HALLSVILLE ISD,42,14.0%,118,39.2%,141,46.8%,301,100.0%
097902   HAMILTON ISD,,,*,*,10,83.3%,12,100.0%
127903   HAMLIN ISD,*,*,*,*,13,40.6%,32,100.0%
123914   HAMSHIRE-FANNETT ISD,35,30.4%,39,33.9%,41,35.7%,115,100.0%
219901   HAPPY ISD,*,*,*,*,*,*,14,100.0%
146904   HARDIN ISD,15,23.4%,16,25.0%,33,51.6%,64,100.0%
100905   HARDIN-JEFFERSON ISD,50,43.9%,17,14.9%,47,41.2%,114,100.0%
015904   HARLANDALE ISD,122,13.8%,311,35.1%,454,51.2%,887,100.0%
102905   HARLETON ISD,*,*,*,*,26,55.3%,47,100.0%
031903   HARLINGEN CISD,244,21.9%,380,34.2%,488,43.9%,"1,112",100.0%
230905   HARMONY ISD,20,23.8%,27,32.1%,37,44.1%,84,100.0%
101858   HARMONY SCHOOL OF EXCELLENCE,29,32.6%,27,30.3%,33,37.1%,89,100.0%
101862   HARMONY SCHOOL OF SCIENCE - HOUSTO,8,47.1%,,,9,52.9%,17,100.0%
071806   HARMONY SCIENCE ACAD (EL PASO),32,49.2%,13,20.0%,20,30.8%,65,100.0%
220813   HARMONY SCIENCE ACAD (FORT WORTH),35,46.7%,18,24.0%,22,29.3%,75,100.0%
152805   HARMONY SCIENCE ACAD (LUBBOCK),*,*,*,*,6,75.0%,8,100.0%
015828   HARMONY SCIENCE ACAD (SAN ANTONIO),21,36.8%,21,36.8%,15,26.3%,57,100.0%
161807   HARMONY SCIENCE ACAD (WACO),33,28.5%,40,34.5%,43,37.1%,116,100.0%
101846   HARMONY SCIENCE ACADEMY,48,38.7%,25,20.2%,51,41.1%,124,100.0%
031803   HARMONY SCIENCE ACADEMY - BROWNSVI,*,*,*,*,*,*,11,100.0%
227816   HARMONY SCIENCE ACADEMY (AUSTIN),19,24.4%,20,25.6%,39,50.0%,78,100.0%
086902   HARPER ISD,11,27.5%,6,15.0%,23,57.5%,40,100.0%
244901   HARROLD ISD,,,*,*,*,*,7,100.0%
035902   HART ISD,*,*,*,*,10,55.6%,18,100.0%
103902   HARTLEY ISD,,,*,*,10,83.3%,12,100.0%
104901   HASKELL CISD,11,26.8%,12,29.3%,18,43.9%,41,100.0%
250902   HAWKINS ISD,5,9.3%,18,33.3%,31,57.4%,54,100.0%
127904   HAWLEY ISD,6,13.0%,17,37.0%,23,50.0%,46,100.0%
105906   HAYS CISD,221,23.1%,288,30.1%,448,46.8%,957,100.0%
198905   HEARNE ISD,*,*,*,*,37,71.2%,52,100.0%
065902   HEDLEY ISD,,,5,38.5%,8,61.5%,13,100.0%
202903   HEMPHILL ISD,15,28.3%,14,26.4%,24,45.3%,53,100.0%
237902   HEMPSTEAD ISD,16,18.0%,25,28.1%,48,53.9%,89,100.0%
201902   HENDERSON ISD,25,13.7%,52,28.4%,106,57.9%,183,100.0%
039902   HENRIETTA ISD,15,29.4%,11,21.6%,25,49.0%,51,100.0%
015833   HENRY FORD ACADEMY ALAMEDA SCHOOL,*,*,*,*,45,80.4%,56,100.0%
059901   HEREFORD ISD,38,17.4%,44,20.1%,137,62.6%,219,100.0%
208901   HERMLEIGH ISD,*,*,*,*,9,45.0%,20,100.0%
097903   HICO ISD,10,28.6%,6,17.1%,19,54.3%,35,100.0%
108905   HIDALGO ISD,62,29.7%,69,33.0%,78,37.3%,209,100.0%
148903   HIGGINS ISD,*,*,*,*,5,62.5%,8,100.0%
015803   HIGGS CARTER KING GIFTED & TALENTE,*,*,*,*,6,75.0%,8,100.0%
084903   HIGH ISLAND ISD,*,*,*,*,7,46.7%,15,100.0%
177905   HIGHLAND ISD,*,*,*,*,*,*,17,100.0%
057911   HIGHLAND PARK ISD,120,23.9%,102,20.3%,280,55.8%,502,100.0%
188903   HIGHLAND PARK ISD,17,32.1%,16,30.2%,20,37.7%,53,100.0%
109904   HILLSBORO ISD,9,9.2%,44,44.9%,45,45.9%,98,100.0%
084908   HITCHCOCK ISD,6,11.8%,18,35.3%,27,52.9%,51,100.0%
014905   HOLLAND ISD,5,12.5%,16,40.0%,19,47.5%,40,100.0%
005902   HOLLIDAY ISD,26,39.4%,19,28.8%,21,31.8%,66,100.0%
163904   HONDO ISD,36,24.8%,45,31.0%,64,44.1%,145,100.0%
074907   HONEY GROVE ISD,13,40.6%,8,25.0%,11,34.4%,32,100.0%
057825   HONORS ACADEMY,,,*,*,8,66.7%,12,100.0%
019902   HOOKS ISD,,,*,*,*,*,5,100.0%
101828   HOUSTON GATEWAY ACADEMY INC,*,*,*,*,13,46.4%,28,100.0%
101821   HOUSTON HEIGHTS HIGH SCHOOL,*,*,*,*,65,94.2%,69,100.0%
101912   HOUSTON ISD,"1,980",20.7%,"1,873",19.6%,"5,727",59.8%,"9,580",100.0%
091905   HOWE ISD,12,16.0%,28,37.3%,35,46.7%,75,100.0%
109905   HUBBARD ISD,10,24.4%,18,43.9%,13,31.7%,41,100.0%
072908   HUCKABAY ISD,*,*,*,*,,,8,100.0%
003902   HUDSON ISD,21,11.6%,84,46.4%,76,42.0%,181,100.0%
101925   HUFFMAN ISD,40,19.8%,76,37.6%,86,42.6%,202,100.0%
034903   HUGHES SPRINGS ISD,13,18.1%,33,45.8%,26,36.1%,72,100.0%
146905   HULL-DAISETTA ISD,8,18.2%,12,27.3%,24,54.6%,44,100.0%
101913   HUMBLE ISD,634,24.8%,803,31.3%,"1,125",43.9%,"2,562",100.0%
003904   HUNTINGTON ISD,14,9.6%,56,38.4%,76,52.1%,146,100.0%
236902   HUNTSVILLE ISD,106,25.7%,81,19.7%,225,54.6%,412,100.0%
220916   HURST-EULESS-BEDFORD ISD,235,16.3%,342,23.7%,866,60.0%,"1,443",100.0%
246906   HUTTO ISD,62,19.6%,88,27.8%,167,52.7%,317,100.0%
152910   IDALOU ISD,27,31.4%,27,31.4%,32,37.2%,86,100.0%
108807   IDEA PUBLIC SCHOOLS,277,54.3%,112,22.0%,121,23.7%,510,100.0%
108801   IGNITE PUBLIC SCHOOLS AND COMMUNIT,6,3.3%,32,17.7%,143,79.0%,181,100.0%
120905   INDUSTRIAL ISD,16,27.6%,30,51.7%,12,20.7%,58,100.0%
205903   INGLESIDE ISD,18,13.6%,51,38.6%,63,47.7%,132,100.0%
133904   INGRAM ISD,7,12.1%,7,12.1%,44,75.9%,58,100.0%
093903   IOLA ISD,7,19.4%,9,25.0%,20,55.6%,36,100.0%
243903   IOWA PARK CISD,37,29.4%,29,23.0%,60,47.6%,126,100.0%
208903   IRA ISD,*,*,*,*,*,*,22,100.0%
186903   IRAAN-SHEFFIELD ISD,5,6.8%,21,28.4%,48,64.9%,74,100.0%
018906   IREDELL ISD,*,*,*,*,*,*,7,100.0%
118902   IRION COUNTY ISD,8,29.6%,7,25.9%,12,44.4%,27,100.0%
057912   IRVING ISD,251,12.6%,624,31.2%,"1,123",56.2%,"1,998",100.0%
070907   ITALY ISD,8,21.1%,12,31.6%,18,47.4%,38,100.0%
109907   ITASCA ISD,11,19.0%,16,27.6%,31,53.5%,58,100.0%
119902   JACKSBORO ISD,11,17.7%,19,30.7%,32,51.6%,62,100.0%
037904   JACKSONVILLE ISD,24,9.8%,46,18.7%,176,71.5%,246,100.0%
246907   JARRELL ISD,11,17.2%,13,20.3%,40,62.5%,64,100.0%
121904   JASPER ISD,36,25.7%,40,28.6%,64,45.7%,140,100.0%
132902   JAYTON-GIRARD ISD,*,*,*,*,*,*,13,100.0%
057819   JEAN MASSIEU ACADEMY,,,,,*,*,*,*
155901   JEFFERSON ISD,31,36.9%,10,11.9%,43,51.2%,84,100.0%
124901   JIM HOGG COUNTY ISD,20,34.5%,20,34.5%,18,31.0%,58,100.0%
221911   JIM NED CISD,24,34.8%,15,21.7%,30,43.5%,69,100.0%
210902   JOAQUIN ISD,5,8.9%,21,37.5%,30,53.6%,56,100.0%
015808   JOHN H WOOD JR PUBLIC CHARTER DIST,*,*,,,5,83.3%,6,100.0%
016901   JOHNSON CITY ISD,15,34.1%,11,25.0%,18,40.9%,44,100.0%
050909   JONESBORO ISD,*,*,*,*,*,*,12,100.0%
126905   JOSHUA ISD,62,18.2%,94,27.6%,185,54.3%,341,100.0%
007902   JOURDANTON ISD,24,24.7%,35,36.1%,38,39.2%,97,100.0%
015822   JUBILEE ACADEMIC CENTER,*,*,*,*,25,62.5%,40,100.0%
015916   JUDSON ISD,229,16.8%,332,24.3%,805,58.9%,"1,366",100.0%
134901   JUNCTION ISD,17,27.4%,15,24.2%,30,48.4%,62,100.0%
102901   KARNACK ISD,*,*,*,*,*,*,7,100.0%
128901   KARNES CITY ISD,13,23.6%,18,32.7%,24,43.6%,55,100.0%
105801   KATHERINE ANNE PORTER SCHOOL,5,11.1%,8,17.8%,32,71.1%,45,100.0%
101914   KATY ISD,"1,077",24.2%,"1,201",27.0%,"2,179",48.9%,"4,457",100.0%
129903   KAUFMAN ISD,35,15.0%,84,35.9%,115,49.2%,234,100.0%
126906   KEENE ISD,*,*,*,*,37,64.9%,57,100.0%
220907   KELLER ISD,559,24.2%,720,31.1%,"1,036",44.8%,"2,315",100.0%
242905   KELTON ISD,*,*,*,*,*,*,8,100.0%
129904   KEMP ISD,8,10.0%,23,28.8%,49,61.3%,80,100.0%
128902   KENEDY ISD,*,*,*,*,18,52.9%,34,100.0%
113906   KENNARD ISD,*,*,*,*,18,75.0%,24,100.0%
220914   KENNEDALE ISD,38,18.0%,97,46.0%,76,36.0%,211,100.0%
175907   KERENS ISD,*,*,*,*,11,32.4%,34,100.0%
248901   KERMIT ISD,15,20.0%,25,33.3%,35,46.7%,75,100.0%
133903   KERRVILLE ISD,74,22.9%,46,14.2%,203,62.9%,323,100.0%
092902   KILGORE ISD,21,9.5%,97,43.9%,103,46.6%,221,100.0%
014906   KILLEEN ISD,325,16.6%,607,31.1%,"1,022",52.3%,"1,954",100.0%
137901   KINGSVILLE ISD,62,30.2%,43,21.0%,100,48.8%,205,100.0%
227820   KIPP AUSTIN PUBLIC SCHOOLS INC,15,20.6%,19,26.0%,39,53.4%,73,100.0%
101813   KIPP INC CHARTER,78,42.6%,35,19.1%,70,38.3%,183,100.0%
015826   KIPP SAN ANTONIO,14,23.3%,19,31.7%,27,45.0%,60,100.0%
121905   KIRBYVILLE CISD,20,21.7%,22,23.9%,50,54.4%,92,100.0%
101915   KLEIN ISD,733,22.9%,"1,066",33.3%,"1,398",43.7%,"3,197",100.0%
058905   KLONDIKE ISD,*,*,*,*,*,*,14,100.0%
232901   KNIPPA ISD,*,*,*,*,*,*,5,100.0%
138902   KNOX CITY-O'BRIEN CISD,*,*,*,*,8,40.0%,20,100.0%
018907   KOPPERL ISD,*,*,*,*,7,41.2%,17,100.0%
100903   KOUNTZE ISD,23,25.6%,21,23.3%,46,51.1%,90,100.0%
219905   KRESS ISD,*,*,*,*,9,64.3%,14,100.0%
061905   KRUM ISD,22,22.2%,26,26.3%,51,51.5%,99,100.0%
031905   LA FERIA ISD,47,21.5%,78,35.6%,94,42.9%,219,100.0%
075902   LA GRANGE ISD,25,16.1%,52,33.6%,78,50.3%,155,100.0%
108912   LA JOYA ISD,320,19.6%,411,25.2%,902,55.2%,"1,633",100.0%
084904   LA MARQUE ISD,39,33.3%,30,25.6%,48,41.0%,117,100.0%
101916   LA PORTE ISD,66,12.6%,238,45.4%,220,42.0%,524,100.0%
254902   LA PRYOR ISD,*,*,*,*,14,46.7%,30,100.0%
161906   LA VEGA ISD,15,10.1%,60,40.3%,74,49.7%,149,100.0%
247903   LA VERNIA ISD,52,24.1%,49,22.7%,115,53.2%,216,100.0%
108914   LA VILLA ISD,10,24.4%,22,53.7%,9,22.0%,41,100.0%
015913   LACKLAND ISD,5,18.5%,13,48.2%,9,33.3%,27,100.0%
227912   LAGO VISTA ISD,24,26.1%,20,21.7%,48,52.2%,92,100.0%
061912   LAKE DALLAS ISD,61,22.3%,96,35.0%,117,42.7%,274,100.0%
227913   LAKE TRAVIS ISD,177,33.2%,104,19.5%,252,47.3%,533,100.0%
220910   LAKE WORTH ISD,20,12.3%,40,24.5%,103,63.2%,163,100.0%
079901   LAMAR CISD,414,25.8%,515,32.1%,677,42.2%,"1,606",100.0%
058906   LAMESA ISD,16,14.7%,53,48.6%,40,36.7%,109,100.0%
141901   LAMPASAS ISD,58,22.4%,63,24.3%,138,53.3%,259,100.0%
057913   LANCASTER ISD,85,23.3%,102,28.0%,178,48.8%,365,100.0%
201903   LANEVILLE ISD,*,*,*,*,*,*,8,100.0%
107910   LAPOYNOR ISD,*,*,*,*,8,40.0%,20,100.0%
240901   LAREDO ISD,235,21.8%,398,36.9%,446,41.3%,"1,079",100.0%
245901   LASARA ISD,9,29.0%,14,45.2%,8,25.8%,31,100.0%
113905   LATEXO ISD,*,*,*,*,13,54.2%,24,100.0%
185904   LAZBUDDIE ISD,6,54.6%,,,5,45.5%,11,100.0%
193902   LEAKEY ISD,5,22.7%,9,40.9%,8,36.4%,22,100.0%
246913   LEANDER ISD,599,29.4%,552,27.1%,886,43.5%,"2,037",100.0%
090902   LEFORS ISD,*,*,*,*,*,*,7,100.0%
187906   LEGGETT ISD,*,*,*,*,6,54.6%,11,100.0%
145911   LEON ISD,8,22.9%,9,25.7%,18,51.4%,35,100.0%
074909   LEONARD ISD,15,19.2%,25,32.1%,38,48.7%,78,100.0%
110902   LEVELLAND ISD,12,7.2%,82,49.4%,72,43.4%,166,100.0%
201904   LEVERETTS CHAPEL ISD,,,6,54.6%,5,45.5%,11,100.0%
061902   LEWISVILLE ISD,872,23.9%,"1,039",28.5%,"1,731",47.5%,"3,642",100.0%
144902   LEXINGTON ISD,7,10.8%,23,35.4%,35,53.9%,65,100.0%
246908   LIBERTY HILL ISD,46,22.8%,64,31.7%,92,45.5%,202,100.0%
146906   LIBERTY ISD,27,20.6%,40,30.5%,64,48.9%,131,100.0%
019908   LIBERTY-EYLAU ISD,14,8.7%,33,20.5%,114,70.8%,161,100.0%
057807   LIFE SCHOOL,29,20.4%,63,44.4%,50,35.2%,142,100.0%
212903   LINDALE ISD,58,20.4%,117,41.2%,109,38.4%,284,100.0%
034905   LINDEN-KILDARE CISD,6,12.2%,17,34.7%,26,53.1%,49,100.0%
049907   LINDSAY ISD,9,27.3%,14,42.4%,10,30.3%,33,100.0%
072909   LINGLEVILLE ISD,*,*,*,*,7,50.0%,14,100.0%
111902   LIPAN ISD,*,*,*,*,8,42.1%,19,100.0%
181908   LITTLE CYPRESS-MAURICEVILLE CISD,55,23.2%,85,35.9%,97,40.9%,237,100.0%
061914   LITTLE ELM ISD,73,20.0%,97,26.6%,195,53.4%,365,100.0%
140904   LITTLEFIELD ISD,9,11.8%,31,40.8%,36,47.4%,76,100.0%
187907   LIVINGSTON ISD,34,14.9%,65,28.5%,129,56.6%,228,100.0%
150901   LLANO ISD,35,30.4%,21,18.3%,59,51.3%,115,100.0%
028902   LOCKHART ISD,66,22.2%,54,18.1%,178,59.7%,298,100.0%
077902   LOCKNEY ISD,12,34.3%,14,40.0%,9,25.7%,35,100.0%
160905   LOHN ISD,*,*,,,7,77.8%,9,100.0%
141902   LOMETA ISD,*,*,*,*,11,55.0%,20,100.0%
178906   LONDON ISD,*,*,,,,,*,*
116906   LONE OAK ISD,21,31.3%,18,26.9%,28,41.8%,67,100.0%
092903   LONGVIEW ISD,66,12.4%,156,29.3%,311,58.4%,533,100.0%
083902   LOOP ISD,*,*,*,*,,,9,100.0%
168902   LORAINE ISD,*,*,*,*,,,9,100.0%
161907   LORENA ISD,18,13.9%,62,47.7%,50,38.5%,130,100.0%
054902   LORENZO ISD,*,*,*,*,9,75.0%,12,100.0%
031906   LOS FRESNOS CISD,182,25.0%,199,27.3%,347,47.7%,728,100.0%
241906   LOUISE ISD,6,15.8%,18,47.4%,14,36.8%,38,100.0%
043919   LOVEJOY ISD,75,27.3%,78,28.4%,122,44.4%,275,100.0%
113903   LOVELADY ISD,*,*,*,*,12,37.5%,32,100.0%
152901   LUBBOCK ISD,302,19.6%,391,25.4%,845,54.9%,"1,538",100.0%
152906   LUBBOCK-COOPER ISD,68,30.2%,76,33.8%,81,36.0%,225,100.0%
127905   LUEDERS-AVOCA ISD,,,*,*,6,85.7%,7,100.0%
003903   LUFKIN ISD,89,17.0%,181,34.6%,253,48.4%,523,100.0%
028903   LULING ISD,19,20.0%,11,11.6%,65,68.4%,95,100.0%
100907   LUMBERTON ISD,88,34.9%,48,19.1%,116,46.0%,252,100.0%
245902   LYFORD CISD,26,25.2%,25,24.3%,52,50.5%,103,100.0%
007904   LYTLE ISD,8,6.6%,44,36.1%,70,57.4%,122,100.0%
129905   MABANK ISD,24,11.4%,79,37.4%,108,51.2%,211,100.0%
154901   MADISONVILLE CISD,33,21.6%,31,20.3%,89,58.2%,153,100.0%
170906   MAGNOLIA ISD,144,17.6%,238,29.1%,437,53.4%,819,100.0%
107906   MALAKOFF ISD,7,8.2%,30,35.3%,48,56.5%,85,100.0%
227907   MANOR ISD,98,25.0%,78,19.9%,216,55.1%,392,100.0%
220908   MANSFIELD ISD,543,25.2%,796,37.0%,815,37.8%,"2,154",100.0%
022902   MARATHON ISD,*,*,,,,,*,*
027904   MARBLE FALLS ISD,63,23.2%,68,25.0%,141,51.8%,272,100.0%
189901   MARFA ISD,*,*,*,*,6,33.3%,18,100.0%
094904   MARION ISD,17,15.6%,22,20.2%,70,64.2%,109,100.0%
073903   MARLIN ISD,8,15.1%,17,32.1%,28,52.8%,53,100.0%
102902   MARSHALL ISD,30,9.3%,86,26.5%,208,64.2%,324,100.0%
161908   MART ISD,*,*,*,*,17,56.7%,30,100.0%
234905   MARTINS MILL ISD,5,17.2%,12,41.4%,12,41.4%,29,100.0%
174909   MARTINSVILLE ISD,*,*,*,*,8,33.3%,24,100.0%
157901   MASON ISD,20,40.0%,11,22.0%,19,38.0%,50,100.0%
205904   MATHIS ISD,16,19.3%,22,26.5%,45,54.2%,83,100.0%
019903   MAUD ISD,7,24.1%,7,24.1%,15,51.7%,29,100.0%
025905   MAY ISD,*,*,*,*,16,64.0%,25,100.0%
070915   MAYPEARL ISD,16,21.3%,23,30.7%,36,48.0%,75,100.0%
108906   MCALLEN ISD,472,31.5%,415,27.7%,613,40.9%,"1,500",100.0%
231901   MCCAMEY ISD,6,16.7%,13,36.1%,17,47.2%,36,100.0%
161909   MCGREGOR ISD,12,13.5%,25,28.1%,52,58.4%,89,100.0%
043907   MCKINNEY ISD,329,20.9%,501,31.8%,748,47.4%,"1,578",100.0%
090903   MCLEAN ISD,6,42.9%,6,42.9%,*,*,14,100.0%
034906   MCLEOD ISD,,,5,20.0%,20,80.0%,25,100.0%
162904   MCMULLEN COUNTY ISD,*,*,*,*,*,*,14,100.0%
223902   MEADOW ISD,*,*,*,*,*,*,14,100.0%
130801   MEADOWLAND CHARTER SCHOOL,,,*,*,17,94.4%,18,100.0%
010901   MEDINA ISD,*,*,*,*,9,45.0%,20,100.0%
163908   MEDINA VALLEY ISD,67,24.0%,65,23.3%,147,52.7%,279,100.0%
043908   MELISSA ISD,26,20.0%,36,27.7%,68,52.3%,130,100.0%
096904   MEMPHIS ISD,13,30.2%,11,25.6%,19,44.2%,43,100.0%
164901   MENARD ISD,*,*,*,*,14,51.9%,27,100.0%
108907   MERCEDES ISD,93,27.4%,91,26.8%,156,45.9%,340,100.0%
018902   MERIDIAN ISD,8,25.8%,10,32.3%,13,41.9%,31,100.0%
221904   MERKEL ISD,12,15.0%,13,16.3%,55,68.8%,80,100.0%
057914   MESQUITE ISD,433,17.0%,857,33.7%,"1,253",49.3%,"2,543",100.0%
147903   MEXIA ISD,16,10.7%,43,28.9%,90,60.4%,149,100.0%
197902   MIAMI ISD,*,*,,,9,69.2%,13,100.0%
165901   MIDLAND ISD,242,20.0%,434,35.9%,534,44.1%,"1,210",100.0%
070908   MIDLOTHIAN ISD,125,23.7%,190,36.1%,212,40.2%,527,100.0%
108804   MIDVALLEY ACADEMY CHARTER DISTRICT,*,*,*,*,88,82.2%,107,100.0%
039905   MIDWAY ISD,*,*,*,*,5,62.5%,8,100.0%
161903   MIDWAY ISD,77,14.3%,214,39.8%,247,45.9%,538,100.0%
166903   MILANO ISD,5,15.2%,10,30.3%,18,54.6%,33,100.0%
175910   MILDRED ISD,7,12.1%,28,48.3%,23,39.7%,58,100.0%
200902   MILES ISD,14,42.4%,10,30.3%,9,27.3%,33,100.0%
070909   MILFORD ISD,*,*,*,*,8,53.3%,15,100.0%
112907   MILLER GROVE ISD,*,*,*,*,11,61.1%,18,100.0%
184904   MILLSAP ISD,10,14.7%,28,41.2%,30,44.1%,68,100.0%
250903   MINEOLA ISD,19,19.2%,23,23.2%,57,57.6%,99,100.0%
182903   MINERAL WELLS ISD,21,10.6%,63,31.8%,114,57.6%,198,100.0%
108908   MISSION CISD,219,28.2%,244,31.4%,315,40.5%,778,100.0%
238902   MONAHANS-WICKETT-PYOTE ISD,34,23.8%,26,18.2%,83,58.0%,143,100.0%
108915   MONTE ALTO ISD,*,*,*,*,20,60.6%,33,100.0%
170903   MONTGOMERY ISD,104,21.9%,177,37.3%,193,40.7%,474,100.0%
161910   MOODY ISD,*,*,*,*,27,48.2%,56,100.0%
209902   MORAN ISD,*,*,*,*,*,*,7,100.0%
018903   MORGAN ISD,*,*,*,*,12,70.6%,17,100.0%
040901   MORTON ISD,*,*,*,*,13,46.4%,28,100.0%
173901   MOTLEY COUNTY ISD,*,*,*,*,*,*,12,100.0%
143902   MOULTON ISD,,,8,66.7%,*,*,12,100.0%
109910   MOUNT CALM ISD,,,*,*,7,70.0%,10,100.0%
201907   MOUNT ENTERPRISE ISD,*,*,*,*,7,29.2%,24,100.0%
225902   MOUNT PLEASANT ISD,19,5.7%,128,38.2%,188,56.1%,335,100.0%
080901   MOUNT VERNON ISD,17,16.8%,38,37.6%,46,45.5%,101,100.0%
049902   MUENSTER ISD,12,33.3%,12,33.3%,12,33.3%,36,100.0%
009901   MULESHOE ISD,14,20.3%,9,13.0%,46,66.7%,69,100.0%
