DistName,Students Enrolled in Texas Public 4-year Universities,,Students Enrolled in Texas Public 2-year Colleges,,Students Not Located in Texas Public Higher Education,,Total High School Graduates,
091913   POTTSBORO ISD,15,18.8%,26,32.5%,39,48.8%,80,100.0%
028906   PRAIRIE LEA ISD,*,*,*,*,9,69.2%,13,100.0%
169909   PRAIRIE VALLEY ISD,*,*,,,*,*,6,100.0%
139912   PRAIRILAND ISD,7,9.0%,38,48.7%,33,42.3%,78,100.0%
125905   PREMONT ISD,8,22.2%,5,13.9%,23,63.9%,36,100.0%
189902   PRESIDIO ISD,32,33.7%,22,23.2%,41,43.2%,95,100.0%
167904   PRIDDY ISD,*,*,*,*,*,*,*,*
043911   PRINCETON ISD,20,10.6%,67,35.6%,101,53.7%,188,100.0%
098903   PRINGLE-MORSE CISD,,,,,*,*,*,*
108910   PROGRESO ISD,26,21.7%,25,20.8%,69,57.5%,120,100.0%
043912   PROSPER ISD,45,22.5%,80,40.0%,75,37.5%,200,100.0%
099903   QUANAH ISD,6,16.2%,13,35.1%,18,48.7%,37,100.0%
034907   QUEEN CITY ISD,*,*,*,*,45,60.8%,74,100.0%
116908   QUINLAN ISD,19,12.8%,31,21.0%,98,66.2%,148,100.0%
250904   QUITMAN ISD,13,15.7%,25,30.1%,45,54.2%,83,100.0%
015815   RADIANCE ACADEMY OF LEARNING,*,*,*,*,16,59.3%,27,100.0%
190903   RAINS ISD,12,12.2%,31,31.6%,55,56.1%,98,100.0%
054903   RALLS ISD,*,*,*,*,31,72.1%,43,100.0%
234801   RANCH ACADEMY,,,8,44.4%,10,55.6%,18,100.0%
015906   RANDOLPH FIELD ISD,31,38.3%,12,14.8%,38,46.9%,81,100.0%
067907   RANGER ISD,5,21.7%,9,39.1%,9,39.1%,23,100.0%
231902   RANKIN ISD,*,*,*,*,8,47.1%,17,100.0%
161802   RAPOPORT ACADEMY PUBLIC SCHOOL,9,45.0%,8,40.0%,*,*,20,100.0%
101806   RAUL YZAGUIRRE SCHOOL FOR SUCCESS,*,*,*,*,24,48.0%,50,100.0%
236801   RAVEN SCHOOL,,,*,*,*,*,*,*
245903   RAYMONDVILLE ISD,28,19.9%,42,29.8%,71,50.4%,141,100.0%
192901   REAGAN COUNTY ISD,10,25.0%,12,30.0%,18,45.0%,40,100.0%
070911   RED OAK ISD,71,17.4%,160,39.3%,176,43.2%,407,100.0%
019906   REDWATER ISD,14,24.1%,24,41.4%,20,34.5%,58,100.0%
196903   REFUGIO ISD,14,20.6%,22,32.4%,32,47.1%,68,100.0%
221801   RESPONSIVE EDUCATION SOLUTIONS,80,8.3%,274,28.5%,609,63.2%,963,100.0%
045903   RICE CISD,9,12.9%,30,42.9%,31,44.3%,70,100.0%
175911   RICE ISD,8,16.0%,17,34.0%,25,50.0%,50,100.0%
188801   RICHARD MILBURN ACADEMY (AMARILLO),5,5.2%,18,18.8%,73,76.0%,96,100.0%
068801   RICHARD MILBURN ACADEMY (ECTOR COU,*,*,*,*,142,80.2%,177,100.0%
220812   RICHARD MILBURN ACADEMY (FORT WORT,*,*,*,*,22,78.6%,28,100.0%
101854   RICHARD MILBURN ACADEMY (SUBURBAN,*,*,*,*,43,66.2%,65,100.0%
014801   RICHARD MILBURN ALTER HIGH SCHOOL,*,*,*,*,45,68.2%,66,100.0%
178804   RICHARD MILBURN ALTER HIGH SCHOOL,*,*,*,*,61,67.8%,90,100.0%
093905   RICHARDS ISD,*,*,*,*,6,60.0%,10,100.0%
057916   RICHARDSON ISD,467,23.1%,611,30.3%,941,46.6%,"2,019",100.0%
057840   RICHLAND COLLEGIATE HS OF MATH SCI,97,62.6%,18,11.6%,40,25.8%,155,100.0%
206902   RICHLAND SPRINGS ISD,*,*,*,*,*,*,11,100.0%
161912   RIESEL ISD,6,13.6%,21,47.7%,17,38.6%,44,100.0%
214901   RIO GRANDE CITY CISD,116,19.3%,253,42.2%,231,38.5%,600,100.0%
031911   RIO HONDO ISD,31,22.5%,48,34.8%,59,42.8%,138,100.0%
126907   RIO VISTA ISD,8,14.0%,25,43.9%,24,42.1%,57,100.0%
067908   RISING STAR ISD,*,*,*,*,10,47.6%,21,100.0%
188902   RIVER ROAD ISD,17,17.4%,31,31.6%,50,51.0%,98,100.0%
194903   RIVERCREST ISD,*,*,*,*,12,27.9%,43,100.0%
137903   RIVIERA ISD,22,47.8%,6,13.0%,18,39.1%,46,100.0%
041902   ROBERT LEE ISD,*,*,*,*,8,36.4%,22,100.0%
161922   ROBINSON ISD,24,12.9%,82,44.1%,80,43.0%,186,100.0%
