DistName,Students Enrolled in Texas Public 4-year Universities,,Students Enrolled in Texas Public 2-year Colleges,,Students Not Located in Texas Public Higher Education,,Total High School Graduates,
185903   FRIONA ISD,13,16.1%,16,19.8%,52,64.2%,81,100.0%
043905   FRISCO ISD,754,25.3%,866,29.0%,"1,366",45.8%,"2,986",100.0%
175905   FROST ISD,,,16,55.2%,13,44.8%,29,100.0%
234909   FRUITVALE ISD,*,*,*,*,20,60.6%,33,100.0%
122901   FT DAVIS ISD,*,*,*,*,11,50.0%,22,100.0%
115901   FT HANCOCK ISD,7,21.9%,9,28.1%,16,50.0%,32,100.0%
015914   FT SAM HOUSTON ISD,28,30.4%,12,13.0%,52,56.5%,92,100.0%
049901   GAINESVILLE ISD,18,10.5%,38,22.2%,115,67.3%,171,100.0%
101910   GALENA PARK ISD,204,13.1%,445,28.6%,905,58.2%,"1,554",100.0%
084902   GALVESTON ISD,77,17.2%,155,34.5%,217,48.3%,449,100.0%
120902   GANADO ISD,13,28.3%,16,34.8%,17,37.0%,46,100.0%
057909   GARLAND ISD,742,18.0%,"1,212",29.5%,"2,162",52.5%,"4,116",100.0%
174903   GARRISON ISD,5,9.1%,28,50.9%,22,40.0%,55,100.0%
183904   GARY ISD,,,8,47.1%,9,52.9%,17,100.0%
050902   GATESVILLE ISD,29,16.4%,54,30.5%,94,53.1%,177,100.0%
240801   GATEWAY ACADEMY CHARTER DISTRICT,*,*,*,*,119,81.0%,147,100.0%
057831   GATEWAY CHARTER ACADEMY,*,*,*,*,21,72.4%,29,100.0%
015802   GEORGE GERVIN ACADEMY,,,8,25.0%,24,75.0%,32,100.0%
101804   GEORGE I SANCHEZ CHARTER,*,*,*,*,74,77.9%,95,100.0%
149901   GEORGE WEST ISD,20,26.7%,28,37.3%,27,36.0%,75,100.0%
246904   GEORGETOWN ISD,192,23.5%,170,20.8%,454,55.6%,816,100.0%
161925   GHOLSON ISD,,,10,55.6%,8,44.4%,18,100.0%
144901   GIDDINGS ISD,21,13.9%,41,27.2%,89,58.9%,151,100.0%
230902   GILMER ISD,23,14.6%,61,38.6%,74,46.8%,158,100.0%
092901   GLADEWATER ISD,*,*,*,*,73,60.3%,121,100.0%
087901   GLASSCOCK COUNTY ISD,6,22.2%,9,33.3%,12,44.4%,27,100.0%
213901   GLEN ROSE ISD,50,41.3%,30,24.8%,41,33.9%,121,100.0%
101866   GLOBAL LEARNING VILLAGE,,,*,*,5,71.4%,7,100.0%
126911   GODLEY ISD,17,17.0%,29,29.0%,54,54.0%,100,100.0%
169906   GOLD BURG ISD,,,*,*,*,*,7,100.0%
167901   GOLDTHWAITE ISD,15,28.3%,5,9.4%,33,62.3%,53,100.0%
088902   GOLIAD ISD,28,28.6%,29,29.6%,41,41.8%,98,100.0%
089901   GONZALES ISD,25,18.7%,30,22.4%,79,59.0%,134,100.0%
187903   GOODRICH ISD,*,*,*,*,10,52.6%,19,100.0%
101911   GOOSE CREEK CISD,174,12.1%,525,36.5%,741,51.5%,"1,440",100.0%
182901   GORDON ISD,*,*,*,*,10,58.8%,17,100.0%
067904   GORMAN ISD,6,25.0%,8,33.3%,10,41.7%,24,100.0%
156905   GRADY ISD,5,33.3%,5,33.3%,5,33.3%,15,100.0%
182902   GRAFORD ISD,*,*,*,*,18,75.0%,24,100.0%
252901   GRAHAM ISD,33,19.2%,43,25.0%,96,55.8%,172,100.0%
111901   GRANBURY ISD,107,22.5%,92,19.4%,276,58.1%,475,100.0%
057910   GRAND PRAIRIE ISD,276,16.2%,481,28.2%,950,55.7%,"1,707",100.0%
234904   GRAND SALINE ISD,10,14.5%,18,26.1%,41,59.4%,69,100.0%
238904   GRANDFALLS-ROYALTY ISD,,,*,*,7,87.5%,8,100.0%
126904   GRANDVIEW ISD,25,26.0%,33,34.4%,38,39.6%,96,100.0%
246905   GRANGER ISD,5,18.5%,13,48.2%,9,33.3%,27,100.0%
226907   GRAPE CREEK ISD,21,27.6%,6,7.9%,49,64.5%,76,100.0%
113902   GRAPELAND ISD,8,19.5%,10,24.4%,23,56.1%,41,100.0%
220906   GRAPEVINE-COLLEYVILLE ISD,310,27.2%,274,24.0%,556,48.8%,"1,140",100.0%
116905   GREENVILLE ISD,37,12.2%,66,21.8%,200,66.0%,303,100.0%
165902   GREENWOOD ISD,14,14.3%,45,45.9%,39,39.8%,98,100.0%
205902   GREGORY-PORTLAND ISD,81,26.1%,88,28.3%,142,45.7%,311,100.0%
147902   GROESBECK ISD,12,10.5%,32,28.1%,70,61.4%,114,100.0%
033901   GROOM ISD,*,*,*,*,*,*,9,100.0%
228901   GROVETON ISD,6,13.3%,15,33.3%,24,53.3%,45,100.0%
098901   GRUVER ISD,14,42.4%,5,15.2%,14,42.4%,33,100.0%
091917   GUNTER ISD,13,19.4%,24,35.8%,30,44.8%,67,100.0%
047903   GUSTINE ISD,*,*,*,*,6,37.5%,16,100.0%
135001   GUTHRIE CSD,*,*,*,*,*,*,11,100.0%
095903   HALE CENTER ISD,8,18.6%,9,20.9%,26,60.5%,43,100.0%
143901   HALLETTSVILLE ISD,7,8.8%,45,56.3%,28,35.0%,80,100.0%
102904   HALLSVILLE ISD,62,19.0%,87,26.7%,177,54.3%,326,100.0%
097902   HAMILTON ISD,21,43.8%,7,14.6%,20,41.7%,48,100.0%
127903   HAMLIN ISD,6,20.7%,9,31.0%,14,48.3%,29,100.0%
123914   HAMSHIRE-FANNETT ISD,40,30.1%,32,24.1%,61,45.9%,133,100.0%
219901   HAPPY ISD,5,29.4%,6,35.3%,6,35.3%,17,100.0%
146904   HARDIN ISD,10,15.6%,18,28.1%,36,56.3%,64,100.0%
100905   HARDIN-JEFFERSON ISD,34,27.2%,27,21.6%,64,51.2%,125,100.0%
015904   HARLANDALE ISD,121,12.6%,295,30.6%,547,56.8%,963,100.0%
102905   HARLETON ISD,12,22.2%,11,20.4%,31,57.4%,54,100.0%
031903   HARLINGEN CISD,286,23.3%,356,28.9%,588,47.8%,"1,230",100.0%
230905   HARMONY ISD,9,12.9%,22,31.4%,39,55.7%,70,100.0%
101858   HARMONY SCHOOL OF EXCELLENCE,74,52.5%,23,16.3%,44,31.2%,141,100.0%
101862   HARMONY SCHOOL OF SCIENCE - HOUSTO,44,34.9%,28,22.2%,54,42.9%,126,100.0%
071806   HARMONY SCIENCE ACAD (EL PASO),34,38.6%,19,21.6%,35,39.8%,88,100.0%
015828   HARMONY SCIENCE ACAD (SAN ANTONIO),58,48.3%,27,22.5%,35,29.2%,120,100.0%
161807   HARMONY SCIENCE ACAD (WACO),105,36.3%,93,32.2%,91,31.5%,289,100.0%
101846   HARMONY SCIENCE ACADEMY,51,31.9%,33,20.6%,76,47.5%,160,100.0%
227816   HARMONY SCIENCE ACADEMY (AUSTIN),47,32.4%,39,26.9%,59,40.7%,145,100.0%
086902   HARPER ISD,19,36.5%,10,19.2%,23,44.2%,52,100.0%
244901   HARROLD ISD,,,*,*,*,*,*,*
035902   HART ISD,*,*,*,*,14,63.6%,22,100.0%
103902   HARTLEY ISD,*,*,*,*,6,60.0%,10,100.0%
104901   HASKELL CISD,8,28.6%,6,21.4%,14,50.0%,28,100.0%
250902   HAWKINS ISD,8,17.0%,11,23.4%,28,59.6%,47,100.0%
127904   HAWLEY ISD,15,30.6%,6,12.2%,28,57.1%,49,100.0%
105906   HAYS CISD,211,19.3%,309,28.2%,576,52.6%,"1,096",100.0%
198905   HEARNE ISD,6,12.2%,7,14.3%,36,73.5%,49,100.0%
065902   HEDLEY ISD,,,*,*,8,72.7%,11,100.0%
202903   HEMPHILL ISD,20,29.4%,20,29.4%,28,41.2%,68,100.0%
237902   HEMPSTEAD ISD,14,13.6%,14,13.6%,75,72.8%,103,100.0%
201902   HENDERSON ISD,22,10.2%,61,28.4%,132,61.4%,215,100.0%
039902   HENRIETTA ISD,22,31.0%,21,29.6%,28,39.4%,71,100.0%
015833   HENRY FORD ACADEMY ALAMEDA SCHOOL,*,*,*,*,18,46.2%,39,100.0%
059901   HEREFORD ISD,36,13.6%,58,22.0%,170,64.4%,264,100.0%
208901   HERMLEIGH ISD,*,*,*,*,8,40.0%,20,100.0%
097903   HICO ISD,9,22.0%,6,14.6%,26,63.4%,41,100.0%
108905   HIDALGO ISD,78,36.5%,64,29.9%,72,33.6%,214,100.0%
148903   HIGGINS ISD,*,*,*,*,8,61.5%,13,100.0%
084903   HIGH ISLAND ISD,6,33.3%,8,44.4%,*,*,18,100.0%
177905   HIGHLAND ISD,*,*,*,*,*,*,15,100.0%
057911   HIGHLAND PARK ISD,114,23.7%,99,20.5%,269,55.8%,482,100.0%
188903   HIGHLAND PARK ISD,16,26.7%,11,18.3%,33,55.0%,60,100.0%
109904   HILLSBORO ISD,12,10.7%,46,41.1%,54,48.2%,112,100.0%
084908   HITCHCOCK ISD,7,8.9%,27,34.2%,45,57.0%,79,100.0%
014905   HOLLAND ISD,8,23.5%,8,23.5%,18,52.9%,34,100.0%
005902   HOLLIDAY ISD,22,38.6%,12,21.1%,23,40.4%,57,100.0%
163904   HONDO ISD,34,26.6%,21,16.4%,73,57.0%,128,100.0%
074907   HONEY GROVE ISD,9,22.0%,9,22.0%,23,56.1%,41,100.0%
019902   HOOKS ISD,*,*,*,*,42,61.8%,68,100.0%
101828   HOUSTON GATEWAY ACADEMY INC,*,*,*,*,14,42.4%,33,100.0%
101821   HOUSTON HEIGHTS HIGH SCHOOL,*,*,*,*,62,83.8%,74,100.0%
101912   HOUSTON ISD,"2,072",20.3%,"1,941",19.0%,"6,212",60.8%,"10,225",100.0%
091905   HOWE ISD,10,13.2%,36,47.4%,30,39.5%,76,100.0%
109905   HUBBARD ISD,*,*,*,*,16,57.1%,28,100.0%
072908   HUCKABAY ISD,*,*,*,*,*,*,14,100.0%
003902   HUDSON ISD,33,17.9%,60,32.6%,91,49.5%,184,100.0%
101925   HUFFMAN ISD,49,21.3%,75,32.6%,106,46.1%,230,100.0%
034903   HUGHES SPRINGS ISD,8,10.5%,26,34.2%,42,55.3%,76,100.0%
146905   HULL-DAISETTA ISD,6,16.7%,11,30.6%,19,52.8%,36,100.0%
101913   HUMBLE ISD,723,26.0%,807,29.0%,"1,250",45.0%,"2,780",100.0%
003904   HUNTINGTON ISD,17,10.7%,52,32.7%,90,56.6%,159,100.0%
236902   HUNTSVILLE ISD,106,24.7%,76,17.7%,247,57.6%,429,100.0%
220916   HURST-EULESS-BEDFORD ISD,297,20.1%,401,27.1%,781,52.8%,"1,479",100.0%
246906   HUTTO ISD,93,24.3%,101,26.4%,189,49.4%,383,100.0%
152910   IDALOU ISD,23,29.9%,25,32.5%,29,37.7%,77,100.0%
108807   IDEA PUBLIC SCHOOLS,318,62.7%,76,15.0%,113,22.3%,507,100.0%
043801   IMAGINE INTERNATIONAL ACADEMY OF N,*,*,*,*,14,63.6%,22,100.0%
120905   INDUSTRIAL ISD,14,15.6%,41,45.6%,35,38.9%,90,100.0%
205903   INGLESIDE ISD,23,14.3%,40,24.8%,98,60.9%,161,100.0%
133904   INGRAM ISD,14,16.9%,14,16.9%,55,66.3%,83,100.0%
057830   INSPIRED VISION ACADEMY,6,8.5%,28,39.4%,37,52.1%,71,100.0%
057848   INTERNATIONAL LEADERSHIP OF TEXAS,12,20.7%,25,43.1%,21,36.2%,58,100.0%
093903   IOLA ISD,*,*,*,*,22,64.7%,34,100.0%
243903   IOWA PARK CISD,29,25.4%,36,31.6%,49,43.0%,114,100.0%
208903   IRA ISD,*,*,*,*,*,*,18,100.0%
186903   IRAAN-SHEFFIELD ISD,14,22.2%,12,19.1%,37,58.7%,63,100.0%
018906   IREDELL ISD,,,*,*,,,*,*
118902   IRION COUNTY ISD,*,*,*,*,8,38.1%,21,100.0%
057912   IRVING ISD,270,12.6%,560,26.1%,"1,313",61.3%,"2,143",100.0%
070907   ITALY ISD,5,11.1%,21,46.7%,19,42.2%,45,100.0%
109907   ITASCA ISD,6,12.2%,21,42.9%,22,44.9%,49,100.0%
119902   JACKSBORO ISD,13,22.4%,14,24.1%,31,53.5%,58,100.0%
037904   JACKSONVILLE ISD,22,8.3%,69,26.1%,173,65.5%,264,100.0%
246907   JARRELL ISD,8,9.6%,19,22.9%,56,67.5%,83,100.0%
121904   JASPER ISD,32,20.4%,36,22.9%,89,56.7%,157,100.0%
132902   JAYTON-GIRARD ISD,*,*,*,*,*,*,10,100.0%
057819   JEAN MASSIEU ACADEMY,,,*,*,*,*,6,100.0%
155901   JEFFERSON ISD,10,13.2%,26,34.2%,40,52.6%,76,100.0%
124901   JIM HOGG COUNTY ISD,21,30.0%,21,30.0%,28,40.0%,70,100.0%
221911   JIM NED CISD,30,34.5%,17,19.5%,40,46.0%,87,100.0%
210902   JOAQUIN ISD,7,11.9%,20,33.9%,32,54.2%,59,100.0%
015808   JOHN H WOOD JR PUBLIC CHARTER DIST,,,*,*,*,*,6,100.0%
016901   JOHNSON CITY ISD,15,27.3%,14,25.5%,26,47.3%,55,100.0%
050909   JONESBORO ISD,*,*,*,*,7,53.9%,13,100.0%
126905   JOSHUA ISD,53,15.9%,96,28.7%,185,55.4%,334,100.0%
007902   JOURDANTON ISD,24,22.4%,25,23.4%,58,54.2%,107,100.0%
015822   JUBILEE ACADEMIC CENTER,*,*,*,*,30,58.8%,51,100.0%
015916   JUDSON ISD,229,15.8%,303,20.9%,915,63.2%,"1,447",100.0%
134901   JUNCTION ISD,14,28.0%,11,22.0%,25,50.0%,50,100.0%
128901   KARNES CITY ISD,23,34.3%,14,20.9%,30,44.8%,67,100.0%
105801   KATHERINE ANNE PORTER SCHOOL,*,*,*,*,34,77.3%,44,100.0%
101914   KATY ISD,"1,113",23.1%,"1,256",26.1%,"2,441",50.8%,"4,810",100.0%
129903   KAUFMAN ISD,*,*,*,*,30,68.2%,44,100.0%
126906   KEENE ISD,8,12.7%,20,31.8%,35,55.6%,63,100.0%
220907   KELLER ISD,561,22.7%,764,30.9%,"1,146",46.4%,"2,471",100.0%
242905   KELTON ISD,*,*,*,*,*,*,*,*
129904   KEMP ISD,5,6.0%,30,36.1%,48,57.8%,83,100.0%
128902   KENEDY ISD,*,*,*,*,21,55.3%,38,100.0%
113906   KENNARD ISD,*,*,*,*,6,46.2%,13,100.0%
220914   KENNEDALE ISD,65,27.1%,82,34.2%,93,38.8%,240,100.0%
175907   KERENS ISD,*,*,*,*,15,37.5%,40,100.0%
248901   KERMIT ISD,21,25.3%,20,24.1%,42,50.6%,83,100.0%
133903   KERRVILLE ISD,75,22.9%,30,9.2%,222,67.9%,327,100.0%
105803   KI CHARTER ACADEMY,,,*,*,*,*,5,100.0%
092902   KILGORE ISD,23,9.6%,113,47.3%,103,43.1%,239,100.0%
014906   KILLEEN ISD,335,15.9%,595,28.3%,"1,175",55.8%,"2,105",100.0%
137901   KINGSVILLE ISD,78,34.5%,41,18.1%,107,47.4%,226,100.0%
227820   KIPP AUSTIN PUBLIC SCHOOLS INC,16,17.4%,31,33.7%,45,48.9%,92,100.0%
101813   KIPP INC CHARTER,144,40.6%,68,19.2%,143,40.3%,355,100.0%
015826   KIPP SAN ANTONIO,38,33.3%,21,18.4%,55,48.3%,114,100.0%
121905   KIRBYVILLE CISD,13,13.7%,10,10.5%,72,75.8%,95,100.0%
101915   KLEIN ISD,768,22.8%,"1,074",31.8%,"1,533",45.4%,"3,375",100.0%
058905   KLONDIKE ISD,*,*,*,*,*,*,14,100.0%
232901   KNIPPA ISD,7,35.0%,8,40.0%,5,25.0%,20,100.0%
138902   KNOX CITY-O'BRIEN CISD,*,*,*,*,10,41.7%,24,100.0%
018907   KOPPERL ISD,*,*,*,*,9,64.3%,14,100.0%
100903   KOUNTZE ISD,16,20.8%,14,18.2%,47,61.0%,77,100.0%
219905   KRESS ISD,*,*,*,*,10,55.6%,18,100.0%
061905   KRUM ISD,34,26.8%,34,26.8%,59,46.5%,127,100.0%
031905   LA FERIA ISD,54,20.9%,79,30.5%,126,48.7%,259,100.0%
075902   LA GRANGE ISD,30,19.2%,63,40.4%,63,40.4%,156,100.0%
108912   LA JOYA ISD,315,18.5%,446,26.2%,942,55.3%,"1,703",100.0%
084904   LA MARQUE ISD,34,30.9%,19,17.3%,57,51.8%,110,100.0%
101916   LA PORTE ISD,69,13.5%,214,42.0%,227,44.5%,510,100.0%
254902   LA PRYOR ISD,*,*,*,*,20,55.6%,36,100.0%
161906   LA VEGA ISD,8,5.8%,70,51.1%,59,43.1%,137,100.0%
247903   LA VERNIA ISD,47,19.4%,62,25.6%,133,55.0%,242,100.0%
108914   LA VILLA ISD,11,27.5%,13,32.5%,16,40.0%,40,100.0%
015913   LACKLAND ISD,6,17.1%,6,17.1%,23,65.7%,35,100.0%
227912   LAGO VISTA ISD,41,36.3%,27,23.9%,45,39.8%,113,100.0%
061912   LAKE DALLAS ISD,61,20.1%,106,35.0%,136,44.9%,303,100.0%
227913   LAKE TRAVIS ISD,174,29.6%,121,20.6%,293,49.8%,588,100.0%
220910   LAKE WORTH ISD,23,14.7%,25,15.9%,109,69.4%,157,100.0%
079901   LAMAR CISD,407,24.0%,548,32.3%,740,43.7%,"1,695",100.0%
058906   LAMESA ISD,9,8.1%,43,38.7%,59,53.2%,111,100.0%
141901   LAMPASAS ISD,51,20.7%,59,24.0%,136,55.3%,246,100.0%
057913   LANCASTER ISD,102,25.6%,78,19.6%,219,54.9%,399,100.0%
201903   LANEVILLE ISD,,,5,71.4%,*,*,7,100.0%
107910   LAPOYNOR ISD,*,*,*,*,10,45.5%,22,100.0%
240901   LAREDO ISD,229,18.5%,375,30.3%,633,51.2%,"1,237",100.0%
245901   LASARA ISD,10,43.5%,6,26.1%,7,30.4%,23,100.0%
113905   LATEXO ISD,11,27.5%,14,35.0%,15,37.5%,40,100.0%
185904   LAZBUDDIE ISD,*,*,*,*,5,45.5%,11,100.0%
193902   LEAKEY ISD,*,*,*,*,5,35.7%,14,100.0%
246913   LEANDER ISD,685,28.4%,675,28.0%,"1,052",43.6%,"2,412",100.0%
090902   LEFORS ISD,*,*,*,*,6,46.2%,13,100.0%
187906   LEGGETT ISD,*,*,*,*,7,70.0%,10,100.0%
145911   LEON ISD,5,9.1%,20,36.4%,30,54.6%,55,100.0%
074909   LEONARD ISD,10,15.9%,22,34.9%,31,49.2%,63,100.0%
110902   LEVELLAND ISD,9,5.9%,74,48.4%,70,45.8%,153,100.0%
201904   LEVERETTS CHAPEL ISD,,,*,*,5,71.4%,7,100.0%
061902   LEWISVILLE ISD,927,23.3%,"1,036",26.0%,"2,019",50.7%,"3,982",100.0%
144902   LEXINGTON ISD,11,14.7%,21,28.0%,43,57.3%,75,100.0%
246908   LIBERTY HILL ISD,80,31.9%,57,22.7%,114,45.4%,251,100.0%
146906   LIBERTY ISD,21,13.9%,40,26.5%,90,59.6%,151,100.0%
019908   LIBERTY-EYLAU ISD,25,16.3%,32,20.9%,96,62.8%,153,100.0%
057807   LIFE SCHOOL,46,24.7%,72,38.7%,68,36.6%,186,100.0%
212903   LINDALE ISD,49,17.6%,102,36.7%,127,45.7%,278,100.0%
034905   LINDEN-KILDARE CISD,7,10.9%,22,34.4%,35,54.7%,64,100.0%
049907   LINDSAY ISD,13,35.1%,16,43.2%,8,21.6%,37,100.0%
072909   LINGLEVILLE ISD,*,*,*,*,*,*,11,100.0%
111902   LIPAN ISD,*,*,*,*,12,52.2%,23,100.0%
181908   LITTLE CYPRESS-MAURICEVILLE CISD,51,21.3%,85,35.4%,104,43.3%,240,100.0%
061914   LITTLE ELM ISD,62,15.8%,120,30.6%,210,53.6%,392,100.0%
140904   LITTLEFIELD ISD,6,7.7%,30,38.5%,42,53.9%,78,100.0%
187907   LIVINGSTON ISD,41,15.0%,61,22.3%,172,62.8%,274,100.0%
150901   LLANO ISD,30,27.0%,20,18.0%,61,55.0%,111,100.0%
028902   LOCKHART ISD,57,17.1%,37,11.1%,240,71.9%,334,100.0%
077902   LOCKNEY ISD,8,22.9%,15,42.9%,12,34.3%,35,100.0%
160905   LOHN ISD,*,*,*,*,*,*,5,100.0%
141902   LOMETA ISD,*,*,*,*,10,58.8%,17,100.0%
178906   LONDON ISD,22,40.7%,13,24.1%,19,35.2%,54,100.0%
116906   LONE OAK ISD,18,28.6%,16,25.4%,29,46.0%,63,100.0%
092903   LONGVIEW ISD,69,13.0%,143,27.0%,318,60.0%,530,100.0%
083902   LOOP ISD,,,*,*,,,*,*
168902   LORAINE ISD,*,*,*,*,5,55.6%,9,100.0%
161907   LORENA ISD,24,19.7%,56,45.9%,42,34.4%,122,100.0%
054902   LORENZO ISD,,,*,*,14,77.8%,18,100.0%
031906   LOS FRESNOS CISD,169,23.1%,170,23.3%,392,53.6%,731,100.0%
241906   LOUISE ISD,*,*,*,*,15,38.5%,39,100.0%
043919   LOVEJOY ISD,62,21.2%,82,28.0%,149,50.9%,293,100.0%
113903   LOVELADY ISD,12,25.0%,20,41.7%,16,33.3%,48,100.0%
152901   LUBBOCK ISD,273,17.3%,457,28.9%,850,53.8%,"1,580",100.0%
152906   LUBBOCK-COOPER ISD,69,24.5%,77,27.3%,136,48.2%,282,100.0%
127905   LUEDERS-AVOCA ISD,*,*,,,6,66.7%,9,100.0%
003903   LUFKIN ISD,83,16.3%,160,31.4%,267,52.4%,510,100.0%
028903   LULING ISD,12,13.5%,17,19.1%,60,67.4%,89,100.0%
100907   LUMBERTON ISD,104,36.2%,50,17.4%,133,46.3%,287,100.0%
245902   LYFORD CISD,20,24.1%,32,38.6%,31,37.4%,83,100.0%
007904   LYTLE ISD,14,10.5%,43,32.1%,77,57.5%,134,100.0%
129905   MABANK ISD,35,15.5%,73,32.3%,118,52.2%,226,100.0%
154901   MADISONVILLE CISD,38,24.7%,33,21.4%,83,53.9%,154,100.0%
170906   MAGNOLIA ISD,157,17.2%,239,26.1%,519,56.7%,915,100.0%
107906   MALAKOFF ISD,6,7.4%,28,34.6%,47,58.0%,81,100.0%
227907   MANOR ISD,79,16.9%,101,21.6%,287,61.5%,467,100.0%
220908   MANSFIELD ISD,635,26.3%,823,34.1%,954,39.6%,"2,412",100.0%
022902   MARATHON ISD,*,*,,,*,*,*,*
027904   MARBLE FALLS ISD,50,17.8%,51,18.2%,180,64.1%,281,100.0%
189901   MARFA ISD,*,*,*,*,17,73.9%,23,100.0%
094904   MARION ISD,24,22.4%,23,21.5%,60,56.1%,107,100.0%
073903   MARLIN ISD,12,23.5%,15,29.4%,24,47.1%,51,100.0%
102902   MARSHALL ISD,29,8.7%,86,25.9%,217,65.4%,332,100.0%
161908   MART ISD,*,*,*,*,17,36.2%,47,100.0%
234905   MARTINS MILL ISD,8,20.5%,18,46.2%,13,33.3%,39,100.0%
174909   MARTINSVILLE ISD,7,24.1%,5,17.2%,17,58.6%,29,100.0%
157901   MASON ISD,16,34.8%,16,34.8%,14,30.4%,46,100.0%
205904   MATHIS ISD,12,16.4%,26,35.6%,35,48.0%,73,100.0%
019903   MAUD ISD,*,*,*,*,26,66.7%,39,100.0%
025905   MAY ISD,*,*,*,*,11,47.8%,23,100.0%
070915   MAYPEARL ISD,16,20.3%,23,29.1%,40,50.6%,79,100.0%
108906   MCALLEN ISD,452,27.5%,448,27.2%,746,45.3%,"1,646",100.0%
231901   MCCAMEY ISD,6,18.8%,14,43.8%,12,37.5%,32,100.0%
161909   MCGREGOR ISD,10,11.1%,40,44.4%,40,44.4%,90,100.0%
043907   MCKINNEY ISD,323,18.5%,547,31.3%,878,50.2%,"1,748",100.0%
090903   MCLEAN ISD,*,*,*,*,*,*,14,100.0%
034906   MCLEOD ISD,*,*,*,*,10,47.6%,21,100.0%
162904   MCMULLEN COUNTY ISD,10,41.7%,11,45.8%,*,*,24,100.0%
223902   MEADOW ISD,,,15,88.2%,*,*,17,100.0%
130801   MEADOWLAND CHARTER SCHOOL,,,,,13,100.0%,13,100.0%
010901   MEDINA ISD,8,27.6%,10,34.5%,11,37.9%,29,100.0%
163908   MEDINA VALLEY ISD,66,24.3%,62,22.8%,144,52.9%,272,100.0%
043908   MELISSA ISD,25,20.5%,35,28.7%,62,50.8%,122,100.0%
096904   MEMPHIS ISD,7,25.9%,11,40.7%,9,33.3%,27,100.0%
164901   MENARD ISD,*,*,*,*,12,54.6%,22,100.0%
108907   MERCEDES ISD,69,20.7%,102,30.6%,162,48.7%,333,100.0%
018902   MERIDIAN ISD,9,25.7%,12,34.3%,14,40.0%,35,100.0%
246801   MERIDIAN WORLD SCHOOL LLC,*,*,*,*,9,52.9%,17,100.0%
221904   MERKEL ISD,11,13.3%,27,32.5%,45,54.2%,83,100.0%
057914   MESQUITE ISD,457,17.8%,815,31.7%,"1,303",50.6%,"2,575",100.0%
147903   MEXIA ISD,19,15.6%,24,19.7%,79,64.8%,122,100.0%
197902   MIAMI ISD,*,*,*,*,8,44.4%,18,100.0%
165901   MIDLAND ISD,193,15.0%,496,38.6%,597,46.4%,"1,286",100.0%
070908   MIDLOTHIAN ISD,130,25.6%,186,36.7%,191,37.7%,507,100.0%
108804   MIDVALLEY ACADEMY CHARTER DISTRICT,*,*,*,*,128,87.7%,146,100.0%
039905   MIDWAY ISD,*,*,,,*,*,5,100.0%
161903   MIDWAY ISD,72,12.7%,263,46.3%,233,41.0%,568,100.0%
166903   MILANO ISD,5,13.2%,14,36.8%,19,50.0%,38,100.0%
175910   MILDRED ISD,12,19.7%,22,36.1%,27,44.3%,61,100.0%
200902   MILES ISD,11,55.0%,5,25.0%,*,*,20,100.0%
070909   MILFORD ISD,*,*,*,*,12,70.6%,17,100.0%
112907   MILLER GROVE ISD,*,*,*,*,11,50.0%,22,100.0%
184904   MILLSAP ISD,10,17.2%,20,34.5%,28,48.3%,58,100.0%
250903   MINEOLA ISD,16,17.2%,28,30.1%,49,52.7%,93,100.0%
182903   MINERAL WELLS ISD,31,14.4%,56,25.9%,129,59.7%,216,100.0%
108908   MISSION CISD,189,20.7%,239,26.2%,485,53.1%,913,100.0%
238902   MONAHANS-WICKETT-PYOTE ISD,34,25.4%,23,17.2%,77,57.5%,134,100.0%
108915   MONTE ALTO ISD,8,14.8%,17,31.5%,29,53.7%,54,100.0%
170903   MONTGOMERY ISD,137,25.3%,161,29.7%,244,45.0%,542,100.0%
161910   MOODY ISD,*,*,*,*,27,54.0%,50,100.0%
209902   MORAN ISD,*,*,,,*,*,*,*
018903   MORGAN ISD,,,,,8,100.0%,8,100.0%
040901   MORTON ISD,*,*,*,*,20,66.7%,30,100.0%
173901   MOTLEY COUNTY ISD,*,*,*,*,*,*,13,100.0%
143902   MOULTON ISD,*,*,*,*,8,38.1%,21,100.0%
109910   MOUNT CALM ISD,*,*,*,*,9,64.3%,14,100.0%
201907   MOUNT ENTERPRISE ISD,6,24.0%,6,24.0%,13,52.0%,25,100.0%
225902   MOUNT PLEASANT ISD,28,8.1%,145,41.9%,173,50.0%,346,100.0%
080901   MOUNT VERNON ISD,18,19.6%,33,35.9%,41,44.6%,92,100.0%
049902   MUENSTER ISD,10,28.6%,15,42.9%,10,28.6%,35,100.0%
009901   MULESHOE ISD,13,15.5%,18,21.4%,53,63.1%,84,100.0%
167902   MULLIN ISD,*,*,*,*,94,86.2%,109,100.0%
198906   MUMFORD ISD,*,*,*,*,17,77.3%,22,100.0%
138903   MUNDAY CISD,8,29.6%,5,18.5%,14,51.9%,27,100.0%
174904   NACOGDOCHES ISD,87,24.9%,74,21.1%,189,54.0%,350,100.0%
163903   NATALIA ISD,5,8.5%,22,37.3%,32,54.2%,59,100.0%
094903   NAVARRO ISD,39,30.2%,26,20.2%,64,49.6%,129,100.0%
093904   NAVASOTA ISD,28,16.5%,40,23.5%,102,60.0%,170,100.0%
035903   NAZARETH ISD,6,31.6%,9,47.4%,*,*,19,100.0%
001906   NECHES ISD,*,*,*,*,16,45.7%,35,100.0%
