Group,District,DistName,County,CntyName,Region,RegnName,Math,Reading,Writing,Total,Grads_Mskd,Exnees_Mskd,Part_Rate,Crit_Mskd,Above_Crit_Rate
All Students,017901,Borden County ISD,017,Borden County,17,Lubbock,515,505,445,1020,<25,<25,11.8,<25,
All Students,018901,Clifton ISD,018,Bosque County,12,Waco,471,453,447,928,<75,<25,19.7,<25,16.7
All Students,018902,Meridian ISD,018,Bosque County,12,Waco,495,469,444,964,<50,<25,54.3,<25,10.5
All Students,018903,Morgan ISD,018,Bosque County,12,Waco,398,425,378,803,<25,<25,50.0,<25,
All Students,018904,Valley Mills ISD,018,Bosque County,12,Waco,487,496,438,981,<50,<50,71.4,<25,23.3
All Students,018905,Walnut Springs ISD,018,Bosque County,12,Waco,467,473,393,940,<25,<25,15.0,<25,
All Students,018906,Iredell ISD,018,Bosque County,12,Waco,417,420,407,833,<25,<25,100,<25,
All Students,018907,Kopperl ISD,018,Bosque County,12,Waco,441,509,447,951,<25,<25,50.0,<25,28.6
All Students,018908,Cranfills Gap ISD,018,Bosque County,12,Waco,490,420,435,910,<25,<25,50.0,<25,
All Students,019901,Dekalb ISD,019,Bowie County,08,Mt Pleasant,,,,,<75,<25,1.8,<25,
All Students,019903,Maud ISD,019,Bowie County,08,Mt Pleasant,,,,,<50,<25,2.6,<25,
All Students,019905,New Boston ISD,019,Bowie County,08,Mt Pleasant,450,457,383,900,<75,<25,4.1,<25,
All Students,019906,Redwater ISD,019,Bowie County,08,Mt Pleasant,595,570,540,1165,<100,<25,2.4,<25,50.0
All Students,019907,Texarkana ISD,019,Bowie County,08,Mt Pleasant,522,532,515,1053,<450,<50,8.0,<25,45.7
All Students,019908,Liberty-Eylau ISD,019,Bowie County,08,Mt Pleasant,431,481,407,899,<175,<25,4.6,<25,14.3
All Students,019909,Simms ISD,019,Bowie County,08,Mt Pleasant,,,,,<50,<25,2.5,<25,
All Students,019912,Pleasant Grove ISD,019,Bowie County,08,Mt Pleasant,550,477,458,1027,<150,<25,4.3,<25,16.7
All Students,020901,Alvin ISD,020,Brazoria County,04,Houston,474,460,439,934,1317,653,49.6,100,15.3
All Students,020902,Angleton ISD,020,Brazoria County,04,Houston,469,463,426,932,433,195,45.0,29,14.9
All Students,020904,Danbury ISD,020,Brazoria County,04,Houston,483,459,452,940,<50,<50,58.7,<25,14.8
All Students,020905,Brazosport ISD,020,Brazoria County,04,Houston,499,501,469,999,802,256,31.9,73,28.5
All Students,020906,Sweeny ISD,020,Brazoria County,04,Houston,484,479,449,964,120,58,48.3,12,20.7
All Students,020907,Columbia-Brazoria ISD,020,Brazoria County,04,Houston,473,478,440,950,187,76,40.6,15,19.7
All Students,020908,Pearland ISD,020,Brazoria County,04,Houston,524,511,493,1034,1457,932,64.0,332,35.6
All Students,021901,College Station ISD,021,Brazos County,06,Huntsville,559,530,512,1089,768,490,63.8,224,45.7
All Students,021902,Bryan ISD,021,Brazos County,06,Huntsville,481,463,438,943,896,436,48.7,93,21.3
All Students,022004,Terlingua CSD,022,Brewster County,18,Midland,540,500,530,1060,<25,<25,37.5,<25,33.3
All Students,022901,Alpine ISD,022,Brewster County,18,Midland,457,465,432,920,69,42,60.9,8,19.0
All Students,022902,Marathon ISD,022,Brewster County,18,Midland,,,,,<25,<25,33.3,<25,
All Students,023902,Silverton ISD,023,Briscoe County,16,Amarillo,423,443,473,873,<25,<25,25.0,<25,
All Students,024901,Brooks County ISD,024,Brooks County,02,Corpus Christi,560,513,500,1073,<100,<25,6.1,<25,66.7
All Students,025901,Bangs ISD,025,Brown County,15,San Angelo,496,510,483,1006,<100,<25,12.5,<25,20.0
All Students,025902,Brownwood ISD,025,Brown County,15,San Angelo,483,494,462,978,204,69,33.8,10,14.5
All Students,025904,Blanket ISD,025,Brown County,15,San Angelo,530,493,487,1010,<25,<25,15.8,<25,33.3
All Students,025905,May ISD,025,Brown County,15,San Angelo,570,613,607,1183,<25,<25,13.0,<25,66.7
All Students,025906,Zephyr ISD,025,Brown County,15,San Angelo,,,,,<25,<25,5.3,<25,
All Students,025909,Early ISD,025,Brown County,15,San Angelo,539,521,481,1056,78,45,57.7,15,33.3
All Students,026901,Caldwell ISD,026,Burleson County,06,Huntsville,509,489,479,998,115,41,35.7,9,22.0
All Students,026902,Somerville ISD,026,Burleson County,06,Huntsville,459,440,418,904,<25,<25,39.1,<25,11.1
All Students,026903,Snook ISD,026,Burleson County,06,Huntsville,475,436,429,905,<50,<25,31.4,<25,
All Students,027903,Burnet CISD,027,Burnet County,13,Austin,457,453,425,908,<250,<150,54.1,<25,9.2
All Students,027904,Marble Falls ISD,027,Burnet County,13,Austin,502,486,461,988,281,109,38.8,24,22.0
All Students,028902,Lockhart ISD,028,Caldwell County,13,Austin,422,412,393,834,<350,<325,90.7,<50,8.3
All Students,028903,Luling ISD,028,Caldwell County,13,Austin,413,437,407,850,<100,<50,36.0,<25,9.4
All Students,028906,Prairie Lea ISD,028,Caldwell County,13,Austin,473,445,423,918,<25,<25,100,<25,16.7
All Students,029901,Calhoun County ISD,029,Calhoun County,03,Victoria,483,469,450,950,275,103,37.5,24,23.3
All Students,030901,Cross Plains ISD,030,Callahan County,14,Abilene,420,495,515,915,<25,<25,8.3,<25,
All Students,030902,Clyde CISD,030,Callahan County,14,Abilene,467,484,451,950,<100,<50,26.9,<25,16.0
All Students,030906,Eula ISD,030,Callahan County,14,Abilene,,,,,<25,<25,4.5,<25,
All Students,031505,University Of Texas Rio Grande Val,031,Cameron County,01,Edinburg,532,527,495,1058,<25,<50,,<25,35.7
All Students,031901,Brownsville ISD,031,Cameron County,01,Edinburg,423,421,407,844,3024,2012,66.5,118,5.9
All Students,031903,Harlingen CISD,031,Cameron County,01,Edinburg,449,445,426,894,1230,688,55.9,85,12.4
All Students,031905,La Feria ISD,031,Cameron County,01,Edinburg,453,456,444,907,259,66,25.5,8,12.1
All Students,031906,Los Fresnos CISD,031,Cameron County,01,Edinburg,449,431,411,880,731,461,63.1,45,9.8
All Students,031909,Point Isabel ISD,031,Cameron County,01,Edinburg,445,418,419,865,157,101,64.3,6,5.9
All Students,031911,Rio Hondo ISD,031,Cameron County,01,Edinburg,420,410,399,829,<150,<100,55.1,<25,
All Students,031912,San Benito CISD,031,Cameron County,01,Edinburg,435,423,409,856,<700,<325,45.4,<25,5.8
All Students,031913,Santa Maria ISD,031,Cameron County,01,Edinburg,371,390,395,758,<50,<50,51.0,<25,
All Students,031916,South Texas ISD,031,Cameron County,01,Edinburg,523,512,493,1035,596,479,80.4,160,33.4
All Students,032902,Pittsburg ISD,032,Camp County,08,Mt Pleasant,439,439,412,875,172,50,29.1,5,10.0
All Students,033902,Panhandle ISD,033,Carson County,16,Amarillo,545,535,605,1120,<75,<25,4.0,<25,50.0
All Students,033904,White Deer ISD,033,Carson County,16,Amarillo,510,435,455,975,<25,<25,8.7,<25,
All Students,034901,Atlanta ISD,034,Cass County,08,Mt Pleasant,413,440,415,853,<150,<25,3.0,<25,25.0
All Students,034903,Hughes Springs ISD,034,Cass County,08,Mt Pleasant,,,,,<100,<25,1.3,<25,
All Students,034905,Linden-Kildare CISD,034,Cass County,08,Mt Pleasant,495,450,355,945,<75,<25,3.1,<25,
All Students,035903,Nazareth ISD,035,Castro County,16,Amarillo,615,565,570,1180,<25,<25,10.5,<25,100
All Students,036901,Anahuac ISD,036,Chambers County,04,Houston,449,457,432,905,<100,<50,48.9,<25,9.3
All Students,036902,Barbers Hill ISD,036,Chambers County,04,Houston,518,504,474,1023,315,163,51.7,43,26.4
All Students,036903,East Chambers ISD,036,Chambers County,05,Beaumont,483,465,432,945,<100,<50,39.2,<25,7.9
All Students,037901,Alto ISD,037,Cherokee County,07,Kilgore,419,445,403,866,<50,<25,40.4,<25,5.3
All Students,037904,Jacksonville ISD,037,Cherokee County,07,Kilgore,507,510,493,1017,264,21,8.0,5,23.8
All Students,037907,Rusk ISD,037,Cherokee County,07,Kilgore,498,505,477,1003,118,24,20.3,8,33.3
All Students,037909,Wells ISD,037,Cherokee County,07,Kilgore,456,435,414,887,<25,<25,77.8,<25,7.1
All Students,038901,Childress ISD,038,Childress County,16,Amarillo,,,,,<75,<25,1.5,<25,
All Students,039902,Henrietta ISD,039,Clay County,09,Wichita Falls,503,527,501,1029,71,24,33.8,8,33.3
All Students,039903,Petrolia CISD,039,Clay County,09,Wichita Falls,367,433,380,793,<50,<25,8.1,<25,
All Students,040901,Morton ISD,040,Cochran County,17,Lubbock,415,455,450,870,<50,<25,6.7,<25,
All Students,040902,Whiteface CISD,040,Cochran County,17,Lubbock,567,513,521,1080,<25,<25,41.2,<25,42.9
All Students,041901,Bronte ISD,041,Coke County,15,San Angelo,470,470,445,940,<25,<25,16.7,<25,
All Students,041902,Robert Lee ISD,041,Coke County,15,San Angelo,560,565,530,1125,<25,<25,9.5,<25,50.0
All Students,042903,Santa Anna ISD,042,Coleman County,15,San Angelo,478,456,464,948,<25,<25,45.5,<25,20.0
All Students,042905,Panther Creek CISD,042,Coleman County,15,San Angelo,488,468,408,955,<25,<25,33.3,<25,25.0
