Group,district,DistName,cntyname,RegnName,Region,Math,Reading,Writing,Total,Above_Crit_Rate,Exnees_Mskd,Crit_Mskd,Part_Rate,Grads_Mskd
All Students,31913,Santa Maria ISD,Cameron County,Edinburg,1,409,393,407,801,,<20,<5,,<40
All Students,31916,South Texas ISD,Cameron County,Edinburg,1,530,504,488,1034,33.5,487,163,85.6,569
All Students,32902,Pittsburg ISD,Camp County,Mt Pleasant,8,478,453,441,931,13.6,44,6,25.6,172
All Students,33901,Groom ISD,Carson County,Amarillo,16,,,,,,<5,<5,,9
All Students,33902,Panhandle ISD,Carson County,Amarillo,16,543,510,510,1053,,<5,<5,,44
All Students,33904,White Deer ISD,Carson County,Amarillo,16,,,,,,<5,<5,,27
All Students,34901,Atlanta ISD,Cass County,Mt Pleasant,8,525,575,473,1100,,<5,<5,,122
All Students,34906,McLeod ISD,Cass County,Mt Pleasant,8,,,,,,<5,<5,,33
All Students,34907,Queen City ISD,Cass County,Mt Pleasant,8,,,,,,<5,<5,,85
All Students,35901,Dimmitt ISD,Castro County,Amarillo,16,,,,,,<5,<5,,62
All Students,35903,Nazareth ISD,Castro County,Amarillo,16,,,,,,<5,<5,,19
All Students,36901,Anahuac ISD,Chambers County,Houston,4,466,429,418,895,,45,<5,55.6,81
All Students,36902,Barbers Hill ISD,Chambers County,Houston,4,513,485,452,998,24.9,177,44,61.2,289
All Students,36903,East Chambers ISD,Chambers County,Beaumont,5,463,441,406,904,,29,<5,36.7,79
All Students,37901,Alto ISD,Cherokee County,Kilgore,7,430,390,367,820,,<5,<5,,33
All Students,37904,Jacksonville ISD,Cherokee County,Kilgore,7,528,542,513,1071,46.2,13,6,6,216
All Students,37907,Rusk ISD,Cherokee County,Kilgore,7,554,502,448,1056,35.3,17,6,13.4,127
All Students,37908,New Summerfield ISD,Cherokee County,Kilgore,7,495,432,445,927,,6,<5,16.2,37
All Students,37909,Wells ISD,Cherokee County,Kilgore,7,481,478,459,959,,8,<5,42.1,19
All Students,38901,Childress ISD,Childress County,Amarillo,16,526,560,542,1086,,5,<5,7,71
